chain_id	R2	Rg2
0	1.21423337E+03	1.32066314E+02
1	2.17103220E+02	7.51657785E+01
2	2.01821359E+02	8.05262896E+01
3	4.01319925E+02	9.38020163E+01
4	7.15835382E+02	1.16838163E+02
5	5.48103147E+02	7.29396738E+01
6	9.47925847E+02	1.40696875E+02
7	1.73345289E+02	6.82108677E+01
8	1.45532999E+03	2.10878234E+02
9	1.17691447E+03	1.22479084E+02
10	2.22253219E+03	2.04546269E+02
11	4.07756069E+02	1.16678807E+02
12	9.53446162E+01	7.55402043E+01
13	1.07939657E+03	1.63131059E+02
14	2.22038386E+03	2.37309983E+02
15	7.83047158E+02	8.18034114E+01
16	2.50638357E+02	9.14912067E+01
17	1.60186599E+03	1.79968093E+02
18	6.87140213E+02	7.83435794E+01
19	3.96017294E+02	6.57513058E+01
20	1.81546549E+02	7.63914836E+01
21	2.61732354E+02	8.79242062E+01
22	2.11309614E+02	9.05693974E+01
23	1.42550320E+03	1.98817133E+02
24	2.35297737E+03	2.71619232E+02
25	4.77157355E+02	1.30677745E+02
26	1.48414839E+03	2.09411008E+02
27	7.46574805E+02	1.15122142E+02
28	8.67535804E+02	9.94529523E+01
29	9.66380088E+02	1.67078394E+02
30	1.29407016E+03	1.78706065E+02
31	9.69064015E+02	1.31019651E+02
32	6.61409209E+02	9.65078670E+01
33	8.84920583E+02	9.93277948E+01
34	5.96460163E+02	1.09910520E+02
35	6.62322415E+02	1.65998535E+02
36	1.85089612E+02	7.02495049E+01
37	2.34767386E+02	8.68526188E+01
38	1.11453484E+03	1.31979590E+02
39	2.04580704E+03	2.15584261E+02
40	1.29633392E+03	1.73800126E+02
41	1.33523759E+02	6.62922898E+01
42	7.31416468E+02	1.20292938E+02
43	8.58520106E+02	1.45585480E+02
44	8.81054901E+02	1.26155429E+02
45	1.82479647E+03	2.39343318E+02
46	5.98822592E+02	8.33707556E+01
47	8.99800396E+02	1.45584048E+02
48	9.86799689E+02	1.27301568E+02
49	1.65690761E+03	1.70487564E+02
50	1.30713790E+03	1.90153054E+02
51	8.91594859E+02	1.52314350E+02
52	2.24950710E+03	2.75571470E+02
53	1.04083335E+03	1.27244558E+02
54	6.49264399E+02	1.43056424E+02
55	9.98591999E+02	1.29411265E+02
56	7.46323344E+02	1.04207348E+02
57	7.32830735E+02	9.95660737E+01
58	8.47973756E+02	1.24227217E+02
59	8.75942159E+02	1.12426299E+02
60	1.39798779E+03	1.67862154E+02
61	6.76797910E+02	1.17186347E+02
62	2.21656807E+02	9.94324796E+01
63	9.33936369E+02	1.53165081E+02
64	1.89689042E+03	2.41758615E+02
65	3.02816408E+02	1.00976281E+02
66	1.63764114E+03	1.69121891E+02
67	1.64784886E+02	1.01687484E+02
68	1.93446100E+01	6.45806938E+01
69	1.69671587E+03	1.61496146E+02
70	1.17548987E+03	1.08994148E+02
71	1.75404807E+03	2.21969644E+02
72	4.69677432E+02	9.25316657E+01
73	1.20479140E+03	1.23968463E+02
74	6.39604571E+02	9.72483706E+01
75	1.20524174E+03	1.74690603E+02
76	1.40565638E+03	1.41454122E+02
77	6.34083471E+02	9.44432358E+01
78	1.51802272E+03	2.04328895E+02
79	1.13485938E+03	1.23852751E+02
80	8.45127517E+02	1.54632738E+02
81	1.01744443E+03	1.79937994E+02
82	1.68753309E+03	2.37066153E+02
83	7.99662973E+01	7.94942292E+01
84	1.94763517E+03	1.81770544E+02
85	9.17446499E+02	1.25178592E+02
86	9.49100533E+02	1.54390589E+02
87	1.24293870E+03	1.28978637E+02
88	3.30176256E+02	8.33721540E+01
89	6.93365550E+02	9.92800758E+01
90	1.10475914E+03	1.19573349E+02
91	6.44479321E+02	1.08179960E+02
92	1.93310479E+03	2.02564109E+02
93	8.55167582E+02	1.11943712E+02
94	2.91002594E+02	1.04627475E+02
95	7.25645364E+02	9.80463823E+01
96	1.08659027E+03	1.70315206E+02
97	1.29500878E+02	6.78282296E+01
98	2.00678784E+02	6.69485247E+01
99	3.93203963E+02	9.78361346E+01
