sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	7.02079399E+02	1.12310371E+02	6.25124283E+00	0.00000000E+00	375
200	equilibration	7.89020376E+02	1.19619020E+02	6.59611135E+00	0.00000000E+00	389
400	equilibration	7.29847420E+02	1.15499176E+02	6.31907036E+00	0.00000000E+00	395
600	equilibration	7.03688290E+02	1.16977188E+02	6.01560271E+00	0.00000000E+00	375
800	equilibration	7.52790409E+02	1.17246301E+02	6.42058982E+00	0.00000000E+00	385
1000	equilibration	7.68422289E+02	1.20382760E+02	6.38315893E+00	0.00000000E+00	376
1200	equilibration	8.19971676E+02	1.24880138E+02	6.56606961E+00	0.00000000E+00	353
1400	equilibration	7.61521575E+02	1.22681513E+02	6.20730504E+00	0.00000000E+00	365
1600	equilibration	7.10643201E+02	1.18700291E+02	5.98686990E+00	0.00000000E+00	366
1800	equilibration	7.39161647E+02	1.25466143E+02	5.89132360E+00	0.00000000E+00	360
2000	equilibration	7.38702090E+02	1.27560917E+02	5.79097508E+00	0.00000000E+00	369
2200	equilibration	7.85442000E+02	1.24839622E+02	6.29160828E+00	0.00000000E+00	380
2400	equilibration	7.78286064E+02	1.20351492E+02	6.46677537E+00	0.00000000E+00	361
2600	equilibration	8.09291209E+02	1.21634277E+02	6.65347983E+00	0.00000000E+00	350
2800	equilibration	8.21580649E+02	1.27224943E+02	6.45770107E+00	0.00000000E+00	370
3000	equilibration	7.75937025E+02	1.23729089E+02	6.27125788E+00	0.00000000E+00	353
3200	equilibration	8.48608397E+02	1.26071774E+02	6.73115295E+00	0.00000000E+00	361
3400	equilibration	8.08732542E+02	1.24849446E+02	6.47766222E+00	0.00000000E+00	352
3600	equilibration	8.48151640E+02	1.29993367E+02	6.52457627E+00	0.00000000E+00	391
3800	equilibration	7.83910772E+02	1.26809717E+02	6.18178789E+00	0.00000000E+00	345
4000	equilibration	7.91562163E+02	1.23845997E+02	6.39150384E+00	0.00000000E+00	370
4200	equilibration	7.89521724E+02	1.23467901E+02	6.39455044E+00	0.00000000E+00	355
4400	equilibration	7.83916873E+02	1.25329613E+02	6.25484159E+00	0.00000000E+00	385
4600	equilibration	7.54497706E+02	1.20955231E+02	6.23782617E+00	0.00000000E+00	352
4800	equilibration	7.20670738E+02	1.18099795E+02	6.10221837E+00	0.00000000E+00	375
5000	equilibration	7.24465347E+02	1.16839681E+02	6.20050775E+00	0.00000000E+00	378
5200	equilibration	7.32281298E+02	1.16982185E+02	6.25976767E+00	0.00000000E+00	371
5400	equilibration	7.09278067E+02	1.19223353E+02	5.94915383E+00	0.00000000E+00	371
5600	equilibration	6.78267616E+02	1.17640356E+02	5.76560323E+00	0.00000000E+00	362
5800	equilibration	6.76169878E+02	1.17732453E+02	5.74327520E+00	0.00000000E+00	370
6000	equilibration	7.17322228E+02	1.19789705E+02	5.98817925E+00	0.00000000E+00	358
6200	equilibration	7.26233242E+02	1.18969919E+02	6.10434340E+00	0.00000000E+00	378
6400	equilibration	7.27203192E+02	1.22646662E+02	5.92925385E+00	0.00000000E+00	400
6600	equilibration	7.08237559E+02	1.17705690E+02	6.01702058E+00	0.00000000E+00	368
6800	equilibration	8.03062927E+02	1.27686647E+02	6.28932585E+00	0.00000000E+00	379
7000	equilibration	7.55171505E+02	1.22119547E+02	6.18387082E+00	0.00000000E+00	390
7200	equilibration	8.31271121E+02	1.28199473E+02	6.48420079E+00	0.00000000E+00	384
7400	equilibration	8.33145044E+02	1.26303592E+02	6.59636857E+00	0.00000000E+00	367
7600	equilibration	8.80513736E+02	1.29916580E+02	6.77753170E+00	0.00000000E+00	348
7800	equilibration	9.30317385E+02	1.36070935E+02	6.83700294E+00	0.00000000E+00	371
8000	equilibration	9.35317117E+02	1.35613490E+02	6.89693274E+00	0.00000000E+00	371
8200	equilibration	8.31363617E+02	1.28567210E+02	6.46637363E+00	0.00000000E+00	368
8400	equilibration	8.61753862E+02	1.29099093E+02	6.67513493E+00	0.00000000E+00	350
8600	equilibration	7.77030552E+02	1.26344874E+02	6.15007582E+00	0.00000000E+00	383
8800	equilibration	8.36531566E+02	1.30782150E+02	6.39637416E+00	0.00000000E+00	366
9000	equilibration	8.65673627E+02	1.33865125E+02	6.46675992E+00	0.00000000E+00	372
9200	equilibration	8.90268774E+02	1.32692634E+02	6.70925543E+00	0.00000000E+00	375
9400	equilibration	8.35043864E+02	1.29853119E+02	6.43068006E+00	0.00000000E+00	382
9600	equilibration	8.68718993E+02	1.31772261E+02	6.59257862E+00	0.00000000E+00	343
9800	equilibration	8.76765660E+02	1.29095533E+02	6.79160342E+00	0.00000000E+00	363
10000	production	8.29720575E+02	1.27471647E+02	6.50905981E+00	0.00000000E+00	374
10001	production	8.15344593E+02	1.27136302E+02	6.41315331E+00	0.00000000E+00	365
10002	production	8.01578596E+02	1.26293983E+02	6.34692622E+00	0.00000000E+00	350
10003	production	7.93948813E+02	1.26566400E+02	6.27298248E+00	0.00000000E+00	332
10004	production	8.11477510E+02	1.27109469E+02	6.38408387E+00	0.00000000E+00	365
10005	production	7.99292102E+02	1.26360141E+02	6.32550813E+00	0.00000000E+00	347
10006	production	7.87159542E+02	1.25428790E+02	6.27574851E+00	0.00000000E+00	362
10007	production	7.85813873E+02	1.26106647E+02	6.23134378E+00	0.00000000E+00	351
10008	production	8.10675365E+02	1.26649146E+02	6.40095406E+00	0.00000000E+00	358
10009	production	8.11802001E+02	1.27407073E+02	6.37171847E+00	0.00000000E+00	360
10010	production	8.33531923E+02	1.27588751E+02	6.53295777E+00	0.00000000E+00	366
10011	production	8.25903398E+02	1.27793168E+02	6.46281341E+00	0.00000000E+00	366
10012	production	8.39515210E+02	1.27718555E+02	6.57316558E+00	0.00000000E+00	357
10013	production	8.42046053E+02	1.28407820E+02	6.55759167E+00	0.00000000E+00	363
10014	production	8.53791673E+02	1.28133654E+02	6.66328982E+00	0.00000000E+00	367
10015	production	8.42208593E+02	1.27361652E+02	6.61273294E+00	0.00000000E+00	353
10016	production	8.41923094E+02	1.26969121E+02	6.63092795E+00	0.00000000E+00	366
10017	production	8.67558803E+02	1.27315702E+02	6.81423259E+00	0.00000000E+00	378
10018	production	8.62240108E+02	1.27602218E+02	6.75725014E+00	0.00000000E+00	374
10019	production	8.61987794E+02	1.27043321E+02	6.78499103E+00	0.00000000E+00	366
10020	production	8.67514587E+02	1.28032099E+02	6.77575853E+00	0.00000000E+00	368
10021	production	8.61114741E+02	1.28698527E+02	6.69094483E+00	0.00000000E+00	371
10022	production	8.81110800E+02	1.29737113E+02	6.79150923E+00	0.00000000E+00	361
10023	production	8.55863265E+02	1.29049951E+02	6.63203093E+00	0.00000000E+00	361
10024	production	8.60747508E+02	1.30227322E+02	6.60957695E+00	0.00000000E+00	347
10025	production	8.52065345E+02	1.29725980E+02	6.56819356E+00	0.00000000E+00	392
10026	production	8.53376866E+02	1.29438482E+02	6.59291464E+00	0.00000000E+00	383
10027	production	8.48609415E+02	1.28867210E+02	6.58514619E+00	0.00000000E+00	400
10028	production	8.31998074E+02	1.28667604E+02	6.46625918E+00	0.00000000E+00	393
10029	production	8.57536858E+02	1.28682689E+02	6.66396439E+00	0.00000000E+00	370
10030	production	8.53109065E+02	1.28706756E+02	6.62831613E+00	0.00000000E+00	396
10031	production	8.32447625E+02	1.27683650E+02	6.51961016E+00	0.00000000E+00	396
10032	production	8.50426647E+02	1.28066611E+02	6.64050249E+00	0.00000000E+00	400
10033	production	8.55473585E+02	1.28293042E+02	6.66812142E+00	0.00000000E+00	401
10034	production	8.57155344E+02	1.28147230E+02	6.68883238E+00	0.00000000E+00	373
10035	production	8.59005408E+02	1.28254580E+02	6.69765872E+00	0.00000000E+00	382
10036	production	8.49738908E+02	1.27920456E+02	6.64271325E+00	0.00000000E+00	381
10037	production	8.53558672E+02	1.27784925E+02	6.67965077E+00	0.00000000E+00	378
10038	production	8.25185649E+02	1.26753933E+02	6.51013843E+00	0.00000000E+00	376
