chain_id	R2	Rg2
0	9.48872306E+03	1.30947466E+03
1	9.69851101E+03	9.99664132E+02
2	3.90973212E+02	2.58156636E+02
3	1.97849878E+03	5.34990841E+02
4	3.72024250E+03	5.86838799E+02
5	5.56681331E+03	4.91060415E+02
6	6.02640926E+03	8.69575360E+02
7	3.94851661E+03	4.68909196E+02
8	6.12430097E+03	7.87840087E+02
9	8.49481940E+03	7.42390867E+02
10	3.36096445E+03	5.00321263E+02
11	6.28099198E+03	5.75327627E+02
12	2.77690762E+03	6.39238873E+02
13	8.33852544E+03	7.05560417E+02
14	1.99747993E+03	3.91171709E+02
15	2.20618817E+03	3.97329123E+02
16	1.99422862E+03	4.29250796E+02
17	1.46941844E+03	3.84146479E+02
18	5.57019138E+03	7.10536705E+02
19	6.06935778E+03	7.99332203E+02
20	1.87057330E+03	5.35842400E+02
21	2.68887035E+03	4.39291915E+02
22	5.31173212E+03	6.26715570E+02
23	3.12295494E+03	3.72390007E+02
24	4.84968331E+03	5.57213254E+02
25	1.32946693E+03	3.05126146E+02
26	9.30985549E+02	2.57476689E+02
27	2.75696553E+03	4.20650594E+02
28	4.49348201E+03	9.73151594E+02
29	5.10418587E+03	4.86308644E+02
30	7.39515263E+03	1.07748993E+03
31	8.50537451E+02	4.96285141E+02
32	3.50327313E+03	5.18400659E+02
33	8.91521022E+02	3.36653429E+02
34	8.46073355E+03	9.60432198E+02
35	4.12828101E+03	3.82117396E+02
36	2.48011806E+02	5.49409328E+02
37	1.90407460E+03	4.89362105E+02
38	2.15370173E+03	5.30388153E+02
39	2.48442242E+02	4.51351457E+02
40	3.32715644E+03	5.15895858E+02
41	5.17715171E+03	5.20299311E+02
42	4.98810857E+03	9.43614522E+02
43	2.49437350E+03	4.34329348E+02
44	3.87055579E+03	8.96351900E+02
45	1.45476689E+03	4.22677379E+02
46	2.84891271E+03	3.09208687E+02
47	1.52253063E+03	2.79617846E+02
48	4.28253194E+03	6.36365219E+02
49	1.61957515E+03	4.83466617E+02
50	7.41225433E+03	8.08047763E+02
51	1.48042989E+04	1.54341543E+03
52	1.52952345E+03	3.49127622E+02
53	4.43584229E+03	9.00765470E+02
54	1.06088850E+03	3.74625327E+02
55	5.30805304E+03	6.89020438E+02
56	4.30081429E+03	9.50179995E+02
57	3.83866942E+03	4.28852422E+02
58	1.47602306E+03	4.37609960E+02
59	2.69167298E+03	6.77674624E+02
60	2.85226538E+03	7.57032753E+02
61	3.78029553E+03	4.11443454E+02
62	2.83243211E+03	4.00514406E+02
63	1.21612048E+03	5.12777926E+02
64	9.27547783E+02	6.83488342E+02
65	5.51455034E+03	6.45695646E+02
66	2.42742091E+03	4.24405335E+02
67	9.85849957E+02	4.02522943E+02
68	2.72044096E+03	6.03110942E+02
69	5.14679000E+03	6.64914763E+02
70	2.19908738E+03	5.21525855E+02
71	1.59587523E+03	5.54386598E+02
72	5.32460524E+02	4.11178750E+02
73	3.87365560E+03	8.13280014E+02
74	1.85796166E+03	4.01352158E+02
75	1.06063243E+04	8.30724775E+02
76	4.57393201E+03	8.53994652E+02
77	1.04579239E+02	3.36364262E+02
78	3.66367061E+03	8.91494631E+02
79	1.07229290E+04	1.56648196E+03
80	1.02385303E+04	1.22091118E+03
81	1.01346500E+04	1.01864353E+03
82	4.51852332E+03	6.64031041E+02
83	6.75732789E+02	3.90106242E+02
84	8.34136859E+03	6.93253249E+02
85	1.20366636E+03	3.85133957E+02
86	2.06870565E+03	5.49019348E+02
87	4.81614439E+03	7.80667113E+02
88	8.29090843E+03	8.76466008E+02
89	9.76237130E+02	2.63198327E+02
90	1.19121389E+03	5.50674475E+02
91	8.30733050E+03	1.23163579E+03
92	3.84108649E+03	7.43096103E+02
93	7.61020908E+02	3.90746157E+02
94	1.66442716E+03	6.16363518E+02
95	1.05509427E+04	1.13697894E+03
96	8.35516671E+03	1.00391821E+03
97	2.48193116E+03	4.52910421E+02
98	2.54516672E+03	5.11679698E+02
99	1.82683745E+03	8.47031508E+02
