sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
50018	production	3.90369483E+03	6.20277833E+02	6.29346177E+00	0.00000000E+00	1231
50019	production	3.87466345E+03	6.20165476E+02	6.24778965E+00	0.00000000E+00	1216
50020	production	3.84347222E+03	6.19015367E+02	6.20900938E+00	0.00000000E+00	1248
50021	production	3.81019340E+03	6.17587564E+02	6.16947884E+00	0.00000000E+00	1266
50022	production	3.80025474E+03	6.17578218E+02	6.15347924E+00	0.00000000E+00	1251
50023	production	3.75160437E+03	6.17452649E+02	6.07593858E+00	0.00000000E+00	1265
50024	production	3.77226817E+03	6.17874338E+02	6.10523521E+00	0.00000000E+00	1291
50025	production	3.79865138E+03	6.17944993E+02	6.14723223E+00	0.00000000E+00	1303
50026	production	3.81544054E+03	6.18859481E+02	6.16527768E+00	0.00000000E+00	1244
50027	production	3.80298737E+03	6.18998107E+02	6.14377867E+00	0.00000000E+00	1287
50028	production	3.85105610E+03	6.19370148E+02	6.21769730E+00	0.00000000E+00	1292
50029	production	3.82926558E+03	6.18468564E+02	6.19152824E+00	0.00000000E+00	1295
50030	production	3.79919798E+03	6.18901143E+02	6.13861846E+00	0.00000000E+00	1309
50031	production	3.75081995E+03	6.17064742E+02	6.07848690E+00	0.00000000E+00	1257
50032	production	3.81119252E+03	6.18806968E+02	6.15893601E+00	0.00000000E+00	1284
50033	production	3.82393213E+03	6.18200507E+02	6.18558556E+00	0.00000000E+00	1312
50034	production	3.85395721E+03	6.17517033E+02	6.24105409E+00	0.00000000E+00	1336
50035	production	3.80870655E+03	6.16926415E+02	6.17368045E+00	0.00000000E+00	1295
50036	production	3.84130330E+03	6.16585180E+02	6.22996372E+00	0.00000000E+00	1300
50037	production	3.85954909E+03	6.17223023E+02	6.25308673E+00	0.00000000E+00	1286
50038	production	3.89065781E+03	6.18845318E+02	6.28696331E+00	0.00000000E+00	1277
50039	production	3.85472341E+03	6.18319738E+02	6.23419111E+00	0.00000000E+00	1258
50040	production	3.82279574E+03	6.17696255E+02	6.18879540E+00	0.00000000E+00	1300
50041	production	3.84096947E+03	6.18741271E+02	6.20771501E+00	0.00000000E+00	1304
50042	production	3.86011615E+03	6.18968156E+02	6.23637277E+00	0.00000000E+00	1230
50043	production	3.86463327E+03	6.18487327E+02	6.24852459E+00	0.00000000E+00	1332
50044	production	3.90082002E+03	6.18577152E+02	6.30611721E+00	0.00000000E+00	1302
50045	production	3.88214536E+03	6.18361648E+02	6.27811471E+00	0.00000000E+00	1307
50046	production	3.87073495E+03	6.18757245E+02	6.25566001E+00	0.00000000E+00	1321
50047	production	3.90552003E+03	6.19228955E+02	6.30706946E+00	0.00000000E+00	1318
50048	production	3.86221099E+03	6.18451863E+02	6.24496621E+00	0.00000000E+00	1257
50049	production	3.85155762E+03	6.17578555E+02	6.23654689E+00	0.00000000E+00	1283
50050	production	3.90146517E+03	6.18032891E+02	6.31271446E+00	0.00000000E+00	1346
50051	production	3.93268995E+03	6.18857583E+02	6.35475762E+00	0.00000000E+00	1283
50052	production	3.95895439E+03	6.20571563E+02	6.37952918E+00	0.00000000E+00	1270
50053	production	3.94869696E+03	6.19016060E+02	6.37898953E+00	0.00000000E+00	1258
50054	production	3.95560613E+03	6.19525378E+02	6.38489765E+00	0.00000000E+00	1308
50055	production	3.97807821E+03	6.20712549E+02	6.40888963E+00	0.00000000E+00	1342
50056	production	3.95168777E+03	6.20920294E+02	6.36424323E+00	0.00000000E+00	1308
50057	production	3.91126972E+03	6.20085992E+02	6.30762469E+00	0.00000000E+00	1320
50058	production	3.86751401E+03	6.19174351E+02	6.24624390E+00	0.00000000E+00	1329
50059	production	3.88967841E+03	6.18530446E+02	6.28858036E+00	0.00000000E+00	1346
50060	production	3.88436411E+03	6.19327821E+02	6.27190315E+00	0.00000000E+00	1321
50061	production	3.91240865E+03	6.18911521E+02	6.32143451E+00	0.00000000E+00	1315
50062	production	3.93802946E+03	6.18934052E+02	6.36259945E+00	0.00000000E+00	1333
50063	production	3.95880887E+03	6.18907424E+02	6.39644754E+00	0.00000000E+00	1310
50064	production	3.97168651E+03	6.17810048E+02	6.42865315E+00	0.00000000E+00	1324
50065	production	3.97314018E+03	6.19833332E+02	6.41001374E+00	0.00000000E+00	1319
50066	production	3.91959656E+03	6.18550132E+02	6.33674840E+00	0.00000000E+00	1363
50067	production	3.93914739E+03	6.18025299E+02	6.37376398E+00	0.00000000E+00	1325
50068	production	3.92631751E+03	6.18100526E+02	6.35223131E+00	0.00000000E+00	1306
50069	production	3.93612179E+03	6.19215464E+02	6.35662708E+00	0.00000000E+00	1291
50070	production	3.94044653E+03	6.18913008E+02	6.36672114E+00	0.00000000E+00	1333
50071	production	3.93464751E+03	6.19937785E+02	6.34684254E+00	0.00000000E+00	1334
50072	production	3.93166071E+03	6.19041231E+02	6.35120977E+00	0.00000000E+00	1357
50073	production	3.91389347E+03	6.17522331E+02	6.33805981E+00	0.00000000E+00	1343
50074	production	3.91905080E+03	6.18973532E+02	6.33153211E+00	0.00000000E+00	1361
50075	production	3.90800732E+03	6.19566905E+02	6.30764375E+00	0.00000000E+00	1343
50076	production	3.89771576E+03	6.19017639E+02	6.29661501E+00	0.00000000E+00	1381
50077	production	3.92388332E+03	6.19925020E+02	6.32960954E+00	0.00000000E+00	1333
50078	production	3.89948106E+03	6.19278518E+02	6.29681306E+00	0.00000000E+00	1350
50079	production	3.89108391E+03	6.20505085E+02	6.27083324E+00	0.00000000E+00	1318
50080	production	3.88527505E+03	6.21048050E+02	6.25599749E+00	0.00000000E+00	1300
50081	production	3.87065980E+03	6.20544769E+02	6.23751902E+00	0.00000000E+00	1327
50082	production	3.83596922E+03	6.20536677E+02	6.18169621E+00	0.00000000E+00	1362
50083	production	3.88727524E+03	6.20500822E+02	6.26473826E+00	0.00000000E+00	1338
50084	production	3.88168975E+03	6.18761743E+02	6.27331891E+00	0.00000000E+00	1342
50085	production	3.88291890E+03	6.18628081E+02	6.27666124E+00	0.00000000E+00	1313
50086	production	3.87861142E+03	6.19128783E+02	6.26462786E+00	0.00000000E+00	1402
50087	production	3.88395613E+03	6.19759795E+02	6.26687332E+00	0.00000000E+00	1346
50088	production	3.89567004E+03	6.19738398E+02	6.28599108E+00	0.00000000E+00	1347
50089	production	3.88287387E+03	6.17373606E+02	6.28934219E+00	0.00000000E+00	1320
50090	production	3.88002949E+03	6.16807507E+02	6.29050303E+00	0.00000000E+00	1376
50091	production	3.81628947E+03	6.16442368E+02	6.19082929E+00	0.00000000E+00	1330
50092	production	3.84290382E+03	6.15939116E+02	6.23909688E+00	0.00000000E+00	1349
50093	production	3.85148062E+03	6.15683410E+02	6.25561864E+00	0.00000000E+00	1327
50094	production	3.89849286E+03	6.15938008E+02	6.32935914E+00	0.00000000E+00	1345
50095	production	3.91314945E+03	6.15985974E+02	6.35265998E+00	0.00000000E+00	1327
50096	production	3.90775853E+03	6.16305773E+02	6.34061646E+00	0.00000000E+00	1304
50097	production	3.88748307E+03	6.15557113E+02	6.31538972E+00	0.00000000E+00	1357
50098	production	3.86566188E+03	6.15238969E+02	6.28318763E+00	0.00000000E+00	1293
50099	production	3.87844619E+03	6.15306482E+02	6.30327537E+00	0.00000000E+00	1367
50100	production	3.85631745E+03	6.14151715E+02	6.27909580E+00	0.00000000E+00	1215
50101	production	3.86811043E+03	6.14990297E+02	6.28970969E+00	0.00000000E+00	1176
50102	production	3.87481166E+03	6.15063901E+02	6.29985218E+00	0.00000000E+00	1124
50103	production	3.82892641E+03	6.14928734E+02	6.22661814E+00	0.00000000E+00	1114
50104	production	3.88532806E+03	6.15901246E+02	6.30836207E+00	0.00000000E+00	1153
50105	production	3.87573139E+03	6.16388365E+02	6.28780751E+00	0.00000000E+00	1116
50106	production	3.89772230E+03	6.16886770E+02	6.31837557E+00	0.00000000E+00	1142
50107	production	3.88921746E+03	6.16951399E+02	6.30392842E+00	0.00000000E+00	1173
50108	production	3.93338412E+03	6.16409197E+02	6.38112497E+00	0.00000000E+00	1183
50109	production	3.93717546E+03	6.15572660E+02	6.39595569E+00	0.00000000E+00	1216
50110	production	3.93650650E+03	6.16646115E+02	6.38373681E+00	0.00000000E+00	1195
50111	production	3.95401874E+03	6.17723018E+02	6.40095742E+00	0.00000000E+00	1181
50112	production	4.00876022E+03	6.18960758E+02	6.47659833E+00	0.00000000E+00	1163
50113	production	3.99339516E+03	6.18281303E+02	6.45886451E+00	0.00000000E+00	1191
50114	production	3.95153679E+03	6.17932106E+02	6.39477501E+00	0.00000000E+00	1213
50115	production	3.87844109E+03	6.16982446E+02	6.28614496E+00	0.00000000E+00	1223
50116	production	3.93874991E+03	6.17849915E+02	6.37492992E+00	0.00000000E+00	1272
50117	production	3.97056981E+03	6.18651702E+02	6.41810213E+00	0.00000000E+00	1211
50118	production	3.95604502E+03	6.18172943E+02	6.39957648E+00	0.00000000E+00	1241
50119	production	3.91973275E+03	6.16618279E+02	6.35682217E+00	0.00000000E+00	1255
