lag_sweep	g_R
5	9.93896968E-01
10	9.90809309E-01
15	9.87932304E-01
20	9.86062261E-01
25	9.83978168E-01
30	9.82729601E-01
35	9.81018828E-01
40	9.80059375E-01
45	9.78551921E-01
50	9.77739235E-01
55	9.76392058E-01
60	9.75705908E-01
65	9.74498922E-01
70	9.73907455E-01
75	9.72738267E-01
80	9.72268571E-01
85	9.71212279E-01
90	9.70760567E-01
95	9.69774759E-01
100	9.69341805E-01
105	9.68390982E-01
110	9.68105077E-01
115	9.67166574E-01
120	9.66810334E-01
125	9.65945376E-01
130	9.65592026E-01
135	9.64827930E-01
140	9.64502877E-01
145	9.63775059E-01
150	9.63509443E-01
155	9.62787911E-01
160	9.62466491E-01
165	9.61726716E-01
170	9.61529855E-01
175	9.60808863E-01
180	9.60613830E-01
185	9.59922757E-01
190	9.59752364E-01
195	9.59103392E-01
200	9.58931802E-01
205	9.58330183E-01
210	9.58139488E-01
215	9.57546253E-01
220	9.57364106E-01
225	9.56765597E-01
230	9.56610400E-01
235	9.56029511E-01
240	9.55912922E-01
245	9.55341236E-01
250	9.55236805E-01
255	9.54662931E-01
260	9.54565484E-01
265	9.53981014E-01
270	9.53930052E-01
275	9.53379174E-01
280	9.53298794E-01
285	9.52756578E-01
290	9.52699908E-01
295	9.52126671E-01
300	9.52083768E-01
305	9.51460457E-01
310	9.51468554E-01
315	9.50932742E-01
320	9.50937439E-01
325	9.50365354E-01
330	9.50331465E-01
335	9.49818500E-01
340	9.49819631E-01
345	9.49311109E-01
350	9.49266585E-01
355	9.48736237E-01
360	9.48790725E-01
365	9.48260528E-01
370	9.48294098E-01
375	9.47698741E-01
380	9.47751755E-01
385	9.47136879E-01
390	9.47184921E-01
395	9.46630265E-01
400	9.46702867E-01
405	9.46182254E-01
410	9.46300559E-01
415	9.45740384E-01
420	9.45871885E-01
425	9.45378570E-01
430	9.45499663E-01
435	9.45034056E-01
440	9.45155430E-01
445	9.44744439E-01
450	9.44862097E-01
455	9.44349760E-01
460	9.44418004E-01
465	9.43971619E-01
470	9.44175303E-01
475	9.43732511E-01
480	9.43870027E-01
485	9.43341666E-01
490	9.43477998E-01
495	9.42996362E-01
500	9.43074932E-01
505	9.42583597E-01
510	9.42720168E-01
515	9.42281706E-01
520	9.42415232E-01
525	9.41918206E-01
530	9.42053452E-01
535	9.41610946E-01
540	9.41705723E-01
545	9.41280710E-01
550	9.41344886E-01
555	9.40940096E-01
560	9.41054378E-01
565	9.40656084E-01
570	9.40772601E-01
575	9.40274081E-01
580	9.40441536E-01
585	9.40030534E-01
590	9.40243323E-01
595	9.39746326E-01
600	9.39855385E-01
605	9.39390661E-01
610	9.39593119E-01
615	9.39164399E-01
620	9.39363652E-01
625	9.38924042E-01
630	9.39079266E-01
635	9.38621487E-01
640	9.38857871E-01
645	9.38416008E-01
650	9.38632531E-01
