lag_sweep	g_CM
5	2.68640682E-01
10	4.11006467E-01
15	5.23236874E-01
20	6.20944154E-01
25	7.07766683E-01
30	7.88275492E-01
35	8.61541619E-01
40	9.31400541E-01
45	9.95805788E-01
50	1.05977329E+00
55	1.11972554E+00
60	1.17780180E+00
65	1.23091532E+00
70	1.29011399E+00
75	1.33918750E+00
80	1.39505034E+00
85	1.44145548E+00
90	1.49643003E+00
95	1.54262162E+00
100	1.59542699E+00
105	1.63806426E+00
110	1.68951854E+00
115	1.73274719E+00
120	1.78254436E+00
125	1.82203303E+00
130	1.87396794E+00
135	1.90953693E+00
140	1.96010074E+00
145	1.99835571E+00
150	2.04641115E+00
155	2.08655549E+00
160	2.13377258E+00
165	2.17367858E+00
170	2.21729175E+00
175	2.25547704E+00
180	2.29890196E+00
185	2.33742746E+00
190	2.37886662E+00
195	2.41985424E+00
200	2.45998244E+00
205	2.50064190E+00
210	2.54099806E+00
215	2.58096638E+00
220	2.62206591E+00
225	2.66160215E+00
230	2.70245560E+00
235	2.74182077E+00
240	2.78369326E+00
245	2.82141416E+00
250	2.86247627E+00
255	2.89784810E+00
260	2.93823555E+00
265	2.97458450E+00
270	3.01251462E+00
275	3.05055976E+00
280	3.08728206E+00
285	3.12066212E+00
290	3.16054622E+00
295	3.19483944E+00
300	3.23293432E+00
305	3.26841725E+00
310	3.30556360E+00
315	3.34081775E+00
320	3.37662218E+00
325	3.41213433E+00
330	3.44943245E+00
335	3.48515990E+00
340	3.52205698E+00
345	3.55587652E+00
350	3.59043873E+00
355	3.62526336E+00
360	3.66131492E+00
365	3.69201614E+00
370	3.72923153E+00
375	3.76170303E+00
380	3.80071684E+00
385	3.83471814E+00
390	3.87433321E+00
395	3.90783532E+00
400	3.94724758E+00
405	3.98063963E+00
410	4.01734379E+00
415	4.05189418E+00
420	4.08750170E+00
425	4.12304828E+00
430	4.15960406E+00
435	4.19422816E+00
440	4.22742138E+00
445	4.26382539E+00
450	4.29801499E+00
455	4.33585272E+00
460	4.37034275E+00
465	4.40719781E+00
470	4.44090280E+00
475	4.47428865E+00
480	4.50758697E+00
485	4.54246254E+00
490	4.57537825E+00
495	4.60966075E+00
500	4.64456026E+00
505	4.67847699E+00
510	4.71096304E+00
515	4.74486800E+00
520	4.77842853E+00
525	4.81123240E+00
530	4.84740513E+00
535	4.88146821E+00
540	4.91861471E+00
545	4.94947633E+00
550	4.98696973E+00
555	5.01732761E+00
560	5.05603847E+00
565	5.08788506E+00
570	5.12374189E+00
575	5.15362779E+00
580	5.18927645E+00
585	5.21749464E+00
590	5.25118462E+00
