sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	1.54591200E+03	2.46652449E+02	6.26757209E+00	0.00000000E+00	650
500	equilibration	1.61685975E+03	2.58328166E+02	6.25893711E+00	0.00000000E+00	463
1000	equilibration	1.64727507E+03	2.60778087E+02	6.31676951E+00	0.00000000E+00	532
1500	equilibration	1.66573174E+03	2.64536804E+02	6.29678635E+00	0.00000000E+00	552
2000	equilibration	1.66810455E+03	2.69806575E+02	6.18259413E+00	0.00000000E+00	520
2500	equilibration	1.71775124E+03	2.74007937E+02	6.26898350E+00	0.00000000E+00	532
3000	equilibration	1.79544514E+03	2.72437356E+02	6.59030453E+00	0.00000000E+00	556
3500	equilibration	1.70257159E+03	2.71521209E+02	6.27049209E+00	0.00000000E+00	563
4000	equilibration	1.79960031E+03	2.74889110E+02	6.54664096E+00	0.00000000E+00	553
4500	equilibration	1.77093479E+03	2.79410617E+02	6.33810845E+00	0.00000000E+00	534
5000	equilibration	1.78698429E+03	2.79045031E+02	6.40392801E+00	0.00000000E+00	560
5500	equilibration	1.71277939E+03	2.73262326E+02	6.26789434E+00	0.00000000E+00	534
6000	equilibration	1.78405281E+03	2.76803038E+02	6.44520675E+00	0.00000000E+00	561
6500	equilibration	1.69284799E+03	2.72991190E+02	6.20110852E+00	0.00000000E+00	544
7000	equilibration	1.74432088E+03	2.76460122E+02	6.30948462E+00	0.00000000E+00	526
7500	equilibration	1.71578639E+03	2.71636067E+02	6.31648959E+00	0.00000000E+00	515
8000	equilibration	1.81609087E+03	2.75022354E+02	6.60343005E+00	0.00000000E+00	554
8500	equilibration	1.84440875E+03	2.75826520E+02	6.68684341E+00	0.00000000E+00	555
9000	equilibration	1.78658890E+03	2.76978980E+02	6.45026889E+00	0.00000000E+00	601
9500	equilibration	1.77748575E+03	2.81202832E+02	6.32100944E+00	0.00000000E+00	561
10000	equilibration	1.62952001E+03	2.77181899E+02	5.87888322E+00	0.00000000E+00	557
10500	equilibration	1.69653553E+03	2.75490022E+02	6.15824676E+00	0.00000000E+00	567
11000	equilibration	1.73490039E+03	2.78568993E+02	6.22790199E+00	0.00000000E+00	546
11500	equilibration	1.77479675E+03	2.75966990E+02	6.43119218E+00	0.00000000E+00	576
12000	equilibration	1.79748102E+03	2.81109068E+02	6.39424771E+00	0.00000000E+00	576
12500	equilibration	1.72847401E+03	2.75189331E+02	6.28103570E+00	0.00000000E+00	556
13000	equilibration	1.65119310E+03	2.69121871E+02	6.13548461E+00	0.00000000E+00	577
13500	equilibration	1.70412197E+03	2.69565285E+02	6.32174120E+00	0.00000000E+00	542
14000	equilibration	1.64599474E+03	2.67310994E+02	6.15760209E+00	0.00000000E+00	550
14500	equilibration	1.71096449E+03	2.72845715E+02	6.27081314E+00	0.00000000E+00	567
15000	equilibration	1.64591316E+03	2.73915643E+02	6.00883228E+00	0.00000000E+00	598
15500	equilibration	1.70213554E+03	2.75450875E+02	6.17945228E+00	0.00000000E+00	572
16000	equilibration	1.74561235E+03	2.76854017E+02	6.30517255E+00	0.00000000E+00	542
16500	equilibration	1.66949696E+03	2.71732518E+02	6.14389829E+00	0.00000000E+00	564
17000	equilibration	1.75841610E+03	2.71357889E+02	6.48006257E+00	0.00000000E+00	574
17500	equilibration	1.62468906E+03	2.67826028E+02	6.06621049E+00	0.00000000E+00	564
18000	equilibration	1.82244371E+03	2.75654237E+02	6.61133935E+00	0.00000000E+00	571
18500	equilibration	1.90310914E+03	2.84764088E+02	6.68310796E+00	0.00000000E+00	555
19000	equilibration	1.79526457E+03	2.79642467E+02	6.41985670E+00	0.00000000E+00	541
19500	equilibration	1.85544889E+03	2.77849500E+02	6.67789177E+00	0.00000000E+00	554
20000	equilibration	1.84726039E+03	2.77468401E+02	6.65755230E+00	0.00000000E+00	569
20500	equilibration	1.84916233E+03	2.78403887E+02	6.64201335E+00	0.00000000E+00	555
21000	equilibration	1.82199511E+03	2.71840806E+02	6.70243419E+00	0.00000000E+00	569
21500	equilibration	1.88665095E+03	2.74319821E+02	6.87755971E+00	0.00000000E+00	560
22000	equilibration	1.74882627E+03	2.71063479E+02	6.45172222E+00	0.00000000E+00	578
22500	equilibration	1.79093673E+03	2.72227912E+02	6.57881374E+00	0.00000000E+00	548
23000	equilibration	1.70768843E+03	2.66711947E+02	6.40274442E+00	0.00000000E+00	520
23500	equilibration	1.71909767E+03	2.71241069E+02	6.33789594E+00	0.00000000E+00	517
24000	equilibration	1.82997464E+03	2.75662788E+02	6.63845366E+00	0.00000000E+00	565
24500	equilibration	1.74081022E+03	2.73572170E+02	6.36325772E+00	0.00000000E+00	582
25000	production	1.66015104E+03	2.67682333E+02	6.20194473E+00	0.00000000E+00	566
25001	production	1.67847909E+03	2.67858103E+02	6.26629950E+00	0.00000000E+00	525
25002	production	1.68012559E+03	2.68085242E+02	6.26713198E+00	0.00000000E+00	522
25003	production	1.67013428E+03	2.67867532E+02	6.23492614E+00	0.00000000E+00	514
25004	production	1.67030097E+03	2.68846403E+02	6.21284478E+00	0.00000000E+00	517
25005	production	1.66929673E+03	2.68663751E+02	6.21333070E+00	0.00000000E+00	540
25006	production	1.63620947E+03	2.67478395E+02	6.11716499E+00	0.00000000E+00	523
25007	production	1.65050773E+03	2.67282490E+02	6.17514349E+00	0.00000000E+00	533
25008	production	1.63186185E+03	2.67202327E+02	6.10721423E+00	0.00000000E+00	514
25009	production	1.64180448E+03	2.66836274E+02	6.15285341E+00	0.00000000E+00	513
25010	production	1.65240593E+03	2.66951066E+02	6.18992071E+00	0.00000000E+00	530
25011	production	1.64804264E+03	2.67110533E+02	6.16989014E+00	0.00000000E+00	505
25012	production	1.66402692E+03	2.67819184E+02	6.21324767E+00	0.00000000E+00	523
25013	production	1.66169198E+03	2.67337685E+02	6.21570424E+00	0.00000000E+00	552
25014	production	1.67554511E+03	2.68008241E+02	6.25184175E+00	0.00000000E+00	572
25015	production	1.65883140E+03	2.67819108E+02	6.19385007E+00	0.00000000E+00	568
25016	production	1.66262529E+03	2.67416761E+02	6.21735633E+00	0.00000000E+00	542
25017	production	1.64111896E+03	2.67494475E+02	6.13515088E+00	0.00000000E+00	543
25018	production	1.62852481E+03	2.66859857E+02	6.10254695E+00	0.00000000E+00	581
25019	production	1.62716962E+03	2.66752159E+02	6.09993046E+00	0.00000000E+00	537
25020	production	1.62599902E+03	2.66761160E+02	6.09533645E+00	0.00000000E+00	511
25021	production	1.63190361E+03	2.66712106E+02	6.11859595E+00	0.00000000E+00	563
25022	production	1.65005621E+03	2.66860024E+02	6.18322738E+00	0.00000000E+00	540
25023	production	1.65140338E+03	2.67588637E+02	6.17142564E+00	0.00000000E+00	550
25024	production	1.66126562E+03	2.68544735E+02	6.18617832E+00	0.00000000E+00	571
25025	production	1.65597266E+03	2.68048913E+02	6.17787492E+00	0.00000000E+00	558
25026	production	1.63901980E+03	2.67424155E+02	6.12891456E+00	0.00000000E+00	567
25027	production	1.62506771E+03	2.66847559E+02	6.08987288E+00	0.00000000E+00	569
25028	production	1.64037850E+03	2.67249748E+02	6.13799830E+00	0.00000000E+00	546
25029	production	1.62837852E+03	2.67552268E+02	6.08620714E+00	0.00000000E+00	549
25030	production	1.62586902E+03	2.68346813E+02	6.05883484E+00	0.00000000E+00	564
25031	production	1.62851884E+03	2.67648104E+02	6.08455212E+00	0.00000000E+00	563
25032	production	1.63091278E+03	2.67703691E+02	6.09223123E+00	0.00000000E+00	580
25033	production	1.64092773E+03	2.67257962E+02	6.13986472E+00	0.00000000E+00	563
25034	production	1.63357181E+03	2.67686116E+02	6.10256458E+00	0.00000000E+00	550
25035	production	1.63332472E+03	2.67395430E+02	6.10827462E+00	0.00000000E+00	574
25036	production	1.63042211E+03	2.67771688E+02	6.08885174E+00	0.00000000E+00	562
25037	production	1.64165010E+03	2.67653322E+02	6.13349421E+00	0.00000000E+00	542
25038	production	1.60765026E+03	2.67393661E+02	6.01229755E+00	0.00000000E+00	545
25039	production	1.63233302E+03	2.67148565E+02	6.11020695E+00	0.00000000E+00	555
25040	production	1.64446134E+03	2.67252398E+02	6.15321451E+00	0.00000000E+00	581
25041	production	1.63105565E+03	2.66661491E+02	6.11657742E+00	0.00000000E+00	587
25042	production	1.62595574E+03	2.67373103E+02	6.08122406E+00	0.00000000E+00	554
25043	production	1.61938248E+03	2.66492492E+02	6.07665330E+00	0.00000000E+00	586
25044	production	1.63513619E+03	2.66738995E+02	6.13009803E+00	0.00000000E+00	587
25045	production	1.64292842E+03	2.66012175E+02	6.17613994E+00	0.00000000E+00	567
25046	production	1.65538688E+03	2.66441076E+02	6.21295676E+00	0.00000000E+00	570
25047	production	1.66665445E+03	2.66520481E+02	6.25338226E+00	0.00000000E+00	542
25048	production	1.64557898E+03	2.66532163E+02	6.17403530E+00	0.00000000E+00	559
25049	production	1.65097340E+03	2.67257612E+02	6.17746074E+00	0.00000000E+00	574
25050	production	1.64545768E+03	2.67475949E+02	6.15179675E+00	0.00000000E+00	555
25051	production	1.65077178E+03	2.68185813E+02	6.15532852E+00	0.00000000E+00	568
25052	production	1.64823557E+03	2.68343801E+02	6.14225321E+00	0.00000000E+00	601
25053	production	1.64085897E+03	2.67853748E+02	6.12595112E+00	0.00000000E+00	579
25054	production	1.65730129E+03	2.68252341E+02	6.17814287E+00	0.00000000E+00	602
25055	production	1.65114302E+03	2.68368850E+02	6.15251367E+00	0.00000000E+00	594
25056	production	1.67525514E+03	2.69259829E+02	6.22170470E+00	0.00000000E+00	579
25057	production	1.69131514E+03	2.69961183E+02	6.26503086E+00	0.00000000E+00	566
25058	production	1.69050809E+03	2.70406267E+02	6.25173414E+00	0.00000000E+00	566
25059	production	1.70124829E+03	2.70576364E+02	6.28749781E+00	0.00000000E+00	582
25060	production	1.71659463E+03	2.71834267E+02	6.31485740E+00	0.00000000E+00	564
25061	production	1.73107841E+03	2.71714253E+02	6.37095181E+00	0.00000000E+00	592
25062	production	1.73432675E+03	2.72074332E+02	6.37445927E+00	0.00000000E+00	565
25063	production	1.72701372E+03	2.71863451E+02	6.35250422E+00	0.00000000E+00	594
25064	production	1.70882884E+03	2.71039254E+02	6.30472826E+00	0.00000000E+00	584
25065	production	1.69665397E+03	2.71637213E+02	6.24602923E+00	0.00000000E+00	573
25066	production	1.68982686E+03	2.71621845E+02	6.22124801E+00	0.00000000E+00	583
25067	production	1.73310045E+03	2.72327362E+02	6.36403349E+00	0.00000000E+00	588
25068	production	1.71626689E+03	2.71007506E+02	6.33291276E+00	0.00000000E+00	597
25069	production	1.73007633E+03	2.72709324E+02	6.34403071E+00	0.00000000E+00	579
25070	production	1.70230953E+03	2.72330326E+02	6.25089964E+00	0.00000000E+00	620
25071	production	1.71116193E+03	2.72280524E+02	6.28455502E+00	0.00000000E+00	567
25072	production	1.69562990E+03	2.71545732E+02	6.24436217E+00	0.00000000E+00	562
25073	production	1.68207281E+03	2.70791818E+02	6.21168255E+00	0.00000000E+00	597
25074	production	1.69735682E+03	2.70437244E+02	6.27634270E+00	0.00000000E+00	608
25075	production	1.69064882E+03	2.70088924E+02	6.25960071E+00	0.00000000E+00	573
25076	production	1.70636636E+03	2.70168582E+02	6.31593187E+00	0.00000000E+00	588
25077	production	1.71430737E+03	2.69631723E+02	6.35795874E+00	0.00000000E+00	599
25078	production	1.69383491E+03	2.70156408E+02	6.26983058E+00	0.00000000E+00	591
25079	production	1.69718188E+03	2.69671630E+02	6.29351291E+00	0.00000000E+00	565
25080	production	1.68282195E+03	2.69911917E+02	6.23470785E+00	0.00000000E+00	598
25081	production	1.68610243E+03	2.69914717E+02	6.24679697E+00	0.00000000E+00	540
25082	production	1.68858373E+03	2.71029168E+02	6.23026570E+00	0.00000000E+00	600
25083	production	1.66244112E+03	2.69820120E+02	6.16129410E+00	0.00000000E+00	598
25084	production	1.66651047E+03	2.69759303E+02	6.17776830E+00	0.00000000E+00	561
25085	production	1.67983581E+03	2.70025670E+02	6.22102265E+00	0.00000000E+00	591
25086	production	1.70390808E+03	2.70103228E+02	6.30835882E+00	0.00000000E+00	581
25087	production	1.73091695E+03	2.70899257E+02	6.38952269E+00	0.00000000E+00	634
25088	production	1.71887263E+03	2.69533965E+02	6.37720234E+00	0.00000000E+00	596
25089	production	1.70095354E+03	2.69355581E+02	6.31489993E+00	0.00000000E+00	594
25090	production	1.69786109E+03	2.68046458E+02	6.33420454E+00	0.00000000E+00	607
25091	production	1.70928311E+03	2.69362911E+02	6.34565130E+00	0.00000000E+00	595
25092	production	1.70741461E+03	2.69399101E+02	6.33786304E+00	0.00000000E+00	573
25093	production	1.71326171E+03	2.69412738E+02	6.35924536E+00	0.00000000E+00	578
25094	production	1.70533143E+03	2.69249241E+02	6.33365362E+00	0.00000000E+00	580
25095	production	1.70996346E+03	2.69836195E+02	6.33704258E+00	0.00000000E+00	608
25096	production	1.68945944E+03	2.68887394E+02	6.28314855E+00	0.00000000E+00	576
25097	production	1.68661149E+03	2.68517496E+02	6.28119773E+00	0.00000000E+00	595
25098	production	1.69640139E+03	2.68534999E+02	6.31724505E+00	0.00000000E+00	574
25099	production	1.70043164E+03	2.68947993E+02	6.32252958E+00	0.00000000E+00	584
25100	production	1.71462910E+03	2.69999861E+02	6.35048139E+00	0.00000000E+00	573
25101	production	1.69970009E+03	2.69417642E+02	6.30879284E+00	0.00000000E+00	522
25102	production	1.69504247E+03	2.69081046E+02	6.29937520E+00	0.00000000E+00	544
25103	production	1.67196654E+03	2.68675104E+02	6.22300507E+00	0.00000000E+00	550
25104	production	1.64919519E+03	2.68992898E+02	6.13099900E+00	0.00000000E+00	516
25105	production	1.66979959E+03	2.68976417E+02	6.20797765E+00	0.00000000E+00	513
25106	production	1.68164172E+03	2.69617827E+02	6.23713104E+00	0.00000000E+00	539
25107	production	1.67816286E+03	2.69743730E+02	6.22132296E+00	0.00000000E+00	541
25108	production	1.66751640E+03	2.69402645E+02	6.18968085E+00	0.00000000E+00	535
25109	production	1.64960600E+03	2.69448332E+02	6.12216072E+00	0.00000000E+00	517
25110	production	1.66395938E+03	2.69358595E+02	6.17748760E+00	0.00000000E+00	534
25111	production	1.67596964E+03	2.70356457E+02	6.19911085E+00	0.00000000E+00	535
25112	production	1.68209179E+03	2.69849319E+02	6.23344833E+00	0.00000000E+00	572
25113	production	1.68676718E+03	2.69277457E+02	6.26404897E+00	0.00000000E+00	537
25114	production	1.68160711E+03	2.69584231E+02	6.23777993E+00	0.00000000E+00	526
25115	production	1.68085861E+03	2.69237974E+02	6.24302207E+00	0.00000000E+00	553
25116	production	1.69735183E+03	2.69525374E+02	6.29755858E+00	0.00000000E+00	549
25117	production	1.71163616E+03	2.70247212E+02	6.33359416E+00	0.00000000E+00	563
25118	production	1.71327315E+03	2.69628307E+02	6.35420358E+00	0.00000000E+00	574
25119	production	1.69248303E+03	2.68829344E+02	6.29575256E+00	0.00000000E+00	547
25120	production	1.69795323E+03	2.69446732E+02	6.30162860E+00	0.00000000E+00	555
25121	production	1.70146047E+03	2.69294276E+02	6.31821997E+00	0.00000000E+00	550
25122	production	1.68217277E+03	2.69273592E+02	6.24707664E+00	0.00000000E+00	561
