lag_sweep	g1
5	5.99460401E+00
10	8.54714890E+00
15	1.02703402E+01
20	1.15046730E+01
25	1.26235006E+01
30	1.35529354E+01
35	1.43380652E+01
40	1.51156565E+01
45	1.58366954E+01
50	1.64604812E+01
55	1.70031586E+01
60	1.75470743E+01
65	1.79948080E+01
70	1.84101701E+01
75	1.88564511E+01
80	1.92442666E+01
85	1.96395925E+01
90	2.00234046E+01
95	2.04383618E+01
100	2.08648391E+01
105	2.11819025E+01
110	2.14929341E+01
115	2.18080922E+01
120	2.21896401E+01
125	2.25004157E+01
130	2.28610377E+01
135	2.31684187E+01
140	2.34148253E+01
145	2.36825228E+01
150	2.39302456E+01
155	2.41645986E+01
160	2.43976880E+01
165	2.46914142E+01
170	2.49815735E+01
175	2.52962082E+01
180	2.55580224E+01
185	2.58203725E+01
190	2.60452895E+01
195	2.62391476E+01
200	2.64593682E+01
205	2.66681367E+01
210	2.68277690E+01
215	2.70080148E+01
220	2.72226468E+01
225	2.73833572E+01
230	2.75922108E+01
235	2.77693923E+01
240	2.79389000E+01
245	2.81078884E+01
250	2.83110879E+01
255	2.84606723E+01
260	2.86721934E+01
265	2.88828308E+01
270	2.90322472E+01
275	2.92043439E+01
280	2.93634705E+01
285	2.95271033E+01
290	2.96804684E+01
295	2.98518638E+01
300	3.00451891E+01
305	3.02233159E+01
310	3.03789272E+01
315	3.05366747E+01
320	3.06693375E+01
325	3.08446407E+01
330	3.10109535E+01
335	3.11821885E+01
340	3.13514728E+01
345	3.14652878E+01
350	3.15941022E+01
355	3.17039225E+01
360	3.18453509E+01
365	3.19510268E+01
370	3.20801316E+01
375	3.22443345E+01
380	3.24878212E+01
385	3.26381338E+01
390	3.27955039E+01
395	3.29639440E+01
400	3.30964760E+01
405	3.31726550E+01
410	3.32847210E+01
415	3.34151943E+01
420	3.35146910E+01
425	3.36881923E+01
430	3.38311878E+01
435	3.39770658E+01
440	3.40924788E+01
445	3.42415688E+01
450	3.43847343E+01
455	3.44924881E+01
460	3.45794459E+01
465	3.47342505E+01
470	3.48664055E+01
475	3.49866528E+01
480	3.50583659E+01
485	3.52055774E+01
490	3.53073496E+01
495	3.54087022E+01
500	3.55663758E+01
505	3.56886458E+01
510	3.58677485E+01
515	3.59848235E+01
520	3.61324478E+01
525	3.62558580E+01
530	3.63712570E+01
535	3.64400446E+01
540	3.64859599E+01
545	3.65829368E+01
550	3.67228898E+01
555	3.67708443E+01
560	3.68317995E+01
565	3.69148389E+01
570	3.69628967E+01
575	3.70988352E+01
580	3.72219359E+01
585	3.73459281E+01
590	3.74511587E+01
595	3.75572950E+01
600	3.76695464E+01
605	3.77753956E+01
610	3.78845393E+01
615	3.80573992E+01
620	3.81785530E+01
625	3.83438414E+01
630	3.84780674E+01
635	3.85753444E+01
640	3.87625094E+01
645	3.88537860E+01
650	3.89752225E+01
655	3.91374650E+01
660	3.92256135E+01
665	3.93373521E+01
670	3.94544728E+01
675	3.95608997E+01
680	3.96467087E+01
685	3.97476722E+01
690	3.99158136E+01
695	3.99998443E+01
700	4.00924419E+01
705	4.01644083E+01
710	4.02810936E+01
715	4.04708373E+01
720	4.06370307E+01
725	4.07833377E+01
730	4.09556718E+01
735	4.10784547E+01
740	4.11600928E+01
745	4.12854367E+01
750	4.14799182E+01
755	4.15974012E+01
760	4.16210761E+01
765	4.17113841E+01
770	4.18114214E+01
775	4.19084304E+01
780	4.19536702E+01
785	4.20782898E+01
790	4.21606323E+01
795	4.22533960E+01
800	4.23648004E+01
805	4.24705521E+01
810	4.26310697E+01
815	4.28018758E+01
820	4.30177070E+01
825	4.32088036E+01
830	4.33160522E+01
835	4.34691570E+01
840	4.36033998E+01
845	4.37144312E+01
850	4.38102704E+01
855	4.38865545E+01
860	4.39923099E+01
865	4.40949173E+01
870	4.41695091E+01
875	4.42592650E+01
880	4.43371847E+01
885	4.43936469E+01
890	4.44234063E+01
895	4.45379156E+01
900	4.46452823E+01
905	4.47817888E+01
910	4.48924560E+01
915	4.50261356E+01
920	4.51180676E+01
925	4.51577567E+01
930	4.52123114E+01
935	4.52572957E+01
940	4.53096542E+01
945	4.54202681E+01
950	4.55230713E+01
955	4.56206021E+01
960	4.57007303E+01
965	4.57470753E+01
970	4.58479421E+01
975	4.59604101E+01
980	4.60841111E+01
985	4.62064932E+01
990	4.62793624E+01
995	4.63468935E+01
1000	4.64213810E+01
1005	4.64899650E+01
1010	4.64883823E+01
1015	4.65858792E+01
1020	4.66761662E+01
1025	4.67937501E+01
1030	4.68908128E+01
1035	4.70014231E+01
1040	4.71050700E+01
1045	4.71835158E+01
1050	4.72784529E+01
1055	4.73712270E+01
1060	4.74316441E+01
1065	4.74615740E+01
1070	4.75567721E+01
1075	4.76475371E+01
1080	4.77980898E+01
1085	4.78685750E+01
1090	4.78767360E+01
1095	4.79440284E+01
1100	4.80605835E+01
1105	4.81949258E+01
1110	4.82489882E+01
1115	4.83107309E+01
1120	4.83381622E+01
1125	4.84070319E+01
1130	4.84605355E+01
1135	4.85335687E+01
1140	4.85629521E+01
1145	4.86325588E+01
1150	4.86857272E+01
1155	4.87490898E+01
1160	4.88078224E+01
1165	4.88411875E+01
1170	4.89740064E+01
1175	4.90532858E+01
1180	4.91807565E+01
1185	4.93288562E+01
1190	4.94704124E+01
1195	4.95671650E+01
1200	4.97269922E+01
