lag_sweep	g_R
5	9.92370545E-01
10	9.88715688E-01
15	9.86088331E-01
20	9.83996370E-01
25	9.82226322E-01
30	9.80612249E-01
35	9.79235378E-01
40	9.77949544E-01
45	9.76723457E-01
50	9.75567223E-01
55	9.74456834E-01
60	9.73415777E-01
65	9.72406358E-01
70	9.71471803E-01
75	9.70588775E-01
80	9.69688708E-01
85	9.68824914E-01
90	9.68094069E-01
95	9.67375820E-01
100	9.66656402E-01
105	9.65958398E-01
110	9.65276524E-01
115	9.64612920E-01
120	9.63979245E-01
125	9.63288731E-01
130	9.62698477E-01
135	9.62174191E-01
140	9.61522276E-01
145	9.60926256E-01
150	9.60361161E-01
155	9.59809328E-01
160	9.59273819E-01
165	9.58779866E-01
170	9.58278700E-01
175	9.57784603E-01
180	9.57289901E-01
185	9.56790206E-01
190	9.56250910E-01
195	9.55692245E-01
200	9.55162734E-01
205	9.54643157E-01
210	9.54083278E-01
215	9.53628060E-01
220	9.53153615E-01
225	9.52685979E-01
230	9.52188287E-01
235	9.51711620E-01
240	9.51293917E-01
245	9.50846356E-01
250	9.50415973E-01
255	9.49886593E-01
260	9.49392303E-01
265	9.48887638E-01
270	9.48407843E-01
275	9.47932302E-01
280	9.47426216E-01
285	9.47011122E-01
290	9.46561120E-01
295	9.46163786E-01
300	9.45791443E-01
305	9.45385908E-01
310	9.44945823E-01
315	9.44512291E-01
320	9.44073453E-01
325	9.43665743E-01
330	9.43243501E-01
335	9.42824710E-01
340	9.42348417E-01
345	9.41959747E-01
350	9.41608064E-01
355	9.41236249E-01
360	9.40744420E-01
365	9.40355090E-01
370	9.39946243E-01
375	9.39490159E-01
380	9.39027198E-01
385	9.38599207E-01
390	9.38085550E-01
395	9.37669169E-01
400	9.37239677E-01
405	9.36863542E-01
410	9.36442563E-01
415	9.36078441E-01
420	9.35703277E-01
425	9.35347338E-01
430	9.35036441E-01
435	9.34662357E-01
440	9.34266305E-01
445	9.33844768E-01
450	9.33476201E-01
455	9.33105442E-01
