lag_sweep	g_CM
5	4.34196578E-01
10	7.01928364E-01
15	9.29254896E-01
20	1.12903670E+00
25	1.31605534E+00
30	1.48840285E+00
35	1.65649210E+00
40	1.81352591E+00
45	1.96844442E+00
50	2.11702658E+00
55	2.26272558E+00
60	2.40366889E+00
65	2.54418721E+00
70	2.67551805E+00
75	2.81211393E+00
80	2.94406117E+00
85	3.07923459E+00
90	3.20513253E+00
95	3.33129302E+00
100	3.45755031E+00
105	3.58409964E+00
110	3.71238024E+00
115	3.83678311E+00
120	3.96455542E+00
125	4.09010413E+00
130	4.21666406E+00
135	4.33478351E+00
140	4.45963497E+00
145	4.58460798E+00
150	4.70791575E+00
155	4.83279363E+00
160	4.95732008E+00
165	5.08056299E+00
170	5.20550542E+00
175	5.32774018E+00
180	5.44817489E+00
185	5.57235798E+00
190	5.69435135E+00
195	5.81721457E+00
200	5.93612545E+00
205	6.05379421E+00
210	6.17250802E+00
215	6.29158933E+00
220	6.40617074E+00
225	6.52693391E+00
230	6.63863180E+00
235	6.75261241E+00
240	6.86721661E+00
245	6.98051644E+00
250	7.09378092E+00
255	7.20745788E+00
260	7.32336829E+00
265	7.43693067E+00
270	7.55231064E+00
275	7.66626204E+00
280	7.77696365E+00
285	7.88844605E+00
290	8.00003785E+00
295	8.11076004E+00
300	8.22399191E+00
305	8.33912691E+00
310	8.45202575E+00
315	8.56709105E+00
320	8.68077909E+00
325	8.79625835E+00
330	8.90459689E+00
335	9.02418266E+00
340	9.12969066E+00
345	9.24885319E+00
350	9.35987102E+00
355	9.47823273E+00
360	9.58752566E+00
365	9.70528802E+00
370	9.81401567E+00
375	9.92996652E+00
380	1.00393958E+01
385	1.01589112E+01
390	1.02665689E+01
395	1.03806692E+01
400	1.04917253E+01
405	1.06101011E+01
410	1.07207043E+01
415	1.08389060E+01
420	1.09484069E+01
425	1.10663093E+01
430	1.11785330E+01
435	1.12950846E+01
440	1.14125571E+01
445	1.15298477E+01
450	1.16405554E+01
455	1.17608020E+01
460	1.18745690E+01
465	1.19852029E+01
470	1.20974151E+01
475	1.22085086E+01
480	1.23204259E+01
485	1.24352498E+01
490	1.25421236E+01
495	1.26596238E+01
500	1.27648460E+01
505	1.28830691E+01
510	1.29904596E+01
515	1.31079218E+01
520	1.32108098E+01
525	1.33315671E+01
530	1.34328449E+01
535	1.35573436E+01
540	1.36576507E+01
545	1.37822575E+01
550	1.38798937E+01
555	1.40051723E+01
560	1.41007278E+01
565	1.42253882E+01
570	1.43233425E+01
575	1.44447354E+01
580	1.45428828E+01
585	1.46640631E+01
590	1.47654199E+01
595	1.48864648E+01
600	1.49837154E+01
605	1.51081167E+01
610	1.52038286E+01
615	1.53260856E+01
620	1.54193204E+01
625	1.55437087E+01
630	1.56405944E+01
635	1.57623601E+01
640	1.58560803E+01
645	1.59747845E+01
650	1.60681827E+01
655	1.61857420E+01
660	1.62778862E+01
665	1.63972127E+01
670	1.64869609E+01
675	1.66052286E+01
680	1.67007411E+01
685	1.68177466E+01
690	1.69119829E+01
695	1.70335476E+01
700	1.71266575E+01
705	1.72454636E+01
710	1.73385877E+01
715	1.74588915E+01
720	1.75584520E+01
725	1.76803140E+01
730	1.77753855E+01
735	1.78995913E+01
740	1.79967694E+01
745	1.81161298E+01
750	1.82108694E+01
755	1.83341756E+01
760	1.84308633E+01
765	1.85507627E+01
770	1.86483693E+01
775	1.87697116E+01
780	1.88714730E+01
785	1.89854848E+01
790	1.90840188E+01
795	1.92005134E+01
800	1.92972769E+01
805	1.94128153E+01
810	1.95050184E+01
815	1.96243762E+01
820	1.97124824E+01
825	1.98316140E+01
830	1.99230004E+01
835	2.00407788E+01
840	2.01316317E+01
845	2.02474057E+01
850	2.03406161E+01
855	2.04566526E+01
860	2.05495497E+01
865	2.06674363E+01
870	2.07624659E+01
