chain_id	R2	Rg2
0	2.74781745E+03	6.35057188E+02
1	2.30705248E+03	5.36237001E+02
2	8.64056821E+03	9.18971815E+02
3	1.08490316E+04	1.32905839E+03
4	6.44505190E+02	3.19313791E+02
5	3.57936063E+02	3.85126051E+02
6	4.48881515E+03	4.97112656E+02
7	6.59854537E+03	1.11801993E+03
8	1.01552474E+04	1.19221052E+03
9	3.16977726E+03	4.07882399E+02
10	8.39274887E+03	1.14888251E+03
11	4.89201658E+03	8.06183960E+02
12	3.68434532E+03	5.45497096E+02
13	3.53278459E+03	7.40577923E+02
14	4.36634889E+03	7.64499932E+02
15	9.27390968E+03	1.16602738E+03
16	1.88617650E+03	8.32593067E+02
17	4.42469010E+03	7.62497964E+02
18	3.91097632E+03	6.95108198E+02
19	4.16502237E+03	1.05830485E+03
20	7.10281672E+03	7.73565501E+02
21	1.21953108E+04	1.49147479E+03
22	8.41019080E+02	3.64910588E+02
23	4.82555176E+03	1.03180619E+03
24	2.14304784E+03	3.23570465E+02
25	4.21171771E+03	8.90917795E+02
26	9.16636667E+03	8.85272214E+02
27	5.28024719E+03	8.36037277E+02
28	2.13971981E+03	5.20143501E+02
29	3.94057219E+03	7.06815988E+02
30	2.37876556E+03	4.19262993E+02
31	1.00967877E+03	6.08245936E+02
32	2.67150959E+03	5.06050844E+02
33	7.44192073E+03	9.53862190E+02
34	7.15975950E+03	6.48076579E+02
35	4.03350268E+03	8.23271798E+02
36	2.53747059E+03	6.01887866E+02
37	6.72270956E+03	1.02440281E+03
38	6.34930154E+03	9.72673938E+02
39	7.86978592E+03	1.08793448E+03
40	3.40503326E+03	3.81867199E+02
41	2.04217416E+02	2.43701200E+02
42	2.83484934E+03	5.91972587E+02
43	4.19527162E+03	6.12738801E+02
44	4.41297514E+03	1.11028497E+03
45	5.26523087E+03	6.45471176E+02
46	4.00733210E+03	5.39190685E+02
47	4.98885837E+02	3.36186168E+02
48	4.00303445E+03	6.36279200E+02
49	3.09032872E+03	6.77704517E+02
50	9.22387267E+03	1.37702196E+03
51	4.48718468E+03	9.53597161E+02
52	4.25309214E+03	5.46751747E+02
53	5.76535722E+03	6.73491850E+02
54	3.24727251E+03	5.35536513E+02
55	7.13081813E+03	1.10561480E+03
56	4.40571555E+03	4.44604009E+02
57	8.78994205E+02	5.26546101E+02
58	2.10608398E+03	5.40350343E+02
59	3.87437827E+03	5.45574671E+02
60	4.91352522E+03	6.54140451E+02
61	8.77619188E+03	1.09232933E+03
62	3.41505045E+03	6.58380966E+02
63	5.25932620E+03	7.93824730E+02
64	2.74364509E+03	8.26299207E+02
65	4.81944243E+03	8.51470038E+02
66	3.33134714E+03	8.06489137E+02
67	3.90370096E+03	1.06461031E+03
68	1.80994223E+03	5.95746691E+02
69	1.21098493E+04	9.03209650E+02
70	4.91408522E+03	7.35521144E+02
71	4.46431452E+03	1.22945539E+03
72	1.05316278E+03	4.17685994E+02
73	1.00691993E+04	1.02746857E+03
74	1.44653474E+04	1.57049063E+03
75	7.37696104E+03	9.34601888E+02
76	6.77604597E+03	8.31583519E+02
77	4.21365444E+02	3.83372270E+02
78	4.48544780E+03	8.18252370E+02
79	4.85424247E+03	9.82489150E+02
80	1.30916278E+04	1.27843571E+03
81	8.68413102E+03	1.02935475E+03
82	7.81289804E+02	2.82588447E+02
83	3.61804956E+03	4.62301297E+02
84	8.08396185E+02	2.90860118E+02
85	6.26901185E+03	7.13694669E+02
86	3.91304723E+03	5.13619508E+02
87	2.71254069E+03	5.55632822E+02
88	3.24671712E+03	7.29966865E+02
89	5.87408749E+03	9.10416125E+02
90	2.37083644E+03	4.64980770E+02
91	2.31870280E+03	5.61155421E+02
92	3.94416610E+03	5.13595895E+02
93	5.33423286E+03	6.99179947E+02
94	1.52877955E+03	4.61575740E+02
95	9.93881603E+03	9.89532711E+02
96	9.90117510E+03	1.04971732E+03
97	1.15702796E+03	4.04507120E+02
98	8.90333633E+03	9.46923988E+02
99	1.51530791E+03	4.45226802E+02
