lag_sweep	g1
1415	1.94598553E+02
1420	1.95044486E+02
1425	1.95454650E+02
1430	1.95953585E+02
1435	1.96210524E+02
1440	1.96630360E+02
1445	1.96960189E+02
1450	1.97503261E+02
1455	1.97896205E+02
1460	1.98304077E+02
1465	1.98809500E+02
1470	1.99117898E+02
1475	1.99506210E+02
1480	1.99791715E+02
1485	2.00139746E+02
1490	2.00589761E+02
1495	2.01002029E+02
1500	2.01336330E+02
1505	2.01693816E+02
1510	2.02106543E+02
1515	2.02431497E+02
1520	2.02846819E+02
1525	2.03029621E+02
1530	2.03467533E+02
1535	2.03801731E+02
1540	2.04161429E+02
1545	2.04643038E+02
1550	2.04784948E+02
1555	2.05179780E+02
1560	2.05402528E+02
1565	2.05752177E+02
1570	2.05924898E+02
1575	2.06330313E+02
1580	2.06644187E+02
1585	2.07233365E+02
1590	2.07422524E+02
1595	2.07898802E+02
1600	2.08273990E+02
1605	2.08653094E+02
1610	2.08945571E+02
1615	2.09353982E+02
1620	2.09708164E+02
1625	2.10060627E+02
1630	2.10458637E+02
1635	2.10796219E+02
1640	2.11077933E+02
1645	2.11385959E+02
1650	2.11726127E+02
1655	2.11914687E+02
1660	2.12304542E+02
1665	2.12474417E+02
1670	2.12816838E+02
1675	2.13064816E+02
1680	2.13582202E+02
1685	2.13684926E+02
1690	2.14095973E+02
1695	2.14214860E+02
1700	2.14636297E+02
1705	2.14759175E+02
1710	2.15270042E+02
1715	2.15324858E+02
1720	2.15798136E+02
1725	2.16002633E+02
1730	2.16516105E+02
1735	2.16568859E+02
1740	2.17030642E+02
1745	2.17207089E+02
1750	2.17568021E+02
1755	2.17671213E+02
1760	2.18104721E+02
1765	2.18322066E+02
1770	2.18602119E+02
1775	2.18786468E+02
1780	2.19340686E+02
1785	2.19440492E+02
1790	2.19892725E+02
1795	2.20109145E+02
1800	2.20434763E+02
1805	2.20674650E+02
1810	2.21140061E+02
1815	2.21662253E+02
1820	2.21856317E+02
1825	2.22127693E+02
1830	2.22422163E+02
1835	2.22653655E+02
1840	2.22976503E+02
1845	2.23306776E+02
1850	2.23482558E+02
1855	2.23861317E+02
1860	2.24123558E+02
1865	2.24435253E+02
1870	2.24734319E+02
1875	2.25083472E+02
1880	2.25422982E+02
1885	2.25714094E+02
1890	2.26174033E+02
1895	2.26514975E+02
1900	2.26822671E+02
1905	2.27081980E+02
1910	2.27429185E+02
1915	2.27770086E+02
1920	2.28051117E+02
1925	2.28277993E+02
1930	2.28537843E+02
1935	2.28896378E+02
1940	2.29254332E+02
1945	2.29537598E+02
1950	2.29994261E+02
1955	2.30430068E+02
1960	2.30648752E+02
1965	2.31099428E+02
1970	2.31233355E+02
1975	2.31649451E+02
1980	2.31794524E+02
1985	2.32133038E+02
1990	2.32590481E+02
1995	2.32941868E+02
2000	2.33271865E+02
2005	2.33698301E+02
2010	2.33916567E+02
2015	2.34279142E+02
2020	2.34578435E+02
2025	2.34825644E+02
2030	2.35068863E+02
2035	2.35449752E+02
2040	2.35759986E+02
2045	2.36146242E+02
2050	2.36437077E+02
2055	2.36789909E+02
2060	2.36844375E+02
2065	2.37238189E+02
2070	2.37423558E+02
2075	2.37744820E+02
2080	2.37968357E+02
2085	2.38327189E+02
2090	2.38670295E+02
2095	2.38915222E+02
2100	2.39187545E+02
2105	2.39639293E+02
2110	2.40039099E+02
2115	2.40367792E+02
2120	2.40864877E+02
2125	2.41168178E+02
2130	2.41563883E+02
2135	2.41975877E+02
2140	2.42230348E+02
2145	2.42678117E+02
2150	2.42934498E+02
2155	2.43346235E+02
2160	2.43518831E+02
2165	2.44070795E+02
2170	2.44353697E+02
2175	2.44807706E+02
2180	2.44947588E+02
2185	2.45303361E+02
2190	2.45588128E+02
2195	2.46143907E+02
2200	2.46354314E+02
2205	2.46738339E+02
2210	2.46921232E+02
2215	2.47447567E+02
2220	2.47641059E+02
2225	2.47985876E+02
2230	2.48348810E+02
2235	2.48794121E+02
2240	2.49052583E+02
2245	2.49553922E+02
2250	2.49668243E+02
2255	2.50234926E+02
2260	2.50354693E+02
2265	2.50877520E+02
2270	2.50966706E+02
2275	2.51626263E+02
2280	2.51648574E+02
2285	2.52113352E+02
2290	2.52099077E+02
2295	2.52846879E+02
2300	2.52760769E+02
2305	2.53373534E+02
2310	2.53468120E+02
2315	2.54149984E+02
2320	2.54276249E+02
2325	2.55033406E+02
2330	2.55100684E+02
2335	2.55802447E+02
2340	2.55932115E+02
2345	2.56553820E+02
2350	2.56542520E+02
2355	2.56943794E+02
2360	2.56938031E+02
2365	2.57542175E+02
2370	2.57569946E+02
2375	2.58089504E+02
2380	2.58378545E+02
2385	2.58733971E+02
2390	2.59049731E+02
2395	2.59376018E+02
2400	2.59692281E+02
2405	2.59899445E+02
2410	2.60119631E+02
2415	2.60386827E+02
2420	2.60774289E+02
2425	2.61051928E+02
2430	2.61320592E+02
2435	2.61620806E+02
2440	2.61814311E+02
2445	2.62122522E+02
2450	2.62601436E+02
2455	2.62918644E+02
2460	2.63259494E+02
2465	2.63498604E+02
2470	2.63857607E+02
2475	2.64196691E+02
2480	2.64586119E+02
2485	2.64864632E+02
2490	2.65087998E+02
2495	2.65341816E+02
2500	2.65703159E+02
2505	2.65925702E+02
2510	2.66378033E+02
2515	2.66568102E+02
2520	2.66860439E+02
2525	2.67071901E+02
2530	2.67289767E+02
2535	2.67541797E+02
2540	2.68086678E+02
2545	2.68163258E+02
2550	2.68547491E+02
2555	2.68686934E+02
2560	2.69003212E+02
2565	2.69415163E+02
2570	2.69771375E+02
2575	2.70042891E+02
2580	2.70371925E+02
2585	2.70519918E+02
2590	2.70822649E+02
2595	2.71165469E+02
2600	2.71331513E+02
2605	2.71799928E+02
2610	2.71983346E+02
2615	2.72214829E+02
2620	2.72280308E+02
2625	2.72476672E+02
2630	2.72729359E+02
2635	2.72951927E+02
2640	2.73068956E+02
2645	2.73279726E+02
2650	2.73362013E+02
2655	2.73746125E+02
2660	2.73757457E+02
2665	2.74213686E+02
2670	2.74236442E+02
2675	2.74683816E+02
2680	2.74749919E+02
2685	2.75178300E+02
2690	2.75364345E+02
2695	2.75979250E+02
2700	2.76049903E+02
2705	2.76607693E+02
2710	2.76656030E+02
2715	2.77255559E+02
2720	2.77319513E+02
2725	2.77836076E+02
2730	2.78048859E+02
2735	2.78426360E+02
2740	2.78616697E+02
2745	2.79034370E+02
2750	2.79149843E+02
2755	2.79645324E+02
2760	2.79662578E+02
2765	2.79985096E+02
2770	2.80154107E+02
2775	2.80577090E+02
2780	2.80676222E+02
2785	2.81108011E+02
2790	2.81379433E+02
2795	2.81544430E+02
2800	2.81753293E+02
2805	2.82076987E+02
2810	2.82179344E+02
2815	2.82462374E+02
2820	2.82551965E+02
2825	2.82797896E+02
2830	2.83080578E+02
2835	2.83146712E+02
2840	2.83369992E+02
2845	2.83398797E+02
2850	2.83630826E+02
2855	2.83797066E+02
2860	2.84032649E+02
2865	2.84265067E+02
2870	2.84497778E+02
2875	2.84616035E+02
2880	2.85016097E+02
2885	2.85291863E+02
2890	2.85482427E+02
2895	2.85780788E+02
2900	2.85972063E+02
2905	2.86361809E+02
2910	2.86614251E+02
2915	2.87034771E+02
2920	2.87190107E+02
2925	2.87491116E+02
2930	2.87771195E+02
2935	2.87883976E+02
2940	2.88211170E+02
2945	2.88364152E+02
2950	2.88648282E+02
2955	2.88923398E+02
2960	2.89195185E+02
2965	2.89276274E+02
2970	2.89626340E+02
2975	2.89895089E+02
2980	2.90212473E+02
2985	2.90590072E+02
2990	2.90907859E+02
2995	2.91093181E+02
3000	2.91326051E+02
3005	2.91709254E+02
3010	2.91918793E+02
3015	2.92236287E+02
3020	2.92553101E+02
3025	2.92721691E+02
3030	2.92976295E+02
3035	2.93328402E+02
3040	2.93624146E+02
3045	2.93737119E+02
3050	2.93993509E+02
3055	2.94326596E+02
3060	2.94604830E+02
3065	2.94842020E+02
3070	2.95063325E+02
3075	2.95234350E+02
3080	2.95450330E+02
3085	2.95790995E+02
3090	2.95971504E+02
3095	2.96208673E+02
3100	2.96639619E+02
3105	2.96851158E+02
3110	2.97230424E+02
3115	2.97545453E+02
3120	2.98002936E+02
3125	2.98319314E+02
3130	2.98581968E+02
3135	2.98886868E+02
3140	2.98896544E+02
3145	2.99568654E+02
3150	2.99615258E+02
3155	2.99967738E+02
3160	3.00001670E+02
3165	3.00420205E+02
3170	3.00512094E+02
3175	3.00845756E+02
3180	3.01017178E+02
3185	3.01334553E+02
3190	3.01749680E+02
3195	3.01992268E+02
3200	3.02562722E+02
3205	3.02628460E+02
3210	3.02986933E+02
3215	3.03265621E+02
3220	3.03566615E+02
3225	3.03708415E+02
3230	3.03964004E+02
3235	3.04216751E+02
3240	3.04565267E+02
3245	3.04726760E+02
3250	3.04999392E+02
3255	3.05103154E+02
3260	3.05371927E+02
3265	3.05698907E+02
3270	3.05903615E+02
3275	3.06283928E+02
3280	3.06563917E+02
3285	3.06904409E+02
3290	3.07032532E+02
3295	3.07402738E+02
3300	3.07544371E+02
3305	3.07743942E+02
3310	3.07971289E+02
3315	3.08392431E+02
3320	3.08394791E+02
3325	3.08905139E+02
3330	3.08893061E+02
3335	3.09379210E+02
3340	3.09336170E+02
3345	3.09687383E+02
3350	3.09670872E+02
3355	3.10066826E+02
3360	3.10314381E+02
3365	3.10611179E+02
3370	3.10566468E+02
3375	3.11013129E+02
3380	3.11308416E+02
3385	3.11596729E+02
3390	3.11940517E+02
3395	3.12162504E+02
3400	3.12547584E+02
3405	3.12857090E+02
3410	3.13277375E+02
3415	3.13380293E+02
3420	3.13824070E+02
3425	3.14144940E+02
3430	3.14454857E+02
3435	3.14587566E+02
3440	3.15089802E+02
3445	3.15250416E+02
3450	3.15636953E+02
3455	3.15854091E+02
3460	3.16234928E+02
3465	3.16353157E+02
3470	3.16844388E+02
3475	3.16996789E+02
3480	3.17479053E+02
3485	3.17473490E+02
3490	3.18145532E+02
3495	3.18156602E+02
3500	3.18781856E+02
3505	3.18720817E+02
3510	3.19412090E+02
3515	3.19309295E+02
3520	3.19778573E+02
3525	3.19744062E+02
3530	3.20495599E+02
3535	3.20570383E+02
3540	3.20962225E+02
3545	3.21009221E+02
3550	3.21557036E+02
3555	3.21640223E+02
3560	3.22192709E+02
3565	3.22238289E+02
3570	3.22900957E+02
3575	3.23057437E+02
3580	3.23745287E+02
3585	3.23890483E+02
3590	3.24534672E+02
3595	3.24523708E+02
3600	3.25088992E+02
3605	3.25151714E+02
3610	3.25450901E+02
3615	3.25438541E+02
3620	3.25747782E+02
3625	3.25736358E+02
3630	3.26088626E+02
3635	3.26338627E+02
3640	3.26427171E+02
3645	3.26694808E+02
3650	3.26904900E+02
3655	3.27134215E+02
3660	3.27231934E+02
3665	3.27345491E+02
3670	3.27723198E+02
3675	3.27990352E+02
3680	3.28210541E+02
3685	3.28245585E+02
3690	3.28567533E+02
3695	3.28633037E+02
3700	3.29146790E+02
3705	3.29417758E+02
3710	3.29798595E+02
3715	3.30048744E+02
3720	3.30339706E+02
3725	3.30651144E+02
3730	3.30960943E+02
3735	3.31381646E+02
3740	3.31563552E+02
3745	3.31989561E+02
3750	3.32239471E+02
3755	3.32788260E+02
3760	3.33103527E+02
3765	3.33324068E+02
3770	3.33717537E+02
3775	3.33902922E+02
3780	3.34355190E+02
3785	3.34347325E+02
3790	3.34809114E+02
3795	3.35130067E+02
3800	3.35436883E+02
3805	3.35806667E+02
3810	3.36231617E+02
3815	3.36370599E+02
3820	3.36722684E+02
3825	3.36991363E+02
3830	3.37407662E+02
3835	3.37691221E+02
3840	3.38118368E+02
3845	3.38394521E+02
3850	3.38772008E+02
3855	3.39048930E+02
3860	3.39228397E+02
3865	3.39389317E+02
3870	3.39687746E+02
3875	3.39980446E+02
3880	3.40357587E+02
3885	3.40591933E+02
3890	3.40718118E+02
3895	3.41020305E+02
3900	3.41273785E+02
3905	3.41692488E+02
3910	3.41624238E+02
3915	3.41948585E+02
3920	3.42193773E+02
3925	3.42583471E+02
3930	3.42676095E+02
3935	3.43141374E+02
3940	3.43315757E+02
3945	3.43493977E+02
3950	3.43607088E+02
3955	3.43779268E+02
3960	3.43785566E+02
3965	3.43946977E+02
3970	3.44114673E+02
3975	3.44323294E+02
3980	3.44449522E+02
3985	3.44711612E+02
3990	3.44687347E+02
3995	3.44851291E+02
4000	3.45149056E+02
4005	3.45136868E+02
4010	3.45231392E+02
4015	3.45145648E+02
4020	3.45321851E+02
4025	3.45426188E+02
4030	3.45699791E+02
4035	3.45729292E+02
4040	3.46003643E+02
4045	3.46018678E+02
4050	3.46212283E+02
4055	3.46096102E+02
4060	3.46308836E+02
4065	3.46217681E+02
4070	3.46312959E+02
4075	3.46498642E+02
4080	3.46756598E+02
4085	3.46770585E+02
4090	3.47036691E+02
4095	3.47126253E+02
4100	3.47588592E+02
4105	3.47793911E+02
4110	3.48031772E+02
4115	3.48346136E+02
4120	3.48321811E+02
4125	3.48433087E+02
4130	3.48731163E+02
4135	3.48612166E+02
4140	3.48866762E+02
4145	3.48975915E+02
4150	3.49355246E+02
4155	3.49190989E+02
4160	3.49756526E+02
4165	3.49486958E+02
4170	3.50027305E+02
4175	3.49936943E+02
4180	3.50531918E+02
4185	3.50375436E+02
4190	3.50830569E+02
4195	3.50649600E+02
4200	3.51115505E+02
4205	3.50738105E+02
4210	3.51226215E+02
4215	3.51111527E+02
4220	3.51660858E+02
4225	3.51523746E+02
4230	3.51893797E+02
4235	3.51790863E+02
4240	3.52522179E+02
4245	3.52263948E+02
4250	3.52841073E+02
4255	3.52505848E+02
4260	3.53055978E+02
4265	3.52976405E+02
4270	3.53748646E+02
4275	3.53389770E+02
4280	3.54092720E+02
4285	3.53502964E+02
4290	3.54218779E+02
4295	3.53863429E+02
4300	3.54478704E+02
4305	3.54182553E+02
4310	3.54973098E+02
4315	3.54670754E+02
4320	3.55381118E+02
4325	3.54830203E+02
4330	3.55628924E+02
4335	3.55022454E+02
4340	3.55908928E+02
4345	3.55517085E+02
4350	3.56143349E+02
4355	3.55600693E+02
4360	3.56286805E+02
4365	3.55843765E+02
4370	3.56628785E+02
4375	3.56199515E+02
4380	3.56956968E+02
