sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	3.52915036E+03	5.52212817E+02	6.39092440E+00	0.00000000E+00	1454
1000	equilibration	3.41574990E+03	5.69812933E+02	5.99451100E+00	0.00000000E+00	1626
2000	equilibration	3.74274941E+03	6.09253337E+02	6.14317424E+00	0.00000000E+00	1578
3000	equilibration	3.76629871E+03	6.33258042E+02	5.94749447E+00	0.00000000E+00	1558
4000	equilibration	3.85035655E+03	6.47072566E+02	5.95042466E+00	0.00000000E+00	1581
5000	equilibration	3.91197412E+03	6.56006539E+02	5.96331574E+00	0.00000000E+00	1556
6000	equilibration	3.92122970E+03	6.43190732E+02	6.09652705E+00	0.00000000E+00	1529
7000	equilibration	3.98721458E+03	6.65124027E+02	5.99469334E+00	0.00000000E+00	1550
8000	equilibration	4.16697188E+03	6.75562928E+02	6.16814764E+00	0.00000000E+00	1562
9000	equilibration	4.16677527E+03	6.94532300E+02	5.99939739E+00	0.00000000E+00	1549
10000	equilibration	4.26303650E+03	7.04567986E+02	6.05056799E+00	0.00000000E+00	1549
11000	equilibration	4.14280498E+03	7.00578052E+02	5.91340960E+00	0.00000000E+00	1546
12000	equilibration	4.26401168E+03	7.15416412E+02	5.96018153E+00	0.00000000E+00	1542
13000	equilibration	4.57248730E+03	7.24679898E+02	6.30966488E+00	0.00000000E+00	1598
14000	equilibration	4.42937494E+03	7.28934766E+02	6.07650389E+00	0.00000000E+00	1615
15000	equilibration	4.85396852E+03	7.50798820E+02	6.46507212E+00	0.00000000E+00	1531
16000	equilibration	4.68884338E+03	7.47722857E+02	6.27083061E+00	0.00000000E+00	1527
17000	equilibration	4.75241606E+03	7.56388078E+02	6.28303936E+00	0.00000000E+00	1558
18000	equilibration	4.87216175E+03	7.56984331E+02	6.43627821E+00	0.00000000E+00	1585
19000	equilibration	4.69360456E+03	7.33518604E+02	6.39875327E+00	0.00000000E+00	1550
20000	equilibration	4.66453220E+03	7.37612673E+02	6.32382328E+00	0.00000000E+00	1565
21000	equilibration	4.51347313E+03	7.29103540E+02	6.19044194E+00	0.00000000E+00	1547
22000	equilibration	4.64037495E+03	7.34465358E+02	6.31803107E+00	0.00000000E+00	1604
23000	equilibration	5.04145082E+03	7.50500631E+02	6.71745048E+00	0.00000000E+00	1517
24000	equilibration	4.84388644E+03	7.53266170E+02	6.43051107E+00	0.00000000E+00	1562
25000	equilibration	4.68312434E+03	7.46094497E+02	6.27685148E+00	0.00000000E+00	1541
26000	equilibration	4.57102628E+03	7.16722534E+02	6.37767904E+00	0.00000000E+00	1530
27000	equilibration	4.80131565E+03	7.36965062E+02	6.51498409E+00	0.00000000E+00	1583
28000	equilibration	4.86606333E+03	7.48758435E+02	6.49884275E+00	0.00000000E+00	1549
29000	equilibration	4.64618707E+03	7.41616831E+02	6.26494286E+00	0.00000000E+00	1559
30000	equilibration	4.47122286E+03	7.32368509E+02	6.10515445E+00	0.00000000E+00	1497
31000	equilibration	4.66336660E+03	7.32148436E+02	6.36942780E+00	0.00000000E+00	1564
32000	equilibration	4.60746316E+03	7.26104699E+02	6.34545289E+00	0.00000000E+00	1563
33000	equilibration	4.52123208E+03	7.22715527E+02	6.25589448E+00	0.00000000E+00	1565
34000	equilibration	4.59070013E+03	7.18772784E+02	6.38685858E+00	0.00000000E+00	1531
35000	equilibration	4.81999252E+03	7.23620837E+02	6.66093660E+00	0.00000000E+00	1543
36000	equilibration	4.61020447E+03	7.22559853E+02	6.38037728E+00	0.00000000E+00	1547
37000	equilibration	4.64060489E+03	7.35953065E+02	6.30557179E+00	0.00000000E+00	1490
38000	equilibration	4.72190170E+03	7.56410492E+02	6.24251217E+00	0.00000000E+00	1512
39000	equilibration	4.68942619E+03	7.47819853E+02	6.27079660E+00	0.00000000E+00	1524
40000	equilibration	4.94816438E+03	7.42550162E+02	6.66374426E+00	0.00000000E+00	1560
41000	equilibration	4.84423815E+03	7.57969734E+02	6.39107069E+00	0.00000000E+00	1560
42000	equilibration	4.73873332E+03	7.63135291E+02	6.20955862E+00	0.00000000E+00	1547
43000	equilibration	5.10161452E+03	7.71400380E+02	6.61344569E+00	0.00000000E+00	1579
44000	equilibration	5.11190136E+03	7.72257092E+02	6.61942947E+00	0.00000000E+00	1567
45000	equilibration	5.28131647E+03	7.69250885E+02	6.86553188E+00	0.00000000E+00	1570
46000	equilibration	4.82965209E+03	7.58720713E+02	6.36552029E+00	0.00000000E+00	1524
47000	equilibration	4.81792508E+03	7.56253593E+02	6.37077975E+00	0.00000000E+00	1551
