lag_sweep	g_R
5	9.91191186E-01
10	9.85135719E-01
15	9.81211425E-01
20	9.77463729E-01
25	9.74949792E-01
30	9.72163713E-01
35	9.70335358E-01
40	9.67993285E-01
45	9.66598769E-01
50	9.64579297E-01
55	9.63503550E-01
60	9.61836822E-01
65	9.60950532E-01
70	9.59379167E-01
75	9.58590411E-01
80	9.57097166E-01
85	9.56413154E-01
90	9.55054476E-01
95	9.54567314E-01
100	9.53315885E-01
105	9.52764313E-01
110	9.51652075E-01
115	9.51119031E-01
120	9.49957236E-01
125	9.49542915E-01
130	9.48470378E-01
135	9.48237698E-01
140	9.47149860E-01
145	9.46878502E-01
150	9.45784614E-01
155	9.45577345E-01
160	9.44452982E-01
165	9.44311479E-01
170	9.43337671E-01
175	9.43099794E-01
180	9.42137749E-01
185	9.42057596E-01
190	9.41093841E-01
195	9.41049244E-01
200	9.40033813E-01
205	9.40039235E-01
210	9.38997515E-01
215	9.38941824E-01
220	9.38029928E-01
225	9.38078527E-01
230	9.37165032E-01
235	9.37106966E-01
240	9.36178633E-01
245	9.36131358E-01
250	9.35208707E-01
255	9.35201961E-01
260	9.34245902E-01
265	9.34232378E-01
270	9.33372176E-01
275	9.33379124E-01
280	9.32596882E-01
285	9.32623567E-01
290	9.31747204E-01
295	9.31842485E-01
300	9.30842316E-01
305	9.31028407E-01
310	9.30074898E-01
315	9.30244408E-01
320	9.29330286E-01
325	9.29492812E-01
330	9.28638610E-01
335	9.28700474E-01
340	9.27841011E-01
345	9.27920221E-01
350	9.26980290E-01
355	9.27075172E-01
360	9.26230082E-01
365	9.26441576E-01
370	9.25602600E-01
375	9.25779348E-01
380	9.24966778E-01
385	9.25036114E-01
390	9.24212236E-01
395	9.24381860E-01
400	9.23610461E-01
405	9.23778233E-01
410	9.22948444E-01
415	9.23069853E-01
420	9.22260073E-01
425	9.22296927E-01
430	9.21615830E-01
435	9.21665073E-01
440	9.20853670E-01
445	9.20884124E-01
450	9.20082873E-01
455	9.20125699E-01
460	9.19438803E-01
465	9.19541202E-01
470	9.18891401E-01
475	9.19031933E-01
480	9.18301423E-01
485	9.18469256E-01
490	9.17766835E-01
495	9.17906176E-01
500	9.17149509E-01
505	9.17304392E-01
510	9.16515628E-01
515	9.16711169E-01
520	9.15991146E-01
525	9.16099097E-01
530	9.15304401E-01
535	9.15477845E-01
540	9.14756666E-01
545	9.14859764E-01
550	9.14148763E-01
555	9.14259591E-01
560	9.13467360E-01
565	9.13562548E-01
570	9.12754185E-01
575	9.12944986E-01
580	9.12231649E-01
585	9.12437255E-01
590	9.11753089E-01
595	9.11808390E-01
600	9.11078515E-01
605	9.11164749E-01
610	9.10519661E-01
615	9.10576951E-01
620	9.09896926E-01
625	9.10006682E-01
630	9.09362493E-01
635	9.09419169E-01
640	9.08751408E-01
645	9.08873599E-01
650	9.08205962E-01
655	9.08318195E-01
660	9.07673923E-01
665	9.07794484E-01
670	9.07008442E-01
675	9.07170931E-01
680	9.06441172E-01
685	9.06653186E-01
690	9.05951223E-01
695	9.06204838E-01
700	9.05392859E-01
705	9.05666537E-01
710	9.04912709E-01
715	9.05140736E-01
720	9.04462013E-01
725	9.04753591E-01
730	9.04038795E-01
735	9.04348993E-01
740	9.03647891E-01
745	9.03919549E-01
750	9.03212528E-01
755	9.03423255E-01
760	9.02758628E-01
765	9.03083289E-01
770	9.02362625E-01
775	9.02666525E-01
780	9.01969301E-01
785	9.02320298E-01
790	9.01672047E-01
795	9.01926761E-01
800	9.01183559E-01
805	9.01497272E-01
810	9.00798594E-01
815	9.01058408E-01
820	9.00320515E-01
825	9.00502765E-01
830	8.99815350E-01
835	8.99912175E-01
840	8.99244556E-01
845	8.99467341E-01
850	8.98827088E-01
855	8.99027641E-01
860	8.98294222E-01
865	8.98386074E-01
870	8.97799795E-01
875	8.97945248E-01
880	8.97264906E-01
885	8.97433052E-01
890	8.96785316E-01
895	8.96948853E-01
900	8.96283259E-01
905	8.96504004E-01
910	8.95918195E-01
915	8.96014918E-01
920	8.95379722E-01
925	8.95713578E-01
930	8.95076110E-01
935	8.95352646E-01
940	8.94658866E-01
945	8.94862678E-01
950	8.94239295E-01
955	8.94442815E-01
960	8.93792804E-01
965	8.94110829E-01
970	8.93453425E-01
975	8.93775755E-01
980	8.93173805E-01
985	8.93450669E-01
990	8.92857843E-01
995	8.93146289E-01
1000	8.92573094E-01
1005	8.92811641E-01
1010	8.92247565E-01
1015	8.92464719E-01
1020	8.91757877E-01
1025	8.92002530E-01
1030	8.91271920E-01
1035	8.91590665E-01
1040	8.90982630E-01
1045	8.91274024E-01
1050	8.90629233E-01
1055	8.90879019E-01
1060	8.90177189E-01
1065	8.90513776E-01
1070	8.89810765E-01
1075	8.90043227E-01
1080	8.89309290E-01
1085	8.89705293E-01
1090	8.88979535E-01
1095	8.89365104E-01
1100	8.88653074E-01
1105	8.88941169E-01
1110	8.88219821E-01
1115	8.88551553E-01
1120	8.87879217E-01
1125	8.88227273E-01
