lag_sweep	g_CM
5	6.03256131E-01
10	9.17689332E-01
15	1.16551836E+00
20	1.37305185E+00
25	1.56418560E+00
30	1.73739187E+00
35	1.89629745E+00
40	2.04348812E+00
45	2.18867141E+00
50	2.33135010E+00
55	2.47260429E+00
60	2.60779585E+00
65	2.74403201E+00
70	2.86912595E+00
75	2.98295102E+00
80	3.09129036E+00
85	3.20451380E+00
90	3.31381785E+00
95	3.41737015E+00
100	3.52387623E+00
105	3.62514712E+00
110	3.72628345E+00
115	3.82740919E+00
120	3.93028917E+00
125	4.01747065E+00
130	4.10768069E+00
135	4.19412319E+00
140	4.28333515E+00
145	4.37417561E+00
150	4.46267216E+00
155	4.55027138E+00
160	4.63607848E+00
165	4.72509325E+00
170	4.81283599E+00
175	4.89377773E+00
180	4.96634429E+00
185	5.04293208E+00
190	5.12353894E+00
195	5.19972053E+00
200	5.28009362E+00
205	5.35252759E+00
210	5.43283009E+00
215	5.51036337E+00
220	5.59206327E+00
225	5.67113398E+00
230	5.74568295E+00
235	5.82392708E+00
240	5.89708749E+00
245	5.97449734E+00
250	6.06180928E+00
255	6.14567438E+00
260	6.21672409E+00
265	6.29666658E+00
270	6.36754295E+00
275	6.44086709E+00
280	6.51865185E+00
285	6.58822666E+00
290	6.66342076E+00
295	6.74156597E+00
300	6.81896317E+00
305	6.90229981E+00
310	6.98357289E+00
315	7.05836970E+00
320	7.13045329E+00
325	7.18988289E+00
330	7.25096255E+00
335	7.31196004E+00
340	7.38607939E+00
345	7.45522883E+00
350	7.52487835E+00
355	7.59150377E+00
360	7.66727614E+00
365	7.73307947E+00
370	7.80605409E+00
375	7.86384890E+00
380	7.93106481E+00
385	8.00148836E+00
390	8.05874881E+00
395	8.11631433E+00
400	8.17642913E+00
405	8.22876121E+00
410	8.28687611E+00
415	8.35222551E+00
420	8.42033291E+00
425	8.48431999E+00
430	8.55040802E+00
435	8.60801549E+00
440	8.66565204E+00
445	8.72674860E+00
450	8.79442348E+00
455	8.85675823E+00
460	8.92516844E+00
465	8.99551029E+00
470	9.05442886E+00
475	9.11868510E+00
480	9.17296251E+00
485	9.22813260E+00
490	9.28152694E+00
495	9.33721319E+00
500	9.39339979E+00
505	9.45804982E+00
510	9.51263885E+00
515	9.56966774E+00
520	9.62702517E+00
525	9.69351855E+00
530	9.74658940E+00
535	9.80596266E+00
540	9.85272611E+00
545	9.91172009E+00
550	9.97216082E+00
555	1.00278653E+01
560	1.00782128E+01
565	1.01264364E+01
570	1.01773007E+01
575	1.02295589E+01
580	1.02745121E+01
585	1.03189771E+01
590	1.03756536E+01
595	1.04254100E+01
600	1.04816919E+01
605	1.05356034E+01
610	1.05880709E+01
615	1.06434648E+01
620	1.07068820E+01
625	1.07695080E+01
630	1.08181573E+01
635	1.08628106E+01
640	1.09161086E+01
645	1.09642776E+01
650	1.10219692E+01
655	1.10713981E+01
660	1.11278307E+01
665	1.11848705E+01
670	1.12367893E+01
675	1.12800433E+01
680	1.13300364E+01
685	1.13797395E+01
690	1.14366420E+01
695	1.15018106E+01
700	1.15571004E+01
705	1.16088742E+01
710	1.16622212E+01
715	1.17166713E+01
720	1.17664593E+01
725	1.18131878E+01
730	1.18629474E+01
735	1.19174767E+01
740	1.19750579E+01
745	1.20240076E+01
750	1.20696140E+01
755	1.21166647E+01
760	1.21695366E+01
765	1.21962207E+01
770	1.22297856E+01
775	1.22793183E+01
780	1.23079107E+01
785	1.23309720E+01
790	1.23792739E+01
795	1.24217419E+01
800	1.24592356E+01
805	1.25076616E+01
810	1.25610663E+01
815	1.26194245E+01
820	1.26773743E+01
825	1.27441115E+01
830	1.28097819E+01
835	1.28711851E+01
840	1.29268487E+01
845	1.29905036E+01
850	1.30442443E+01
855	1.31019450E+01
860	1.31471447E+01
865	1.31848290E+01
870	1.32317982E+01
875	1.32743052E+01
880	1.33337450E+01
885	1.34004982E+01
890	1.34664113E+01
895	1.35233995E+01
900	1.35788991E+01
905	1.36263338E+01
910	1.36892460E+01
915	1.37601558E+01
920	1.38347788E+01
925	1.39186785E+01
930	1.39875754E+01
935	1.40727545E+01
940	1.41407162E+01
945	1.42112340E+01
950	1.42783566E+01
955	1.43609249E+01
960	1.44400643E+01
965	1.45076123E+01
970	1.46089492E+01
975	1.47001379E+01
980	1.47950750E+01
985	1.48855970E+01
990	1.49684068E+01
995	1.50428595E+01
1000	1.51291999E+01
1005	1.52082788E+01
1010	1.52969366E+01
1015	1.53906181E+01
1020	1.54680109E+01
1025	1.55302232E+01
1030	1.56039905E+01
1035	1.56785109E+01
1040	1.57626168E+01
1045	1.58257483E+01
1050	1.58936658E+01
1055	1.59460916E+01
1060	1.60107831E+01
1065	1.60789004E+01
1070	1.61301859E+01
1075	1.61682611E+01
1080	1.62298746E+01
1085	1.62914378E+01
1090	1.63623118E+01
1095	1.64088569E+01
1100	1.64521567E+01
1105	1.64665710E+01
1110	1.65140201E+01
1115	1.65397177E+01
1120	1.65581264E+01
1125	1.65346501E+01
1130	1.65320337E+01
1135	1.65617021E+01
1140	1.66078446E+01
1145	1.66531590E+01
1150	1.66758914E+01
1155	1.67284511E+01
1160	1.67770486E+01
1165	1.67776612E+01
1170	1.68446257E+01
1175	1.69192609E+01
1180	1.69248274E+01
1185	1.69585006E+01
1190	1.70039772E+01
1195	1.70002369E+01
1200	1.69891048E+01
1205	1.70183434E+01
1210	1.71489207E+01
1215	1.71964850E+01
1220	1.73043732E+01
1225	1.73953428E+01
1230	1.74171504E+01
1235	1.75333573E+01
1240	1.75878779E+01
1245	1.75984002E+01
