lag_sweep	g_CM
5	1.74117197E+00
10	2.85104995E+00
15	3.79333082E+00
20	4.63061745E+00
25	5.39944446E+00
30	6.13487128E+00
35	6.82061639E+00
40	7.47788069E+00
45	8.12743883E+00
50	8.77809653E+00
55	9.38969066E+00
60	9.99582022E+00
65	1.05880129E+01
70	1.11671719E+01
75	1.17573588E+01
80	1.23219233E+01
85	1.28507591E+01
90	1.33874842E+01
95	1.38898484E+01
100	1.44007839E+01
105	1.49407676E+01
110	1.54600001E+01
115	1.59916985E+01
120	1.64846870E+01
125	1.69866354E+01
130	1.74766707E+01
135	1.79747408E+01
140	1.84705440E+01
145	1.89597746E+01
150	1.94350863E+01
155	1.99220907E+01
160	2.04151864E+01
165	2.09224216E+01
170	2.14234706E+01
175	2.19184028E+01
180	2.23848108E+01
185	2.28814733E+01
190	2.33911697E+01
195	2.38822288E+01
200	2.43503961E+01
205	2.48154685E+01
210	2.52834255E+01
215	2.57637174E+01
220	2.62353151E+01
225	2.67140133E+01
230	2.71703795E+01
235	2.76411426E+01
240	2.81099017E+01
245	2.85648785E+01
250	2.90236951E+01
255	2.94899910E+01
260	2.99394158E+01
265	3.03927313E+01
270	3.08601988E+01
275	3.13110576E+01
280	3.17645070E+01
285	3.21911964E+01
290	3.26285926E+01
295	3.30674735E+01
300	3.34510623E+01
305	3.38478526E+01
310	3.42684353E+01
315	3.46777776E+01
320	3.50891694E+01
325	3.54756339E+01
330	3.58647934E+01
335	3.62636744E+01
340	3.66431513E+01
345	3.70198068E+01
350	3.73975162E+01
355	3.77962239E+01
360	3.81858416E+01
365	3.85651339E+01
370	3.89295914E+01
375	3.93120627E+01
380	3.96943813E+01
385	4.00635742E+01
390	4.04467414E+01
395	4.08210363E+01
400	4.11923682E+01
405	4.15719917E+01
410	4.19644336E+01
415	4.23515904E+01
420	4.27336093E+01
425	4.31019853E+01
430	4.34719637E+01
435	4.38216787E+01
440	4.41946511E+01
445	4.45496731E+01
450	4.48957614E+01
455	4.52837558E+01
460	4.56614991E+01
465	4.60652738E+01
470	4.64157431E+01
475	4.67954570E+01
480	4.71563652E+01
485	4.75377876E+01
490	4.78838032E+01
495	4.82713815E+01
500	4.86672469E+01
505	4.90594649E+01
510	4.94508648E+01
515	4.98267743E+01
520	5.01958716E+01
525	5.05682750E+01
530	5.09352303E+01
535	5.13159032E+01
540	5.16760421E+01
545	5.20230534E+01
550	5.23413459E+01
555	5.26666286E+01
560	5.29932449E+01
565	5.33048267E+01
570	5.36625355E+01
575	5.40173689E+01
580	5.43769883E+01
585	5.47292631E+01
590	5.51042369E+01
595	5.54532209E+01
600	5.57651623E+01
605	5.60896675E+01
610	5.64508411E+01
615	5.68359697E+01
620	5.72142304E+01
625	5.76149038E+01
630	5.79864485E+01
635	5.83800853E+01
640	5.88114144E+01
645	5.92276757E+01
650	5.96478918E+01
655	6.00234520E+01
660	6.03697696E+01
