lag_sweep	g1
5	8.53299421E+00
10	1.26040851E+01
15	1.57218699E+01
20	1.82311112E+01
25	2.05009116E+01
30	2.24858721E+01
35	2.42645983E+01
40	2.59833184E+01
45	2.75553523E+01
50	2.91087998E+01
55	3.05643432E+01
60	3.19160382E+01
65	3.32572593E+01
70	3.45567839E+01
75	3.58935969E+01
80	3.71260681E+01
85	3.81646428E+01
90	3.92539910E+01
95	4.03877315E+01
100	4.14846246E+01
105	4.24656372E+01
110	4.33591153E+01
115	4.43103185E+01
120	4.52360595E+01
125	4.60860608E+01
130	4.69177231E+01
135	4.77737620E+01
140	4.85414564E+01
145	4.94961812E+01
150	5.03023449E+01
155	5.11145334E+01
160	5.19076524E+01
165	5.27608002E+01
170	5.35808927E+01
175	5.42707940E+01
180	5.50694535E+01
185	5.58124908E+01
190	5.65331658E+01
195	5.73846460E+01
200	5.81449754E+01
205	5.90189036E+01
210	5.97333164E+01
215	6.04189066E+01
220	6.11840956E+01
225	6.18207528E+01
230	6.25984155E+01
235	6.33168608E+01
240	6.41468056E+01
245	6.48788574E+01
250	6.56555794E+01
255	6.64228547E+01
260	6.70593244E+01
265	6.77547370E+01
270	6.83441374E+01
275	6.90646209E+01
280	6.98138234E+01
285	7.05496328E+01
290	7.12473292E+01
295	7.20211232E+01
300	7.27083871E+01
305	7.33669644E+01
310	7.40987603E+01
315	7.47029086E+01
320	7.52928980E+01
325	7.57719017E+01
330	7.62161599E+01
335	7.66960622E+01
340	7.70024140E+01
345	7.75463356E+01
350	7.81305644E+01
355	7.86326513E+01
360	7.93128581E+01
365	7.98237593E+01
370	8.02933485E+01
375	8.07620744E+01
380	8.12422806E+01
385	8.18822177E+01
390	8.24042327E+01
395	8.29505882E+01
400	8.35178299E+01
405	8.40736602E+01
410	8.45133957E+01
415	8.48598336E+01
420	8.53545807E+01
425	8.56844748E+01
430	8.62760779E+01
435	8.67064784E+01
440	8.71696268E+01
445	8.75781737E+01
450	8.80135039E+01
455	8.83742662E+01
460	8.88720262E+01
465	8.91858347E+01
470	8.96017050E+01
475	9.01233753E+01
480	9.06526812E+01
485	9.10906824E+01
490	9.14010352E+01
495	9.18792452E+01
500	9.24271817E+01
505	9.27434056E+01
510	9.31798292E+01
515	9.37362658E+01
520	9.41311226E+01
525	9.45267007E+01
530	9.50838071E+01
535	9.55580986E+01
540	9.60393270E+01
545	9.65787097E+01
550	9.69374221E+01
555	9.75038695E+01
560	9.81138133E+01
565	9.87152080E+01
570	9.92843125E+01
575	9.99145537E+01
580	1.00272714E+02
585	1.00741383E+02
590	1.01138595E+02
595	1.01496878E+02
600	1.02006596E+02
605	1.02411526E+02
610	1.02856172E+02
615	1.03310567E+02
620	1.03776331E+02
625	1.04283679E+02
630	1.04722647E+02
635	1.05251518E+02
640	1.05861758E+02
645	1.06250481E+02
650	1.06756693E+02
655	1.07222640E+02
660	1.07467201E+02
665	1.08071298E+02
670	1.08702094E+02
675	1.09092582E+02
680	1.09538080E+02
685	1.10006838E+02
690	1.10363221E+02
695	1.10973282E+02
700	1.11425108E+02
705	1.11791344E+02
710	1.12240503E+02
715	1.12645578E+02
720	1.13252778E+02
725	1.13782914E+02
730	1.14344411E+02
735	1.14766928E+02
740	1.15560478E+02
745	1.16286643E+02
750	1.16753722E+02
755	1.17233773E+02
760	1.17635166E+02
765	1.18147589E+02
770	1.18783897E+02
775	1.19203796E+02
780	1.19449622E+02
785	1.19863915E+02
790	1.20235770E+02
795	1.20582743E+02
800	1.20854163E+02
805	1.21242114E+02
810	1.21616664E+02
815	1.21843894E+02
820	1.22182608E+02
825	1.22483598E+02
830	1.22859566E+02
835	1.23145062E+02
840	1.23505712E+02
845	1.23814192E+02
850	1.24246590E+02
855	1.24690528E+02
860	1.25157345E+02
865	1.25478293E+02
870	1.25774106E+02
875	1.26112589E+02
880	1.26542864E+02
885	1.26932431E+02
890	1.27111887E+02
895	1.27547750E+02
900	1.27803764E+02
905	1.28135195E+02
910	1.28456394E+02
915	1.28911666E+02
920	1.29345514E+02
925	1.29709477E+02
930	1.30130394E+02
935	1.30708165E+02
940	1.31424166E+02
945	1.31715741E+02
950	1.31881455E+02
955	1.32136622E+02
960	1.32397666E+02
965	1.32600831E+02
970	1.32931395E+02
975	1.33362226E+02
980	1.33803264E+02
985	1.34297657E+02
990	1.34830942E+02
995	1.35173189E+02
1000	1.35491528E+02
1005	1.36044459E+02
1010	1.36744529E+02
1015	1.37242225E+02
1020	1.37697683E+02
1025	1.38126558E+02
1030	1.38620450E+02
1035	1.38774979E+02
1040	1.38971936E+02
1045	1.39409407E+02
1050	1.39959415E+02
1055	1.40406070E+02
1060	1.40943306E+02
1065	1.41676510E+02
1070	1.42293004E+02
1075	1.42874549E+02
1080	1.43259668E+02
1085	1.44034251E+02
1090	1.44481479E+02
1095	1.44814700E+02
1100	1.44823396E+02
1105	1.44952935E+02
1110	1.45150409E+02
1115	1.45430643E+02
1120	1.45890752E+02
1125	1.46604651E+02
1130	1.47261866E+02
1135	1.47873722E+02
1140	1.48514186E+02
1145	1.48962205E+02
1150	1.48875310E+02
1155	1.49311492E+02
1160	1.49643723E+02
1165	1.49339923E+02
1170	1.50058168E+02
1175	1.50887590E+02
1180	1.51461008E+02
1185	1.51066362E+02
1190	1.51719718E+02
1195	1.51564387E+02
1200	1.52754919E+02
1205	1.54423314E+02
1210	1.55078664E+02
1215	1.55435071E+02
1220	1.55154091E+02
1225	1.55294687E+02
1230	1.55236205E+02
1235	1.56189468E+02
1240	1.57973604E+02
1245	1.58519385E+02
