sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	1.43125073E+03	2.51213885E+02	5.69733927E+00	0.00000000E+00	731
500	equilibration	1.58036450E+03	2.72405950E+02	5.80150507E+00	0.00000000E+00	812
1000	equilibration	1.78963068E+03	2.87228323E+02	6.23069013E+00	0.00000000E+00	782
1500	equilibration	1.71106888E+03	2.90194403E+02	5.89628492E+00	0.00000000E+00	812
2000	equilibration	1.80694321E+03	2.87453410E+02	6.28603853E+00	0.00000000E+00	775
2500	equilibration	1.75694319E+03	2.92825885E+02	5.99995861E+00	0.00000000E+00	762
3000	equilibration	1.82748931E+03	2.99157400E+02	6.10878858E+00	0.00000000E+00	779
3500	equilibration	1.78875527E+03	3.03710083E+02	5.88968021E+00	0.00000000E+00	807
4000	equilibration	1.81789096E+03	3.07686916E+02	5.90824914E+00	0.00000000E+00	745
4500	equilibration	2.07781636E+03	3.11976557E+02	6.66016825E+00	0.00000000E+00	758
5000	equilibration	1.91300325E+03	3.05031053E+02	6.27150326E+00	0.00000000E+00	776
5500	equilibration	1.97253901E+03	3.14648841E+02	6.26901725E+00	0.00000000E+00	785
6000	equilibration	2.09086734E+03	3.19215051E+02	6.55002744E+00	0.00000000E+00	739
6500	equilibration	1.98576157E+03	3.11879355E+02	6.36708247E+00	0.00000000E+00	775
7000	equilibration	2.07265024E+03	3.11082557E+02	6.66270158E+00	0.00000000E+00	774
7500	equilibration	2.02342366E+03	3.08274554E+02	6.56370641E+00	0.00000000E+00	761
8000	equilibration	1.99932726E+03	3.14994089E+02	6.34718979E+00	0.00000000E+00	748
8500	equilibration	1.97891765E+03	3.10859124E+02	6.36596289E+00	0.00000000E+00	785
9000	equilibration	1.94283250E+03	3.10182067E+02	6.26352295E+00	0.00000000E+00	766
9500	equilibration	2.03676647E+03	3.10728733E+02	6.55480570E+00	0.00000000E+00	773
10000	equilibration	2.13128829E+03	3.11078771E+02	6.85128170E+00	0.00000000E+00	803
10500	equilibration	2.05369306E+03	3.11727482E+02	6.58810398E+00	0.00000000E+00	784
11000	equilibration	2.11210972E+03	3.16066082E+02	6.68249410E+00	0.00000000E+00	756
11500	equilibration	2.10389052E+03	3.17436459E+02	6.62775324E+00	0.00000000E+00	781
12000	equilibration	2.05948668E+03	3.06897158E+02	6.71067366E+00	0.00000000E+00	778
12500	equilibration	2.02513368E+03	3.05002012E+02	6.63973874E+00	0.00000000E+00	774
13000	equilibration	1.93254725E+03	3.08465956E+02	6.26502606E+00	0.00000000E+00	765
13500	equilibration	2.04297100E+03	3.09428067E+02	6.60241012E+00	0.00000000E+00	762
14000	equilibration	2.05593752E+03	3.09536752E+02	6.64198196E+00	0.00000000E+00	777
14500	equilibration	2.00814559E+03	3.06249215E+02	6.55722689E+00	0.00000000E+00	788
15000	equilibration	2.14093553E+03	3.10413948E+02	6.89703393E+00	0.00000000E+00	769
15500	equilibration	2.00502554E+03	3.04206419E+02	6.59100339E+00	0.00000000E+00	756
16000	equilibration	2.08350449E+03	3.01888278E+02	6.90157466E+00	0.00000000E+00	766
16500	equilibration	2.10349269E+03	3.09220886E+02	6.80255696E+00	0.00000000E+00	746
17000	equilibration	2.08027849E+03	3.16508822E+02	6.57257665E+00	0.00000000E+00	768
