lag_sweep	g_CM
5	7.69293435E-01
10	1.23470535E+00
15	1.60756104E+00
20	1.94469683E+00
25	2.25264881E+00
30	2.53585288E+00
35	2.80876070E+00
40	3.07325980E+00
45	3.32032252E+00
50	3.56492093E+00
55	3.80056641E+00
60	4.02778606E+00
65	4.24920499E+00
70	4.47136083E+00
75	4.68823401E+00
80	4.90373886E+00
85	5.11492457E+00
90	5.32157492E+00
95	5.52112302E+00
100	5.72024744E+00
105	5.92246243E+00
110	6.12679696E+00
115	6.33231325E+00
120	6.53693911E+00
125	6.73823062E+00
130	6.93860838E+00
135	7.12862845E+00
140	7.32369458E+00
145	7.51837464E+00
150	7.71263735E+00
155	7.90347156E+00
160	8.08782994E+00
165	8.28224612E+00
170	8.47601233E+00
175	8.67054395E+00
180	8.85667817E+00
185	9.04892449E+00
190	9.24610965E+00
195	9.44238582E+00
200	9.63397189E+00
205	9.82258755E+00
210	1.00108313E+01
215	1.01986099E+01
220	1.03836689E+01
225	1.05676888E+01
230	1.07486648E+01
235	1.09350550E+01
240	1.11167037E+01
245	1.13040476E+01
250	1.14891657E+01
255	1.16722357E+01
260	1.18556811E+01
265	1.20382082E+01
270	1.22229988E+01
275	1.24006580E+01
280	1.25856246E+01
285	1.27700276E+01
290	1.29545181E+01
295	1.31327846E+01
300	1.33047180E+01
305	1.34754095E+01
310	1.36536364E+01
315	1.38356721E+01
320	1.40131301E+01
325	1.41902285E+01
330	1.43695583E+01
335	1.45422142E+01
340	1.47200459E+01
345	1.49010786E+01
350	1.50830956E+01
355	1.52535984E+01
360	1.54282664E+01
365	1.56001221E+01
370	1.57752162E+01
375	1.59473289E+01
380	1.61176225E+01
385	1.62864645E+01
390	1.64481614E+01
395	1.66139334E+01
400	1.67841982E+01
405	1.69484287E+01
410	1.71141443E+01
415	1.72795800E+01
420	1.74468134E+01
425	1.76146079E+01
430	1.77837631E+01
435	1.79531584E+01
440	1.81207763E+01
445	1.82890885E+01
450	1.84577513E+01
455	1.86186481E+01
460	1.87781069E+01
465	1.89329084E+01
470	1.90926365E+01
475	1.92554921E+01
480	1.94128494E+01
485	1.95690829E+01
490	1.97314875E+01
495	1.98892130E+01
500	2.00499173E+01
505	2.02021442E+01
510	2.03572404E+01
515	2.05163831E+01
520	2.06706977E+01
525	2.08270780E+01
530	2.09738913E+01
535	2.11276757E+01
540	2.12856451E+01
545	2.14385360E+01
550	2.15955344E+01
555	2.17553936E+01
560	2.19106241E+01
565	2.20712729E+01
570	2.22276815E+01
575	2.23925637E+01
580	2.25602860E+01
585	2.27297286E+01
590	2.28999302E+01
595	2.30643525E+01
600	2.32240709E+01
605	2.33822266E+01
610	2.35426027E+01
615	2.36977831E+01
620	2.38507860E+01
625	2.40083367E+01
630	2.41674787E+01
635	2.43372918E+01
640	2.44995396E+01
645	2.46630496E+01
650	2.48281752E+01
655	2.49986789E+01
660	2.51766133E+01
665	2.53509140E+01
670	2.55253462E+01
675	2.56905972E+01
680	2.58586036E+01
685	2.60281393E+01
690	2.61988497E+01
695	2.63722077E+01
700	2.65467244E+01
705	2.67228865E+01
710	2.68967515E+01
715	2.70720152E+01
720	2.72466660E+01
725	2.74166614E+01
730	2.75952464E+01
735	2.77777618E+01
740	2.79510166E+01
745	2.81314188E+01
750	2.83042383E+01
755	2.84806478E+01
760	2.86473361E+01
765	2.88213221E+01
770	2.89992318E+01
775	2.91841746E+01
780	2.93594409E+01
785	2.95344050E+01
790	2.97134139E+01
795	2.98862089E+01
800	3.00669517E+01
805	3.02378945E+01
810	3.04030150E+01
815	3.05719450E+01
820	3.07405158E+01
825	3.09062896E+01
830	3.10656373E+01
835	3.12286331E+01
840	3.13782694E+01
845	3.15344143E+01
850	3.16881229E+01
855	3.18337149E+01
860	3.19807637E+01
865	3.21309395E+01
870	3.22668549E+01
875	3.24053045E+01
880	3.25426762E+01
885	3.26837203E+01
890	3.28213613E+01
895	3.29597327E+01
900	3.30994212E+01
905	3.32392192E+01
910	3.33812570E+01
915	3.35097302E+01
920	3.36428826E+01
925	3.37845680E+01
930	3.39134891E+01
935	3.40469256E+01
940	3.41886036E+01
945	3.43305328E+01
950	3.44657579E+01
955	3.46034849E+01
960	3.47465253E+01
965	3.48844377E+01
970	3.50314499E+01
975	3.51787234E+01
980	3.53270104E+01
985	3.54708344E+01
990	3.56162379E+01
995	3.57654069E+01
1000	3.59150010E+01
1005	3.60605154E+01
1010	3.62064313E+01
1015	3.63497358E+01
1020	3.64855955E+01
1025	3.66282088E+01
1030	3.67683826E+01
1035	3.69145618E+01
1040	3.70524539E+01
1045	3.72002555E+01
1050	3.73402253E+01
1055	3.74831940E+01
1060	3.76150834E+01
1065	3.77492227E+01
1070	3.78929169E+01
1075	3.80309027E+01
1080	3.81760515E+01
1085	3.83214081E+01
1090	3.84629103E+01
1095	3.85954624E+01
1100	3.87268550E+01
1105	3.88557395E+01
1110	3.89775082E+01
1115	3.91010904E+01
1120	3.92305843E+01
1125	3.93661782E+01
1130	3.94940109E+01
1135	3.96352339E+01
1140	3.97671237E+01
1145	3.99025383E+01
1150	4.00323124E+01
1155	4.01705540E+01
1160	4.03102225E+01
1165	4.04529699E+01
1170	4.05987565E+01
1175	4.07430891E+01
1180	4.08858681E+01
1185	4.10260676E+01
1190	4.11536249E+01
1195	4.12817714E+01
1200	4.14133710E+01
1205	4.15399297E+01
1210	4.16633982E+01
1215	4.17902228E+01
1220	4.19136125E+01
1225	4.20332384E+01
1230	4.21536414E+01
1235	4.22749140E+01
1240	4.23944754E+01
1245	4.25286556E+01
