lag_sweep	g_R
5	9.83510660E-01
10	9.74348007E-01
15	9.67512191E-01
20	9.62017641E-01
25	9.57361157E-01
30	9.53240332E-01
35	9.49794401E-01
40	9.46510410E-01
45	9.43501642E-01
50	9.40602588E-01
55	9.37970644E-01
60	9.35542354E-01
65	9.33143910E-01
70	9.30814042E-01
75	9.28760027E-01
80	9.26972701E-01
85	9.25231078E-01
90	9.23599732E-01
95	9.22042853E-01
100	9.20424987E-01
105	9.19035191E-01
110	9.17552760E-01
115	9.16243099E-01
120	9.14963230E-01
125	9.13605441E-01
130	9.12228279E-01
135	9.11097192E-01
140	9.10093245E-01
145	9.08838007E-01
150	9.07735443E-01
155	9.06640347E-01
160	9.05629261E-01
165	9.04524523E-01
170	9.03424215E-01
175	9.02411299E-01
180	9.01495357E-01
185	9.00520725E-01
190	8.99632395E-01
195	8.98780215E-01
200	8.98052318E-01
205	8.97136643E-01
210	8.96230151E-01
215	8.95290814E-01
220	8.94432808E-01
225	8.93728480E-01
230	8.93140048E-01
235	8.92450734E-01
240	8.91719889E-01
245	8.91089036E-01
250	8.90457752E-01
255	8.89804683E-01
260	8.89229885E-01
265	8.88522385E-01
270	8.87864586E-01
275	8.87131344E-01
280	8.86389102E-01
285	8.85612180E-01
290	8.84859926E-01
295	8.84074924E-01
300	8.83371869E-01
305	8.82635645E-01
310	8.81914501E-01
315	8.81133087E-01
320	8.80267425E-01
325	8.79446425E-01
330	8.78829434E-01
335	8.78145696E-01
340	8.77470239E-01
345	8.76690513E-01
350	8.76021629E-01
355	8.75321705E-01
360	8.74650452E-01
365	8.73834935E-01
370	8.73089265E-01
375	8.72297473E-01
380	8.71536328E-01
385	8.70897419E-01
390	8.70263094E-01
395	8.69626677E-01
400	8.69027179E-01
405	8.68213205E-01
410	8.67521822E-01
415	8.66864808E-01
420	8.66269433E-01
425	8.65597208E-01
430	8.64850246E-01
435	8.64195484E-01
440	8.63454832E-01
445	8.62730669E-01
450	8.61943019E-01
455	8.61209294E-01
460	8.60738526E-01
465	8.60189415E-01
470	8.59530371E-01
475	8.58913648E-01
480	8.58497113E-01
485	8.57984963E-01
490	8.57573204E-01
495	8.56987924E-01
500	8.56514084E-01
505	8.55994662E-01
510	8.55516587E-01
515	8.54930511E-01
520	8.54329621E-01
525	8.53913423E-01
530	8.53424483E-01
535	8.52975579E-01
540	8.52515636E-01
545	8.52033746E-01
550	8.51548230E-01
555	8.51134017E-01
560	8.50594237E-01
565	8.49925609E-01
570	8.49502333E-01
575	8.49036885E-01
580	8.48524428E-01
585	8.47896756E-01
590	8.47360259E-01
595	8.46961500E-01
600	8.46492403E-01
605	8.45983495E-01
610	8.45383160E-01
615	8.44887840E-01
620	8.44331229E-01
625	8.43932711E-01
630	8.43457717E-01
635	8.42924067E-01
640	8.42452044E-01
645	8.42035856E-01
650	8.41566893E-01
655	8.41036480E-01
