chain_id	R2	Rg2
0	3.06278310E+03	3.46748591E+02
1	4.12851097E+03	5.09634053E+02
2	2.94108401E+03	3.08081434E+02
3	3.97775173E+02	2.01532454E+02
4	4.16274924E+03	4.04240811E+02
5	2.73851248E+02	2.25784133E+02
6	2.45765620E+03	2.61772648E+02
7	1.13630103E+03	2.16246598E+02
8	2.17137745E+03	5.06984893E+02
9	3.06628521E+03	4.41108471E+02
10	2.99634494E+03	4.26077222E+02
11	2.26308753E+03	2.41805264E+02
12	1.94357174E+03	3.21666580E+02
13	1.03250865E+03	3.10323761E+02
14	2.22882797E+03	4.30121869E+02
15	3.49490957E+02	2.14804803E+02
16	3.90071740E+02	1.59409742E+02
17	2.54130601E+03	4.46340644E+02
18	1.41844641E+03	2.11861266E+02
19	6.32863526E+02	2.49711429E+02
20	2.23386944E+03	2.86109319E+02
21	1.03487041E+03	1.99168546E+02
22	1.84545266E+03	3.29928547E+02
23	4.76893900E+02	1.70742964E+02
24	3.34221338E+03	5.54396727E+02
25	1.40885699E+03	2.25639041E+02
26	4.42392544E+03	5.27302518E+02
27	1.04585215E+03	2.33895269E+02
28	1.24033142E+03	3.19670872E+02
29	4.36325888E+03	4.42898512E+02
30	8.98535400E+02	2.10877798E+02
31	4.55369233E+02	2.06462153E+02
32	1.84624449E+03	2.66794746E+02
33	2.06607906E+03	4.07621709E+02
34	1.30082620E+03	2.47070774E+02
35	1.68645546E+03	3.13110209E+02
36	2.85803652E+03	4.97968510E+02
37	3.84767601E+03	3.88845277E+02
38	3.89459426E+02	1.74539884E+02
39	3.50923155E+03	3.60887538E+02
40	1.52410143E+03	3.23090311E+02
41	1.54396830E+03	2.16907398E+02
42	1.32705396E+03	2.71643988E+02
43	1.66756750E+03	3.28621355E+02
44	2.03208230E+02	1.31494271E+02
45	1.21353050E+03	2.24431007E+02
46	2.26130559E+03	2.36330503E+02
47	6.79474060E+02	1.93167314E+02
48	1.44960563E+02	1.98696378E+02
49	2.10731803E+03	2.88426285E+02
50	1.22095725E+03	3.53641054E+02
51	1.15925402E+03	2.08380863E+02
52	4.91776935E+03	4.17556883E+02
53	1.26973853E+03	2.47136388E+02
54	5.06649594E+02	2.18802617E+02
55	2.66358374E+03	3.18893163E+02
56	3.65983612E+03	3.86889119E+02
57	7.98595815E+02	2.25075173E+02
58	1.74329728E+03	2.07424524E+02
59	1.95320542E+03	3.05054515E+02
60	1.95060094E+03	2.26819232E+02
61	1.91928220E+02	1.40695791E+02
62	1.81832716E+03	3.10677966E+02
63	3.00587008E+03	4.11112635E+02
64	2.45826632E+03	3.39824326E+02
65	7.22986322E+02	2.00706789E+02
66	2.32037147E+03	2.74578488E+02
67	3.14715308E+03	3.00741519E+02
68	2.33636416E+03	3.18093367E+02
69	2.83893094E+03	2.81977963E+02
70	6.84425230E+02	2.70064895E+02
71	2.37495814E+03	3.27977312E+02
72	1.98930281E+03	4.16451007E+02
73	3.41838689E+03	4.95608784E+02
74	5.41288304E+02	2.12343364E+02
75	4.12910012E+03	3.96178674E+02
76	3.73009416E+03	4.18225549E+02
77	1.40357632E+03	2.43863348E+02
78	2.94153080E+03	4.81117043E+02
79	2.98178071E+03	4.80823617E+02
80	2.69519722E+03	3.27662965E+02
81	1.87571998E+03	3.68854257E+02
82	1.12440612E+03	1.99977395E+02
83	1.26337637E+03	1.73907465E+02
84	2.28790331E+03	2.91454267E+02
85	2.12769525E+03	2.29101247E+02
86	6.30052923E+02	1.77383851E+02
87	2.17492274E+03	2.58300559E+02
88	2.42459225E+03	3.74582928E+02
89	3.94678961E+03	4.75472179E+02
90	1.52822657E+03	3.64656873E+02
91	1.83351291E+03	1.97514453E+02
92	2.19544122E+02	2.35462214E+02
93	1.29632472E+03	3.47299364E+02
94	6.65246222E+02	2.24426382E+02
95	6.86580323E+02	1.21082883E+02
96	3.65227012E+03	4.47296609E+02
97	3.73965661E+03	3.70122689E+02
98	1.61039430E+03	3.17923336E+02
99	1.31797419E+03	3.96916058E+02
