lag_sweep	g1
5	1.44859565E+01
10	2.01514336E+01
15	2.39481627E+01
20	2.68102388E+01
25	2.92482854E+01
30	3.13181820E+01
35	3.32923212E+01
40	3.50911464E+01
45	3.68153873E+01
50	3.83621145E+01
55	3.98146698E+01
60	4.12159149E+01
65	4.23622569E+01
70	4.36380356E+01
75	4.48421847E+01
80	4.59996177E+01
85	4.71487650E+01
90	4.82260559E+01
95	4.91908656E+01
100	5.02999726E+01
105	5.12014171E+01
110	5.22074707E+01
115	5.31831417E+01
120	5.40941424E+01
125	5.50238774E+01
130	5.59550215E+01
135	5.66993683E+01
140	5.74778261E+01
145	5.82374226E+01
150	5.89180104E+01
155	5.96839171E+01
160	6.04143756E+01
165	6.12411177E+01
170	6.20399043E+01
175	6.27750216E+01
180	6.35035509E+01
185	6.42308877E+01
190	6.49792976E+01
195	6.56770690E+01
200	6.63117474E+01
205	6.69878865E+01
210	6.76453668E+01
215	6.83731355E+01
220	6.89199120E+01
225	6.95804082E+01
230	7.03670646E+01
235	7.09554135E+01
240	7.14105232E+01
245	7.18868740E+01
250	7.24181152E+01
255	7.28673125E+01
260	7.34794413E+01
265	7.40372953E+01
270	7.45550077E+01
275	7.50544239E+01
280	7.56951590E+01
285	7.62703337E+01
290	7.68011421E+01
295	7.73414995E+01
300	7.78297424E+01
305	7.82614214E+01
310	7.88976582E+01
315	7.94187718E+01
320	8.00383076E+01
325	8.05370216E+01
330	8.10896721E+01
335	8.14984067E+01
340	8.19086295E+01
345	8.23812108E+01
350	8.28698051E+01
355	8.33064125E+01
360	8.37492620E+01
365	8.42349013E+01
370	8.46805980E+01
375	8.53202322E+01
380	8.57956825E+01
385	8.64335522E+01
390	8.67940956E+01
395	8.72581618E+01
400	8.76509977E+01
405	8.80950956E+01
410	8.86001974E+01
415	8.91081517E+01
420	8.96204543E+01
425	9.00856199E+01
430	9.05647574E+01
435	9.11195078E+01
440	9.16668646E+01
445	9.19986704E+01
450	9.23412239E+01
455	9.27144715E+01
460	9.30545239E+01
465	9.35288949E+01
470	9.39850154E+01
475	9.43225438E+01
480	9.47134015E+01
485	9.50831107E+01
490	9.53525883E+01
495	9.56466509E+01
500	9.59885249E+01
505	9.62839530E+01
510	9.66301721E+01
515	9.69535109E+01
520	9.72823756E+01
525	9.76091149E+01
530	9.81047278E+01
535	9.86219437E+01
540	9.89912024E+01
545	9.93675463E+01
550	9.97061874E+01
555	1.00044075E+02
560	1.00340343E+02
565	1.00606796E+02
570	1.00931446E+02
575	1.01276483E+02
580	1.01588692E+02
585	1.02167495E+02
590	1.02502219E+02
595	1.02867188E+02
600	1.03301897E+02
605	1.03750316E+02
610	1.04142512E+02
615	1.04620787E+02
620	1.05155324E+02
