lag_sweep	g_R
5	9.86029145E-01
10	9.78813081E-01
15	9.73674381E-01
20	9.69451595E-01
25	9.65823406E-01
30	9.62607384E-01
35	9.59648957E-01
40	9.57132233E-01
45	9.54715132E-01
50	9.52557440E-01
55	9.50330303E-01
60	9.48226568E-01
65	9.46261817E-01
70	9.44362122E-01
75	9.42688205E-01
80	9.41061640E-01
85	9.39530350E-01
90	9.38061557E-01
95	9.36713231E-01
100	9.35338608E-01
105	9.34044695E-01
110	9.32724630E-01
115	9.31613596E-01
120	9.30508188E-01
125	9.29404424E-01
130	9.28291559E-01
135	9.27327251E-01
140	9.26370016E-01
145	9.25489801E-01
150	9.24567400E-01
155	9.23484360E-01
160	9.22394569E-01
165	9.21382086E-01
170	9.20562013E-01
175	9.19699069E-01
180	9.18793688E-01
185	9.17935500E-01
190	9.17103995E-01
195	9.16222675E-01
200	9.15369729E-01
205	9.14589501E-01
210	9.13830912E-01
215	9.13021386E-01
220	9.12226638E-01
225	9.11431821E-01
230	9.10536547E-01
235	9.09729860E-01
240	9.09050995E-01
245	9.08143050E-01
250	9.07291055E-01
255	9.06468731E-01
260	9.05630484E-01
265	9.04824228E-01
270	9.04083170E-01
275	9.03394984E-01
280	9.02740768E-01
285	9.02039597E-01
290	9.01440309E-01
295	9.00835334E-01
300	9.00123580E-01
305	8.99439660E-01
310	8.98752882E-01
315	8.98130016E-01
320	8.97591794E-01
325	8.96880040E-01
330	8.96299514E-01
335	8.95660032E-01
340	8.95035192E-01
345	8.94449730E-01
350	8.93756266E-01
355	8.93193156E-01
360	8.92601048E-01
365	8.92000698E-01
370	8.91436181E-01
375	8.91093025E-01
380	8.90780113E-01
385	8.90302697E-01
390	8.89812774E-01
395	8.89294405E-01
400	8.88841224E-01
405	8.88429936E-01
410	8.88030583E-01
415	8.87641795E-01
420	8.87249200E-01
425	8.86897187E-01
430	8.86467002E-01
435	8.86015247E-01
440	8.85561291E-01
445	8.85109502E-01
450	8.84710392E-01
455	8.84457205E-01
460	8.84162943E-01
465	8.83765320E-01
470	8.83388411E-01
475	8.83061714E-01
480	8.82624616E-01
485	8.82366009E-01
490	8.82051246E-01
495	8.81682131E-01
500	8.81183008E-01
505	8.80780242E-01
510	8.80397075E-01
515	8.80150732E-01
520	8.79820678E-01
525	8.79338745E-01
530	8.79171215E-01
535	8.78889257E-01
