lag_sweep	g_CM
5	5.36161026E-01
10	8.25006163E-01
15	1.05388575E+00
20	1.25184681E+00
25	1.42501224E+00
30	1.58520508E+00
35	1.74027876E+00
40	1.88260411E+00
45	2.01385805E+00
50	2.13840807E+00
55	2.25880092E+00
60	2.37910478E+00
65	2.50050296E+00
70	2.61614051E+00
75	2.72677975E+00
80	2.83469501E+00
85	2.94140983E+00
90	3.04330429E+00
95	3.14532639E+00
100	3.24184307E+00
105	3.33627111E+00
110	3.42413247E+00
115	3.51178263E+00
120	3.60070831E+00
125	3.68882530E+00
130	3.78245114E+00
135	3.87885050E+00
140	3.96842475E+00
145	4.05957655E+00
150	4.14724359E+00
155	4.23574179E+00
160	4.31870316E+00
165	4.39970388E+00
170	4.48163513E+00
175	4.56426883E+00
180	4.64036846E+00
185	4.72006487E+00
190	4.80047414E+00
195	4.87706574E+00
200	4.95823581E+00
205	5.04036257E+00
210	5.12000280E+00
215	5.20128931E+00
220	5.27746901E+00
225	5.35193623E+00
230	5.42430406E+00
235	5.50235247E+00
240	5.57658441E+00
245	5.64864511E+00
250	5.72735779E+00
255	5.79792815E+00
260	5.86604851E+00
265	5.93887546E+00
270	6.00782191E+00
275	6.08355914E+00
280	6.15590870E+00
285	6.23023788E+00
290	6.30429381E+00
295	6.37611231E+00
300	6.44695655E+00
305	6.51865012E+00
310	6.59220907E+00
315	6.66948742E+00
320	6.74474772E+00
325	6.81731984E+00
330	6.89093510E+00
335	6.96367164E+00
340	7.04349499E+00
345	7.12148692E+00
350	7.19327326E+00
355	7.25982044E+00
360	7.33166616E+00
365	7.40614871E+00
370	7.48004389E+00
375	7.55505313E+00
380	7.62519443E+00
385	7.69659682E+00
390	7.77334006E+00
395	7.84537168E+00
400	7.91749024E+00
405	7.99113949E+00
410	8.05882968E+00
415	8.13219128E+00
420	8.20017393E+00
425	8.27264148E+00
430	8.34729672E+00
435	8.42428496E+00
440	8.49438142E+00
445	8.56697444E+00
450	8.63689423E+00
455	8.70882574E+00
460	8.77833834E+00
465	8.84909497E+00
470	8.92189998E+00
475	8.99761359E+00
480	9.06892056E+00
485	9.13924720E+00
490	9.20709530E+00
495	9.27683161E+00
500	9.34685807E+00
505	9.41534637E+00
510	9.47621799E+00
515	9.54181531E+00
520	9.60798407E+00
525	9.67532145E+00
530	9.74394238E+00
535	9.81077022E+00
540	9.87763128E+00
545	9.94170297E+00
550	1.00032533E+01
555	1.00688486E+01
560	1.01385954E+01
565	1.02027010E+01
570	1.02694956E+01
575	1.03324277E+01
580	1.03991680E+01
585	1.04631767E+01
590	1.05286282E+01
595	1.05962386E+01
600	1.06669433E+01
605	1.07404438E+01
610	1.08104724E+01
615	1.08821273E+01
620	1.09513114E+01
625	1.10158130E+01
630	1.10810967E+01
635	1.11470883E+01
640	1.12176658E+01
645	1.12898108E+01
650	1.13560078E+01
655	1.14202251E+01
660	1.14875819E+01
665	1.15526422E+01
670	1.16158496E+01
675	1.16773277E+01
680	1.17384840E+01
685	1.18056311E+01
690	1.18748992E+01
695	1.19422313E+01
700	1.20073625E+01
705	1.20736730E+01
710	1.21378155E+01
715	1.22057453E+01
720	1.22676629E+01
725	1.23341410E+01
730	1.23982342E+01
735	1.24673219E+01
740	1.25299793E+01
745	1.25995067E+01
750	1.26690196E+01
755	1.27413334E+01
760	1.28088455E+01
765	1.28752632E+01
770	1.29400354E+01
775	1.30077569E+01
780	1.30687795E+01
785	1.31314463E+01
790	1.31962899E+01
795	1.32586568E+01
800	1.33262726E+01
805	1.33893778E+01
810	1.34636863E+01
815	1.35321888E+01
820	1.35942023E+01
825	1.36614207E+01
830	1.37314594E+01
835	1.38052450E+01
840	1.38759209E+01
845	1.39446106E+01
850	1.40195774E+01
855	1.40853924E+01
860	1.41582931E+01
865	1.42207828E+01
870	1.42859461E+01
875	1.43538097E+01
880	1.44250335E+01
885	1.44980504E+01
890	1.45658094E+01
895	1.46267171E+01
900	1.46885594E+01
905	1.47541728E+01
910	1.48211599E+01
915	1.48905981E+01
920	1.49522858E+01
925	1.50129437E+01
930	1.50777649E+01
935	1.51423846E+01
940	1.52084252E+01
945	1.52755131E+01
950	1.53430147E+01
955	1.54058134E+01
960	1.54655973E+01
965	1.55319069E+01
970	1.55980129E+01
975	1.56646290E+01
980	1.57298792E+01
985	1.57991400E+01
990	1.58681232E+01
995	1.59386881E+01
1000	1.60044448E+01
1005	1.60710349E+01
1010	1.61411418E+01
1015	1.62091694E+01
1020	1.62731024E+01
1025	1.63375263E+01
1030	1.64007219E+01
1035	1.64686805E+01
1040	1.65341580E+01
1045	1.65975612E+01
1050	1.66678125E+01
1055	1.67319858E+01
1060	1.68029780E+01
1065	1.68707466E+01
1070	1.69331357E+01
1075	1.70004154E+01
1080	1.70604411E+01
1085	1.71244589E+01
1090	1.71872746E+01
1095	1.72475001E+01
1100	1.73028730E+01
1105	1.73653298E+01
1110	1.74280602E+01
1115	1.74904974E+01
1120	1.75506520E+01
1125	1.76084537E+01
1130	1.76684926E+01
1135	1.77292166E+01
1140	1.77874940E+01
1145	1.78385350E+01
1150	1.78926049E+01
1155	1.79534295E+01
1160	1.80169220E+01
1165	1.80800181E+01
1170	1.81396565E+01
1175	1.82000254E+01
1180	1.82599308E+01
1185	1.83289866E+01
1190	1.83944660E+01
1195	1.84647424E+01
1200	1.85310021E+01
1205	1.85907394E+01
1210	1.86601160E+01
1215	1.87304539E+01
1220	1.87922818E+01
1225	1.88521916E+01
1230	1.89119749E+01
1235	1.89756983E+01
1240	1.90446366E+01
1245	1.91051608E+01
1250	1.91588474E+01
1255	1.92196433E+01
1260	1.92736009E+01
1265	1.93176519E+01
1270	1.93649815E+01
1275	1.94202349E+01
1280	1.94712865E+01
1285	1.95283052E+01
1290	1.95834068E+01
1295	1.96349830E+01
1300	1.96901364E+01
1305	1.97478932E+01
1310	1.98020357E+01
1315	1.98522186E+01
1320	1.99071287E+01
1325	1.99581627E+01
1330	2.00150491E+01
1335	2.00705444E+01
1340	2.01219058E+01
1345	2.01770555E+01
1350	2.02354898E+01
1355	2.02981317E+01
1360	2.03618491E+01
1365	2.04144620E+01
1370	2.04699373E+01
1375	2.05213944E+01
1380	2.05731442E+01
1385	2.06240925E+01
1390	2.06856499E+01
1395	2.07399296E+01
1400	2.07911979E+01
1405	2.08376338E+01
1410	2.08902300E+01
1415	2.09382795E+01
1420	2.09925739E+01
1425	2.10422894E+01
1430	2.10957078E+01
1435	2.11500383E+01
1440	2.11994272E+01
1445	2.12469120E+01
1450	2.12915004E+01
1455	2.13386691E+01
1460	2.13844022E+01
1465	2.14331747E+01
1470	2.14742464E+01
1475	2.15202379E+01
1480	2.15678206E+01
1485	2.16182101E+01
1490	2.16691161E+01
1495	2.17139572E+01
1500	2.17631239E+01
1505	2.18140891E+01
1510	2.18642030E+01
1515	2.19185317E+01
1520	2.19758075E+01
1525	2.20351932E+01
1530	2.20829904E+01
1535	2.21366032E+01
1540	2.21875539E+01
1545	2.22272575E+01
1550	2.22714819E+01
1555	2.23157193E+01
1560	2.23669780E+01
1565	2.24126494E+01
1570	2.24609590E+01
