sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	1.53223948E+03	2.41567011E+02	6.34291692E+00	0.00000000E+00	699
500	equilibration	1.33863808E+03	2.42736290E+02	5.51478346E+00	0.00000000E+00	652
1000	equilibration	1.49558922E+03	2.52756640E+02	5.91711151E+00	0.00000000E+00	678
1500	equilibration	1.49535975E+03	2.48973337E+02	6.00610398E+00	0.00000000E+00	665
2000	equilibration	1.43911492E+03	2.49244991E+02	5.77389705E+00	0.00000000E+00	657
2500	equilibration	1.62222675E+03	2.53323131E+02	6.40378456E+00	0.00000000E+00	670
3000	equilibration	1.62564374E+03	2.54328689E+02	6.39190078E+00	0.00000000E+00	652
3500	equilibration	1.46624661E+03	2.53371502E+02	5.78694369E+00	0.00000000E+00	614
4000	equilibration	1.54798101E+03	2.55921296E+02	6.04866040E+00	0.00000000E+00	624
4500	equilibration	1.62458610E+03	2.62927696E+02	6.17883217E+00	0.00000000E+00	648
5000	equilibration	1.58349473E+03	2.60762908E+02	6.07254590E+00	0.00000000E+00	629
5500	equilibration	1.57160877E+03	2.52586211E+02	6.22206876E+00	0.00000000E+00	647
6000	equilibration	1.41154971E+03	2.53830901E+02	5.56098453E+00	0.00000000E+00	653
6500	equilibration	1.54277168E+03	2.53820295E+02	6.07820460E+00	0.00000000E+00	661
7000	equilibration	1.56375491E+03	2.53327217E+02	6.17286581E+00	0.00000000E+00	646
7500	equilibration	1.56608525E+03	2.53095419E+02	6.18772656E+00	0.00000000E+00	637
8000	equilibration	1.57970158E+03	2.57055689E+02	6.14536711E+00	0.00000000E+00	685
8500	equilibration	1.61351187E+03	2.56301579E+02	6.29536453E+00	0.00000000E+00	608
9000	equilibration	1.48571026E+03	2.54689853E+02	5.83340970E+00	0.00000000E+00	641
9500	equilibration	1.43734173E+03	2.52816300E+02	5.68532067E+00	0.00000000E+00	638
10000	equilibration	1.48917393E+03	2.58182383E+02	5.76791457E+00	0.00000000E+00	692
10500	equilibration	1.64943605E+03	2.62414220E+02	6.28561992E+00	0.00000000E+00	660
11000	equilibration	1.62073666E+03	2.61842953E+02	6.18972800E+00	0.00000000E+00	652
11500	equilibration	1.60699633E+03	2.56115607E+02	6.27449590E+00	0.00000000E+00	678
12000	equilibration	1.47485424E+03	2.50979116E+02	5.87640226E+00	0.00000000E+00	652
12500	equilibration	1.38626781E+03	2.54939263E+02	5.43763952E+00	0.00000000E+00	639
13000	equilibration	1.41253262E+03	2.51792162E+02	5.60991496E+00	0.00000000E+00	645
13500	equilibration	1.55696527E+03	2.61394229E+02	5.95638730E+00	0.00000000E+00	639
14000	equilibration	1.47460842E+03	2.55263975E+02	5.77679797E+00	0.00000000E+00	656
14500	equilibration	1.58453716E+03	2.62789151E+02	6.02969018E+00	0.00000000E+00	645
15000	equilibration	1.54860869E+03	2.64302937E+02	5.85921862E+00	0.00000000E+00	645
15500	equilibration	1.54197070E+03	2.58730523E+02	5.95975565E+00	0.00000000E+00	679
16000	equilibration	1.58898193E+03	2.64572015E+02	6.00585792E+00	0.00000000E+00	644
16500	equilibration	1.68614894E+03	2.63868632E+02	6.39010756E+00	0.00000000E+00	698
17000	equilibration	1.68619340E+03	2.66704117E+02	6.32233733E+00	0.00000000E+00	675
17500	equilibration	1.73636614E+03	2.65528576E+02	6.53928162E+00	0.00000000E+00	690
18000	equilibration	1.68842923E+03	2.61607168E+02	6.45406333E+00	0.00000000E+00	661
18500	equilibration	1.73530106E+03	2.71659847E+02	6.38777164E+00	0.00000000E+00	673
19000	equilibration	1.75822007E+03	2.67843479E+02	6.56435645E+00	0.00000000E+00	684
19500	equilibration	1.60687058E+03	2.64210748E+02	6.08177599E+00	0.00000000E+00	679
20000	equilibration	1.63614307E+03	2.73911129E+02	5.97326248E+00	0.00000000E+00	645
20500	equilibration	1.68396914E+03	2.72281395E+02	6.18466470E+00	0.00000000E+00	680
21000	equilibration	1.79959084E+03	2.73899683E+02	6.57025528E+00	0.00000000E+00	660
21500	equilibration	1.77163891E+03	2.80122276E+02	6.32451991E+00	0.00000000E+00	642
22000	equilibration	1.77346055E+03	2.84019437E+02	6.24415204E+00	0.00000000E+00	658
22500	equilibration	1.87349660E+03	2.82062407E+02	6.64213505E+00	0.00000000E+00	661
23000	equilibration	1.90419102E+03	2.83964442E+02	6.70573757E+00	0.00000000E+00	678
23500	equilibration	1.83098131E+03	2.78205843E+02	6.58139055E+00	0.00000000E+00	664
24000	equilibration	1.78447216E+03	2.81546426E+02	6.33810978E+00	0.00000000E+00	680
24500	equilibration	1.67822586E+03	2.76006667E+02	6.08038159E+00	0.00000000E+00	620
25000	production	1.69310487E+03	2.73059098E+02	6.20050705E+00	0.00000000E+00	657
25001	production	1.67726133E+03	2.72525038E+02	6.15452197E+00	0.00000000E+00	594
25002	production	1.68579899E+03	2.73206824E+02	6.17041316E+00	0.00000000E+00	631
25003	production	1.69888121E+03	2.73214839E+02	6.21811471E+00	0.00000000E+00	620
25004	production	1.70648083E+03	2.72882859E+02	6.25352883E+00	0.00000000E+00	634
25005	production	1.71321967E+03	2.73295657E+02	6.26874095E+00	0.00000000E+00	626
25006	production	1.72146019E+03	2.72242489E+02	6.32326055E+00	0.00000000E+00	615
25007	production	1.71585852E+03	2.73023074E+02	6.28466485E+00	0.00000000E+00	623
25008	production	1.71757437E+03	2.73576598E+02	6.27822111E+00	0.00000000E+00	598
25009	production	1.69744620E+03	2.72637112E+02	6.22602763E+00	0.00000000E+00	624
25010	production	1.67822607E+03	2.72254707E+02	6.16417652E+00	0.00000000E+00	624
25011	production	1.66083581E+03	2.72135208E+02	6.10298028E+00	0.00000000E+00	622
25012	production	1.66186001E+03	2.72295485E+02	6.10314933E+00	0.00000000E+00	634
25013	production	1.67299683E+03	2.73749640E+02	6.11141198E+00	0.00000000E+00	671
25014	production	1.67333141E+03	2.74093521E+02	6.10496521E+00	0.00000000E+00	646
25015	production	1.67666978E+03	2.73133453E+02	6.13864673E+00	0.00000000E+00	646
25016	production	1.70416323E+03	2.73343120E+02	6.23452029E+00	0.00000000E+00	645
25017	production	1.72517113E+03	2.74116224E+02	6.29357544E+00	0.00000000E+00	689
25018	production	1.71978284E+03	2.74223802E+02	6.27145721E+00	0.00000000E+00	679
25019	production	1.68111126E+03	2.73386144E+02	6.14921897E+00	0.00000000E+00	672
25020	production	1.69163470E+03	2.73151635E+02	6.19302424E+00	0.00000000E+00	672
