chain_id	R2	Rg2
0	7.66588715E+02	1.84423940E+02
1	3.27561861E+03	3.74786791E+02
2	1.44252445E+03	3.59513196E+02
3	1.70338359E+03	2.42954704E+02
4	1.06020458E+03	2.82508123E+02
5	1.33525640E+03	2.72455658E+02
6	5.47867459E+02	1.60446099E+02
7	2.19615208E+03	3.13005421E+02
8	2.83041191E+03	2.90322619E+02
9	1.98107995E+03	2.61339505E+02
10	7.52116342E+02	1.46433219E+02
11	7.74973803E+02	1.35389659E+02
12	6.20913488E+02	1.59711365E+02
13	1.84391356E+03	2.36866541E+02
14	1.51486974E+03	2.27977329E+02
15	2.67410997E+02	2.08656659E+02
16	9.13958522E+01	1.19977003E+02
17	2.59707752E+03	2.85312863E+02
18	5.82826154E+03	5.79853310E+02
19	1.16965153E+03	1.99670065E+02
20	1.17834141E+03	2.45595403E+02
21	3.90180922E+03	3.24282535E+02
22	5.93959905E+02	1.50233778E+02
23	1.13737471E+03	1.74669746E+02
24	1.66591262E+02	1.77824994E+02
25	6.05067584E+03	6.05596072E+02
26	2.92231764E+03	4.48366436E+02
27	1.60252046E+03	1.73628016E+02
28	3.01074422E+03	2.80931141E+02
29	1.86105214E+03	2.86480023E+02
30	1.22619822E+03	2.10862831E+02
31	2.82937222E+03	2.03256216E+02
32	9.77300448E+02	2.19710426E+02
33	2.69708346E+03	3.05169581E+02
34	2.98915887E+03	3.47910945E+02
35	6.90382118E+02	2.43391218E+02
36	1.10693211E+03	2.18759501E+02
37	9.59689558E+01	1.62274747E+02
38	4.57701170E+03	4.42882307E+02
39	2.12314501E+03	3.80775688E+02
40	2.08960289E+03	3.42633632E+02
41	2.34002378E+03	3.28497058E+02
42	1.53103328E+03	1.50517562E+02
43	5.41498996E+02	2.06365052E+02
44	7.72972261E+02	2.08565607E+02
45	4.35195089E+02	2.12590170E+02
46	6.38585192E+02	1.42868941E+02
47	1.68855416E+03	2.20782388E+02
48	3.91186202E+02	2.44437508E+02
49	1.03019438E+03	2.96325540E+02
50	3.11936260E+01	1.52818183E+02
51	2.48910049E+03	2.59074018E+02
52	2.63627461E+03	3.67636927E+02
53	2.17710935E+03	3.47857942E+02
54	2.67547219E+02	2.09017331E+02
55	1.18445004E+03	2.80433109E+02
56	7.73240978E+02	2.75716206E+02
57	3.50663072E+03	3.84841388E+02
58	9.13733601E+02	2.24971082E+02
59	2.79789976E+03	3.63158419E+02
60	3.70357662E+03	4.21558447E+02
61	3.04732860E+03	3.76547645E+02
62	2.07685885E+03	2.32635884E+02
63	1.67377633E+03	2.76819500E+02
64	3.01895798E+03	4.27380302E+02
65	3.80129645E+03	5.53939954E+02
66	2.61582381E+03	2.84892890E+02
67	1.40978473E+03	1.88291788E+02
68	8.25768851E+02	1.94668389E+02
69	1.77899740E+03	2.47834741E+02
70	8.54270085E+02	3.13906313E+02
71	4.08172022E+02	1.31098055E+02
72	2.03070195E+03	2.50681548E+02
73	4.75961414E+02	2.13156822E+02
74	4.44316365E+03	5.03806551E+02
75	5.36716295E+02	1.30901170E+02
76	2.18584003E+03	4.25859812E+02
77	5.12272195E+02	1.76152919E+02
78	5.67110262E+02	1.18103297E+02
79	4.33205069E+02	1.23667004E+02
80	3.58056459E+02	1.42775084E+02
81	6.62507017E+02	2.36436212E+02
82	1.48505423E+03	2.01171567E+02
83	9.65318342E+02	1.49367859E+02
84	3.07962221E+03	4.46014605E+02
85	1.71344791E+03	3.83437984E+02
86	3.00746113E+03	5.97746578E+02
87	1.15283911E+03	2.19750794E+02
88	4.07795710E+02	1.42335899E+02
89	2.56966130E+03	3.31785231E+02
90	6.52836784E+02	1.74621423E+02
91	7.39032653E+02	1.94487074E+02
92	3.25186415E+03	2.24606718E+02
93	6.19706557E+02	2.49345429E+02
94	5.69762921E+02	1.60880711E+02
95	1.32045936E+03	1.75098422E+02
96	2.93196176E+03	3.50072459E+02
97	1.00410838E+03	3.04321745E+02
98	6.26246767E+02	1.76900019E+02
99	3.09624138E+03	4.91334551E+02
