lag_sweep	g1
5	1.09347701E+01
10	1.53594396E+01
15	1.83469703E+01
20	2.05773471E+01
25	2.23538272E+01
30	2.39015977E+01
35	2.52419491E+01
40	2.64153349E+01
45	2.75244693E+01
50	2.84974358E+01
55	2.94011336E+01
60	3.02800750E+01
65	3.10888881E+01
70	3.19591135E+01
75	3.27191363E+01
80	3.34929433E+01
85	3.42087329E+01
90	3.48870100E+01
95	3.55396514E+01
100	3.62581666E+01
105	3.68664654E+01
110	3.74841692E+01
115	3.81153915E+01
120	3.87410534E+01
125	3.91919616E+01
130	3.97919569E+01
135	4.02919797E+01
140	4.07650116E+01
145	4.12637319E+01
150	4.17708931E+01
155	4.22691592E+01
160	4.27704334E+01
165	4.32378340E+01
170	4.37086087E+01
175	4.41631514E+01
180	4.46546140E+01
185	4.51202979E+01
190	4.55250030E+01
195	4.58713122E+01
200	4.61849896E+01
205	4.66265431E+01
210	4.70171101E+01
215	4.74202155E+01
220	4.78569326E+01
225	4.82924324E+01
230	4.87037838E+01
235	4.91025078E+01
240	4.95504924E+01
245	4.99406392E+01
250	5.02730236E+01
255	5.05874486E+01
260	5.09049989E+01
265	5.11800310E+01
270	5.14291027E+01
275	5.18137338E+01
280	5.21370623E+01
285	5.24150066E+01
290	5.27546877E+01
295	5.30226775E+01
300	5.33480364E+01
305	5.36196295E+01
310	5.39239440E+01
315	5.42778276E+01
320	5.46317717E+01
325	5.49912417E+01
330	5.52853109E+01
335	5.56277915E+01
340	5.58349983E+01
345	5.62122879E+01
350	5.64916817E+01
355	5.66813914E+01
360	5.69827997E+01
365	5.72737575E+01
370	5.76169680E+01
375	5.79524981E+01
380	5.82995012E+01
385	5.87127899E+01
390	5.89556496E+01
395	5.92632365E+01
400	5.95630072E+01
405	5.98710743E+01
410	6.00888601E+01
415	6.04616347E+01
420	6.07622078E+01
425	6.09778640E+01
430	6.13049119E+01
435	6.16763983E+01
440	6.19556812E+01
445	6.21406117E+01
450	6.25268643E+01
455	6.27782418E+01
460	6.30689591E+01
465	6.32616230E+01
470	6.35178743E+01
475	6.38134534E+01
480	6.41544473E+01
485	6.44540107E+01
490	6.47089703E+01
495	6.49821795E+01
500	6.52153384E+01
505	6.54107660E+01
510	6.57071794E+01
515	6.60434439E+01
520	6.63359535E+01
525	6.65157711E+01
530	6.68230553E+01
535	6.71365617E+01
540	6.72875962E+01
545	6.75631603E+01
550	6.77988547E+01
555	6.80330610E+01
560	6.82856673E+01
565	6.85642320E+01
570	6.89193977E+01
575	6.92776214E+01
580	6.94986264E+01
585	6.97644362E+01
590	7.00267950E+01
595	7.02475640E+01
600	7.04559277E+01
605	7.07855652E+01
610	7.09948284E+01
615	7.11984900E+01
620	7.13795723E+01
625	7.15611646E+01
630	7.17333386E+01
635	7.20020639E+01
640	7.23311310E+01
645	7.26330255E+01
650	7.28607873E+01
655	7.30970979E+01
660	7.32507675E+01
665	7.34795979E+01
670	7.37938556E+01
675	7.39634365E+01
680	7.43509567E+01
685	7.46860030E+01
690	7.50035185E+01
695	7.52720985E+01
700	7.55026922E+01
705	7.57007177E+01
710	7.59113164E+01
715	7.62118692E+01
720	7.64600217E+01
725	7.66416208E+01
730	7.68884178E+01
735	7.71266062E+01
740	7.73516616E+01
745	7.75269887E+01
750	7.76824629E+01
755	7.78482370E+01
760	7.80583869E+01
765	7.82290473E+01
770	7.83891614E+01
775	7.84146103E+01
780	7.86379723E+01
785	7.88569639E+01
790	7.91215012E+01
795	7.92467043E+01
800	7.94574540E+01
805	7.96571442E+01
810	7.98728923E+01
815	8.01945409E+01
820	8.05995724E+01
825	8.08669139E+01
830	8.11228203E+01
835	8.12560979E+01
840	8.14484611E+01
845	8.16636729E+01
850	8.17597111E+01
855	8.20909995E+01
860	8.22177801E+01
865	8.23916568E+01
870	8.25342328E+01
875	8.28056621E+01
880	8.28475490E+01
885	8.31187313E+01
890	8.32935794E+01
895	8.34774662E+01
900	8.35936012E+01
905	8.38190126E+01
910	8.39483482E+01
915	8.40939463E+01
920	8.43047647E+01
925	8.43458236E+01
930	8.46295394E+01
935	8.47443613E+01
940	8.49642892E+01
945	8.50976540E+01
950	8.52200393E+01
955	8.54622452E+01
960	8.56057867E+01
965	8.56774224E+01
970	8.59641130E+01
975	8.62020355E+01
980	8.64382441E+01
985	8.66715069E+01
990	8.69798397E+01
995	8.72357334E+01
1000	8.75487071E+01
1005	8.78896873E+01
1010	8.81809573E+01
1015	8.84040536E+01
1020	8.85567275E+01
1025	8.88668649E+01
1030	8.91422771E+01
1035	8.93661148E+01
1040	8.96655900E+01
1045	9.00123623E+01
1050	9.03279115E+01
1055	9.05681947E+01
1060	9.07614473E+01
1065	9.09904461E+01
1070	9.11709027E+01
1075	9.13992471E+01
1080	9.16711170E+01
1085	9.21345623E+01
1090	9.24935855E+01
1095	9.27192590E+01
1100	9.28761701E+01
1105	9.31219105E+01
1110	9.34352758E+01
1115	9.35345361E+01
1120	9.37767526E+01
1125	9.39914660E+01
1130	9.41858641E+01
1135	9.43824181E+01
1140	9.46207873E+01
1145	9.48338633E+01
1150	9.49047397E+01
1155	9.51495944E+01
1160	9.54185920E+01
1165	9.56341424E+01
1170	9.59734759E+01
1175	9.61857711E+01
1180	9.64256471E+01
1185	9.65892284E+01
1190	9.67110344E+01
1195	9.69636067E+01
1200	9.72098448E+01
1205	9.73894113E+01
1210	9.76113234E+01
1215	9.77834220E+01
1220	9.79522120E+01
1225	9.81628262E+01
1230	9.82840827E+01
1235	9.84764782E+01
1240	9.85417478E+01
1245	9.87221971E+01
1250	9.88314315E+01
1255	9.90693857E+01
1260	9.92479904E+01
1265	9.93890987E+01
1270	9.93981024E+01
1275	9.96306477E+01
1280	9.96988688E+01
1285	9.98795766E+01
1290	1.00022073E+02
1295	1.00202825E+02
1300	1.00382051E+02
