lag_sweep	g1
5	6.14189985E+00
10	8.83914261E+00
15	1.04410956E+01
20	1.18328088E+01
25	1.28789445E+01
30	1.38984354E+01
35	1.47000348E+01
40	1.55350927E+01
45	1.61987063E+01
50	1.69072947E+01
55	1.74324999E+01
60	1.81046596E+01
65	1.85554980E+01
70	1.91537462E+01
75	1.95107938E+01
80	2.00414917E+01
85	2.03777775E+01
90	2.09162852E+01
95	2.12209555E+01
100	2.17601160E+01
105	2.19922505E+01
110	2.24416480E+01
115	2.26331137E+01
120	2.31258028E+01
125	2.33209675E+01
130	2.37958907E+01
135	2.39782393E+01
140	2.43913040E+01
145	2.45960124E+01
150	2.49884593E+01
155	2.52020946E+01
160	2.56833861E+01
165	2.58337770E+01
170	2.62531057E+01
175	2.64217375E+01
180	2.68118947E+01
185	2.69553071E+01
190	2.73006933E+01
195	2.74495585E+01
200	2.77358364E+01
205	2.78897474E+01
210	2.81824295E+01
215	2.83287422E+01
220	2.86451420E+01
225	2.87959392E+01
230	2.91109786E+01
235	2.92627738E+01
240	2.95403990E+01
245	2.96919811E+01
250	2.99366291E+01
255	3.00827947E+01
260	3.03185883E+01
265	3.04531258E+01
270	3.06885503E+01
275	3.09014872E+01
280	3.11257403E+01
285	3.12971607E+01
290	3.14678936E+01
295	3.16667757E+01
300	3.18191982E+01
305	3.19511539E+01
310	3.21207141E+01
315	3.22691706E+01
320	3.24760740E+01
325	3.26365355E+01
330	3.28347220E+01
335	3.29983822E+01
340	3.31560865E+01
345	3.32691473E+01
350	3.34565495E+01
355	3.35663029E+01
360	3.37760739E+01
365	3.38976198E+01
370	3.40921180E+01
375	3.41661256E+01
380	3.42926457E+01
385	3.44130935E+01
390	3.45474596E+01
395	3.46570668E+01
400	3.48313692E+01
405	3.48768600E+01
410	3.50529136E+01
415	3.51360605E+01
420	3.52997044E+01
425	3.54022131E+01
430	3.56341896E+01
435	3.56785546E+01
440	3.58729389E+01
445	3.58953803E+01
450	3.60350695E+01
455	3.61040099E+01
460	3.63064273E+01
465	3.63435008E+01
470	3.65926673E+01
475	3.66414763E+01
480	3.68688870E+01
485	3.68433556E+01
490	3.70587082E+01
495	3.70593529E+01
500	3.72427147E+01
505	3.73071781E+01
510	3.75266554E+01
515	3.75330212E+01
520	3.76953436E+01
525	3.77236336E+01
530	3.79589922E+01
535	3.80176962E+01
540	3.82146148E+01
545	3.82307989E+01
550	3.84106098E+01
555	3.84520694E+01
560	3.86110623E+01
565	3.86537994E+01
570	3.88616810E+01
575	3.89084010E+01
580	3.91213587E+01
585	3.90857837E+01
590	3.92531800E+01
595	3.93365815E+01
600	3.95079794E+01
605	3.95712420E+01
610	3.96982932E+01
615	3.97224279E+01
620	3.99009915E+01
625	3.99909797E+01
630	4.00731025E+01
635	4.01743349E+01
640	4.02837187E+01
645	4.03939526E+01
650	4.05450200E+01
655	4.06598483E+01
660	4.07964949E+01
665	4.08573165E+01
670	4.09456026E+01
675	4.10450497E+01
680	4.12161562E+01
685	4.13384172E+01
690	4.14663910E+01
695	4.14818195E+01
700	4.16334622E+01
705	4.16920884E+01
710	4.18125370E+01
715	4.19007118E+01
720	4.20114271E+01
725	4.20624909E+01
730	4.22581025E+01
735	4.23258144E+01
740	4.24069452E+01
745	4.24806182E+01
750	4.26006256E+01
755	4.26395362E+01
760	4.27688950E+01
765	4.27671292E+01
770	4.29347241E+01
775	4.29731949E+01
780	4.31136914E+01
785	4.31859634E+01
790	4.33206609E+01
795	4.33546139E+01
800	4.35127262E+01
805	4.35661314E+01
810	4.37308659E+01
815	4.37484137E+01
820	4.38981716E+01
825	4.38896347E+01
830	4.40443867E+01
835	4.39862711E+01
840	4.41028797E+01
845	4.40920262E+01
850	4.42518937E+01
855	4.42808140E+01
860	4.44638557E+01
865	4.45581600E+01
870	4.46859931E+01
875	4.47287968E+01
880	4.48870170E+01
885	4.48811856E+01
890	4.50701173E+01
895	4.50864189E+01
900	4.52327956E+01
905	4.52889667E+01
910	4.54287985E+01
915	4.55488128E+01
920	4.56285405E+01
925	4.56454338E+01
930	4.57909353E+01
935	4.58419146E+01
940	4.59577720E+01
945	4.59958869E+01
950	4.61349048E+01
955	4.62117315E+01
960	4.63460335E+01
965	4.63184862E+01
970	4.64697899E+01
975	4.65309467E+01
980	4.66650835E+01
985	4.66313996E+01
990	4.68178275E+01
995	4.68287777E+01
1000	4.70305889E+01
1005	4.69837353E+01
1010	4.71752346E+01
1015	4.71729759E+01
1020	4.73375270E+01
1025	4.73731516E+01
1030	4.75523433E+01
1035	4.75368572E+01
1040	4.77174443E+01
1045	4.77092411E+01
1050	4.78427284E+01
1055	4.78749081E+01
1060	4.79879502E+01
1065	4.80399847E+01
1070	4.81720341E+01
1075	4.82174689E+01
1080	4.84008340E+01
1085	4.83972887E+01
1090	4.85443800E+01
1095	4.85482364E+01
1100	4.86352447E+01
1105	4.86289172E+01
1110	4.87799728E+01
1115	4.88085173E+01
1120	4.89047812E+01
1125	4.89180643E+01
1130	4.90412942E+01
1135	4.90398830E+01
1140	4.92096071E+01
1145	4.91719468E+01
1150	4.92831196E+01
1155	4.92554058E+01
1160	4.93975648E+01
1165	4.93596840E+01
1170	4.95260826E+01
1175	4.94720793E+01
1180	4.96912885E+01
1185	4.96227580E+01
1190	4.97185086E+01
1195	4.96898357E+01
1200	4.98601593E+01
1205	4.98468071E+01
1210	5.00132094E+01
1215	5.00372450E+01
1220	5.01760683E+01
1225	5.02460704E+01
1230	5.04070263E+01
1235	5.04660876E+01
1240	5.05525731E+01
1245	5.05562203E+01
1250	5.07459749E+01
1255	5.06845496E+01
1260	5.07728910E+01
1265	5.07656274E+01
1270	5.09154366E+01
1275	5.08905307E+01
1280	5.09948496E+01
1285	5.10562130E+01
1290	5.11886236E+01
1295	5.11551936E+01
1300	5.12778676E+01
1305	5.12342789E+01
1310	5.14126145E+01
1315	5.13586409E+01
1320	5.14746624E+01
1325	5.15068589E+01
1330	5.16593759E+01
1335	5.16455926E+01
1340	5.17655770E+01
1345	5.17176409E+01
1350	5.18960656E+01
1355	5.18672083E+01
1360	5.20535685E+01
1365	5.20037907E+01
1370	5.22150473E+01
1375	5.21077257E+01
1380	5.22398225E+01
1385	5.22540127E+01
1390	5.23923700E+01
1395	5.23301785E+01
1400	5.24512467E+01
1405	5.23783143E+01
1410	5.25126174E+01
1415	5.24191649E+01
1420	5.26210516E+01
1425	5.25649437E+01
1430	5.27187731E+01
1435	5.27163928E+01
1440	5.28574269E+01
1445	5.28762030E+01
1450	5.29951737E+01
1455	5.30348288E+01
1460	5.31375149E+01
1465	5.31698178E+01
1470	5.32569105E+01
1475	5.32455540E+01
1480	5.32996164E+01
1485	5.33937848E+01
1490	5.34758077E+01
1495	5.35213007E+01
1500	5.35905246E+01
1505	5.36307907E+01
1510	5.36313730E+01
1515	5.36540299E+01
1520	5.37480141E+01
1525	5.38476411E+01
1530	5.39028361E+01
1535	5.40327187E+01
1540	5.40163141E+01
1545	5.41982911E+01
1550	5.42064383E+01
1555	5.42912570E+01
1560	5.42980548E+01
1565	5.44406487E+01
1570	5.44912072E+01
1575	5.45864586E+01
1580	5.46056864E+01
1585	5.47491581E+01
1590	5.47570844E+01
1595	5.49197998E+01
1600	5.49338477E+01
1605	5.50291046E+01
1610	5.50225669E+01
1615	5.51973435E+01
1620	5.52470510E+01
1625	5.53946876E+01
1630	5.54248038E+01
1635	5.55866052E+01
1640	5.56710090E+01
1645	5.57392709E+01
1650	5.57838865E+01
1655	5.58526611E+01
1660	5.59085927E+01
1665	5.59996679E+01
1670	5.60357455E+01
1675	5.60929624E+01
1680	5.61600775E+01
1685	5.62442061E+01
1690	5.62931124E+01
1695	5.63922205E+01
1700	5.64617011E+01
1705	5.65795215E+01
1710	5.66655538E+01
1715	5.67466659E+01
1720	5.68221468E+01
1725	5.68785162E+01
1730	5.69208353E+01
1735	5.70207921E+01
1740	5.71389984E+01
1745	5.71651921E+01
1750	5.72678516E+01
1755	5.73358419E+01
1760	5.74361639E+01
1765	5.74830181E+01
1770	5.75229225E+01
1775	5.75731349E+01
1780	5.76497596E+01
1785	5.76454449E+01
1790	5.77128951E+01
1795	5.77899942E+01
1800	5.78292471E+01
1805	5.78762461E+01
1810	5.79603960E+01
1815	5.79863713E+01
1820	5.81477858E+01
1825	5.81064870E+01
1830	5.82974955E+01
1835	5.82550380E+01
1840	5.84248920E+01
1845	5.83824630E+01
1850	5.84918665E+01
1855	5.84278885E+01
1860	5.86238854E+01
1865	5.85149052E+01
1870	5.86894926E+01
1875	5.86417197E+01
1880	5.88295217E+01
1885	5.88203916E+01
1890	5.89630327E+01
1895	5.89506660E+01
1900	5.91128278E+01
1905	5.90848495E+01
1910	5.92588556E+01
1915	5.92119322E+01
1920	5.93909162E+01
1925	5.92738310E+01
1930	5.94489580E+01
1935	5.94333075E+01
1940	5.95860445E+01
1945	5.96097507E+01
1950	5.97450821E+01
1955	5.96779005E+01
1960	5.98638922E+01
1965	5.98847900E+01
1970	5.99750023E+01
1975	5.99784639E+01
1980	6.00507696E+01
1985	6.00291473E+01
1990	6.01558217E+01
1995	6.01359481E+01
2000	6.02618761E+01
2005	6.02416308E+01
2010	6.03974231E+01
2015	6.03661862E+01
2020	6.04622875E+01
2025	6.05061713E+01
2030	6.06680245E+01
2035	6.05634680E+01
2040	6.06890133E+01
2045	6.06958987E+01
2050	6.07534931E+01
2055	6.07975661E+01
2060	6.08802084E+01
2065	6.09342580E+01
2070	6.09739810E+01
2075	6.10571034E+01
2080	6.10900553E+01
2085	6.11995444E+01
2090	6.12608386E+01
2095	6.13603699E+01
2100	6.13865189E+01
2105	6.13777865E+01
2110	6.14594813E+01
2115	6.14741319E+01
2120	6.15692227E+01
2125	6.16097842E+01
2130	6.16776882E+01
2135	6.16754775E+01
2140	6.17542957E+01
2145	6.17970251E+01
2150	6.18763177E+01
2155	6.18962768E+01
2160	6.19248334E+01
2165	6.19802415E+01
2170	6.20015256E+01
2175	6.20798770E+01
2180	6.20798153E+01
2185	6.21797664E+01
2190	6.21450517E+01
2195	6.22463846E+01
2200	6.21930583E+01
2205	6.23348331E+01
2210	6.23071305E+01
2215	6.24431206E+01
2220	6.24087592E+01
2225	6.24699773E+01
2230	6.24357728E+01
2235	6.26149228E+01
2240	6.26094976E+01
2245	6.27187861E+01
2250	6.27071077E+01
2255	6.28549050E+01
2260	6.27277984E+01
2265	6.28174686E+01
2270	6.27917546E+01
2275	6.29041254E+01
2280	6.29148260E+01
2285	6.30207275E+01
2290	6.29572066E+01
