lag_sweep	g_R
5	9.96775590E-01
10	9.95307250E-01
15	9.94172339E-01
20	9.93272615E-01
25	9.92466568E-01
30	9.91759191E-01
35	9.91061413E-01
40	9.90522066E-01
45	9.89928454E-01
50	9.89422652E-01
55	9.88893776E-01
60	9.88423699E-01
65	9.87968169E-01
70	9.87552252E-01
75	9.87123431E-01
80	9.86734944E-01
85	9.86338399E-01
90	9.85981734E-01
95	9.85544953E-01
100	9.85213753E-01
105	9.84835291E-01
110	9.84523918E-01
115	9.84170127E-01
120	9.83903568E-01
125	9.83621280E-01
130	9.83345770E-01
135	9.83023188E-01
140	9.82749837E-01
145	9.82492123E-01
150	9.82226282E-01
155	9.81934510E-01
160	9.81670640E-01
165	9.81437183E-01
170	9.81161797E-01
175	9.80900968E-01
180	9.80680234E-01
185	9.80411168E-01
190	9.80174076E-01
195	9.79924616E-01
200	9.79715528E-01
205	9.79479021E-01
210	9.79297503E-01
215	9.79108019E-01
220	9.78892972E-01
225	9.78709890E-01
230	9.78501537E-01
235	9.78334092E-01
240	9.78133360E-01
245	9.77978486E-01
250	9.77787432E-01
255	9.77624068E-01
260	9.77446655E-01
265	9.77263636E-01
270	9.77095895E-01
275	9.76914527E-01
280	9.76700362E-01
285	9.76544098E-01
290	9.76308451E-01
295	9.76123400E-01
300	9.75904470E-01
305	9.75731944E-01
310	9.75491881E-01
315	9.75330834E-01
320	9.75127704E-01
325	9.74973543E-01
330	9.74768963E-01
335	9.74620378E-01
340	9.74451342E-01
345	9.74284971E-01
350	9.74123696E-01
355	9.73993134E-01
360	9.73804051E-01
365	9.73657649E-01
370	9.73484068E-01
375	9.73361548E-01
380	9.73171965E-01
385	9.73030258E-01
390	9.72828550E-01
395	9.72720936E-01
400	9.72517407E-01
405	9.72410586E-01
410	9.72201227E-01
415	9.72080932E-01
420	9.71918175E-01
425	9.71803889E-01
430	9.71648889E-01
435	9.71522148E-01
440	9.71335141E-01
445	9.71182913E-01
450	9.70983482E-01
455	9.70841369E-01
460	9.70642082E-01
465	9.70500448E-01
470	9.70301208E-01
475	9.70194946E-01
480	9.70014025E-01
485	9.69924232E-01
490	9.69753155E-01
495	9.69655750E-01
500	9.69456184E-01
505	9.69381368E-01
510	9.69165231E-01
515	9.69094919E-01
520	9.68917405E-01
525	9.68807887E-01
530	9.68652951E-01
535	9.68516355E-01
540	9.68365688E-01
545	9.68241858E-01
550	9.68108251E-01
555	9.68015103E-01
560	9.67896793E-01
565	9.67796595E-01
570	9.67649353E-01
575	9.67569471E-01
580	9.67437214E-01
585	9.67344357E-01
590	9.67213048E-01
595	9.67135173E-01
600	9.67009292E-01
605	9.66952693E-01
610	9.66822664E-01
615	9.66769410E-01
620	9.66605976E-01
625	9.66543815E-01
630	9.66394519E-01
635	9.66349829E-01
640	9.66198924E-01
645	9.66115675E-01
650	9.65973170E-01
655	9.65877929E-01
660	9.65709719E-01
665	9.65623263E-01
670	9.65448935E-01
675	9.65384182E-01
680	9.65242548E-01
685	9.65141339E-01
690	9.64998461E-01
695	9.64916272E-01
700	9.64762769E-01
705	9.64689755E-01
710	9.64543020E-01
715	9.64451881E-01
720	9.64301762E-01
725	9.64223440E-01
730	9.64083745E-01
735	9.63996161E-01
740	9.63835309E-01
745	9.63759512E-01
750	9.63589558E-01
755	9.63526224E-01
760	9.63372977E-01
765	9.63293813E-01
770	9.63124935E-01
775	9.63051138E-01
780	9.62872103E-01
785	9.62822048E-01
790	9.62638806E-01
795	9.62601469E-01
800	9.62434135E-01
805	9.62405139E-01
810	9.62227579E-01
815	9.62197591E-01
820	9.62041704E-01
825	9.62018506E-01
830	9.61910902E-01
835	9.61878730E-01
840	9.61772235E-01
845	9.61725946E-01
850	9.61654480E-01
855	9.61581059E-01
860	9.61502893E-01
865	9.61416028E-01
870	9.61347332E-01
875	9.61258577E-01
880	9.61186859E-01
885	9.61050224E-01
890	9.60996997E-01
895	9.60836117E-01
900	9.60816754E-01
905	9.60728398E-01
910	9.60711021E-01
915	9.60643285E-01
920	9.60615680E-01
925	9.60533141E-01
930	9.60482861E-01
935	9.60386762E-01
940	9.60357100E-01
945	9.60246980E-01
950	9.60216097E-01
955	9.60105079E-01
960	9.60083806E-01
965	9.59989844E-01
970	9.59964975E-01
975	9.59828019E-01
980	9.59818640E-01
985	9.59702392E-01
990	9.59673530E-01
995	9.59533859E-01
1000	9.59476942E-01
1005	9.59351404E-01
1010	9.59310788E-01
1015	9.59197689E-01
1020	9.59144236E-01
1025	9.58990670E-01
1030	9.58962821E-01
1035	9.58788589E-01
1040	9.58768847E-01
1045	9.58627048E-01
1050	9.58593360E-01
1055	9.58444228E-01
1060	9.58410003E-01
1065	9.58234881E-01
1070	9.58163166E-01
1075	9.58016911E-01
1080	9.57952660E-01
1085	9.57831708E-01
1090	9.57757556E-01
1095	9.57608463E-01
1100	9.57531494E-01
1105	9.57412040E-01
1110	9.57332005E-01
1115	9.57246124E-01
1120	9.57157404E-01
1125	9.57080705E-01
1130	9.56987125E-01
1135	9.56912743E-01
1140	9.56840038E-01
1145	9.56746541E-01
1150	9.56688332E-01
1155	9.56637765E-01
1160	9.56600313E-01
1165	9.56507255E-01
1170	9.56462739E-01
1175	9.56397592E-01
1180	9.56336340E-01
1185	9.56237941E-01
1190	9.56219592E-01
1195	9.56101893E-01
1200	9.56079942E-01
1205	9.55989262E-01
1210	9.56001334E-01
1215	9.55893187E-01
1220	9.55854791E-01
1225	9.55750102E-01
1230	9.55731241E-01
1235	9.55591562E-01
1240	9.55539255E-01
1245	9.55425408E-01
1250	9.55394308E-01
1255	9.55263067E-01
1260	9.55208987E-01
1265	9.55110138E-01
1270	9.55074839E-01
1275	9.55023348E-01
1280	9.55000696E-01
1285	9.54965597E-01
1290	9.54898286E-01
1295	9.54828452E-01
1300	9.54746019E-01
1305	9.54676357E-01
1310	9.54618147E-01
1315	9.54581189E-01
1320	9.54551002E-01
1325	9.54498024E-01
1330	9.54443805E-01
1335	9.54366341E-01
1340	9.54350756E-01
1345	9.54299048E-01
1350	9.54285092E-01
1355	9.54243299E-01
1360	9.54217114E-01
1365	9.54121129E-01
1370	9.54119038E-01
1375	9.53994072E-01
1380	9.53993016E-01
1385	9.53866369E-01
1390	9.53850447E-01
1395	9.53687736E-01
1400	9.53663770E-01
1405	9.53530403E-01
1410	9.53504353E-01
1415	9.53391567E-01
1420	9.53343379E-01
1425	9.53213670E-01
1430	9.53158806E-01
1435	9.53059419E-01
1440	9.52993443E-01
1445	9.52888556E-01
1450	9.52830387E-01
1455	9.52724915E-01
1460	9.52719847E-01
1465	9.52550474E-01
1470	9.52566383E-01
1475	9.52435650E-01
1480	9.52425784E-01
1485	9.52279338E-01
1490	9.52289752E-01
1495	9.52117364E-01
1500	9.52138056E-01
1505	9.51943523E-01
1510	9.51987850E-01
1515	9.51800756E-01
1520	9.51849182E-01
1525	9.51672109E-01
1530	9.51668315E-01
1535	9.51538905E-01
1540	9.51558956E-01
1545	9.51416672E-01
1550	9.51396682E-01
1555	9.51234675E-01
1560	9.51265726E-01
1565	9.51128872E-01
1570	9.51140199E-01
1575	9.51006623E-01
1580	9.51019091E-01
1585	9.50859915E-01
1590	9.50858596E-01
1595	9.50727456E-01
1600	9.50759635E-01
1605	9.50630113E-01
1610	9.50612993E-01
1615	9.50436427E-01
1620	9.50423618E-01
1625	9.50279203E-01
1630	9.50302247E-01
1635	9.50178773E-01
1640	9.50181092E-01
1645	9.50055025E-01
1650	9.50043021E-01
1655	9.49922807E-01
1660	9.49921307E-01
1665	9.49829090E-01
1670	9.49828020E-01
1675	9.49723558E-01
1680	9.49731791E-01
1685	9.49667072E-01
1690	9.49672907E-01
1695	9.49615690E-01
1700	9.49585190E-01
1705	9.49502672E-01
1710	9.49529415E-01
1715	9.49456980E-01
1720	9.49492027E-01
1725	9.49416144E-01
1730	9.49425236E-01
1735	9.49329960E-01
1740	9.49345494E-01
1745	9.49240094E-01
1750	9.49240026E-01
