sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	3.53508560E+03	5.54666775E+02	6.37335020E+00	0.00000000E+00	1263
1000	equilibration	3.54119919E+03	5.69577594E+02	6.21723752E+00	0.00000000E+00	866
2000	equilibration	3.47206113E+03	5.74469305E+02	6.04394543E+00	0.00000000E+00	908
3000	equilibration	3.51207810E+03	5.76012390E+02	6.09722666E+00	0.00000000E+00	1019
4000	equilibration	3.61531504E+03	5.74885468E+02	6.28875705E+00	0.00000000E+00	1030
5000	equilibration	3.72539253E+03	5.79148966E+02	6.43252901E+00	0.00000000E+00	1021
6000	equilibration	3.56494832E+03	5.81424051E+02	6.13140842E+00	0.00000000E+00	986
7000	equilibration	3.77951734E+03	5.86679871E+02	6.44221411E+00	0.00000000E+00	1016
8000	equilibration	3.57442277E+03	5.84353078E+02	6.11688876E+00	0.00000000E+00	1067
9000	equilibration	3.49955307E+03	5.87464616E+02	5.95704486E+00	0.00000000E+00	1037
10000	equilibration	3.58224846E+03	5.90246545E+02	6.06907147E+00	0.00000000E+00	1027
11000	equilibration	3.80416326E+03	5.91531877E+02	6.43103679E+00	0.00000000E+00	1077
12000	equilibration	3.84388986E+03	5.95785525E+02	6.45180136E+00	0.00000000E+00	1078
13000	equilibration	3.77435648E+03	6.04286285E+02	6.24597410E+00	0.00000000E+00	1112
14000	equilibration	3.79855020E+03	6.07491384E+02	6.25284621E+00	0.00000000E+00	1055
15000	equilibration	4.13218515E+03	6.11410935E+02	6.75844168E+00	0.00000000E+00	1052
16000	equilibration	4.09759415E+03	6.16971811E+02	6.64146089E+00	0.00000000E+00	1057
17000	equilibration	3.94331744E+03	6.12210544E+02	6.44111323E+00	0.00000000E+00	1019
18000	equilibration	3.96394328E+03	6.12376684E+02	6.47304736E+00	0.00000000E+00	1091
19000	equilibration	3.97626076E+03	6.09378751E+02	6.52510569E+00	0.00000000E+00	1079
20000	equilibration	3.99488746E+03	6.19458247E+02	6.44900198E+00	0.00000000E+00	1011
21000	equilibration	3.78771639E+03	6.09590084E+02	6.21354658E+00	0.00000000E+00	1057
22000	equilibration	3.89030190E+03	6.14520689E+02	6.33062803E+00	0.00000000E+00	1006
23000	equilibration	3.82536388E+03	6.12849066E+02	6.24193475E+00	0.00000000E+00	1037
24000	equilibration	3.93748263E+03	6.13337737E+02	6.41976255E+00	0.00000000E+00	1043
25000	equilibration	3.79055055E+03	6.08462063E+02	6.22972372E+00	0.00000000E+00	1078
26000	equilibration	3.86997286E+03	6.14313211E+02	6.29967383E+00	0.00000000E+00	1044
27000	equilibration	3.99662504E+03	6.14744836E+02	6.50127467E+00	0.00000000E+00	1060
28000	equilibration	3.92303377E+03	6.17820806E+02	6.34979226E+00	0.00000000E+00	1034
29000	equilibration	3.91580890E+03	6.18843102E+02	6.32762793E+00	0.00000000E+00	1045
30000	equilibration	3.95076198E+03	6.12399958E+02	6.45127735E+00	0.00000000E+00	1062
31000	equilibration	3.99003477E+03	6.21443886E+02	6.42058737E+00	0.00000000E+00	1043
