chain_id	R2	Rg2
0	5.52153302E+03	7.15937046E+02
1	7.56247612E+03	1.07193587E+03
2	1.77512869E+03	4.12564836E+02
3	2.36463019E+03	3.29227165E+02
4	3.37919479E+03	3.53854312E+02
5	4.42099921E+03	5.64481271E+02
6	5.24569603E+03	7.40955160E+02
7	1.30713045E+03	2.61363442E+02
8	2.87227867E+03	4.96583770E+02
9	1.63588939E+03	3.65389021E+02
10	1.04724850E+03	3.89496068E+02
11	1.21159256E+03	2.12348896E+02
12	2.17868494E+03	7.08340233E+02
13	1.06386250E+04	1.38770486E+03
14	5.40465238E+03	5.47013933E+02
15	3.03984073E+03	6.16958797E+02
16	4.78472402E+03	5.19827940E+02
17	5.30736079E+03	7.50612091E+02
18	4.85960364E+03	5.85862378E+02
19	8.85253633E+03	1.13799020E+03
20	1.65460598E+03	4.93731012E+02
21	8.48924123E+03	1.02597136E+03
22	4.07501885E+03	4.44462888E+02
23	5.04389526E+03	6.51980424E+02
24	9.88659384E+02	2.85532700E+02
25	9.88528765E+02	4.76153134E+02
26	1.12658620E+03	2.94895662E+02
27	1.54865852E+03	3.64946975E+02
28	2.28971303E+03	4.70713092E+02
29	1.37569605E+04	1.33545497E+03
30	1.26043346E+03	3.83195742E+02
31	3.92940260E+03	4.10361244E+02
32	6.56233186E+03	7.50931464E+02
33	5.34084691E+03	5.98315134E+02
34	5.00451757E+03	5.44832758E+02
35	4.73045882E+03	7.26821641E+02
36	6.35563990E+03	8.22870130E+02
37	5.06944359E+03	5.62238580E+02
38	1.74801816E+03	3.64431936E+02
39	4.94326794E+03	8.04315422E+02
40	6.02904060E+03	7.86902997E+02
41	2.68933864E+03	3.95774690E+02
42	1.95848061E+03	5.72766484E+02
43	2.24230240E+02	2.38003498E+02
44	4.38121246E+03	5.77256314E+02
45	3.00770884E+03	6.04743515E+02
46	3.32180143E+03	4.57017639E+02
47	2.03478023E+03	3.86409671E+02
48	4.77627688E+03	6.87181370E+02
49	4.15126031E+03	5.65648008E+02
50	1.22369889E+03	3.66452148E+02
51	3.73356760E+02	3.66029939E+02
52	5.91926034E+03	9.60279160E+02
53	3.60872956E+02	3.60936234E+02
54	3.38472003E+03	8.31731571E+02
55	4.20001472E+03	5.59660782E+02
56	7.08395393E+03	5.88365091E+02
57	1.27770387E+04	1.00398049E+03
58	1.37938607E+03	3.24436953E+02
59	6.20336165E+02	5.07646265E+02
60	5.21229665E+03	6.38115221E+02
61	4.13024359E+03	9.37374322E+02
62	7.95231032E+03	5.04235721E+02
63	2.23776397E+03	6.99227571E+02
64	1.49007486E+03	5.54282966E+02
65	1.52288103E+03	4.45836782E+02
66	2.24951681E+03	6.81951662E+02
67	5.19299462E+03	7.58973145E+02
68	8.57172267E+03	8.89976094E+02
69	8.31798632E+03	8.37853848E+02
70	1.13440666E+03	4.46913883E+02
71	5.10832970E+02	4.96411594E+02
72	1.50895756E+02	3.58859757E+02
73	3.02409803E+02	3.35229937E+02
74	1.75915809E+03	4.21223642E+02
75	2.17632383E+03	2.54000896E+02
76	6.63159254E+03	6.90108301E+02
77	3.64045456E+03	6.09914248E+02
78	1.21543561E+04	1.37324739E+03
79	3.78455673E+03	3.72070864E+02
80	3.50140328E+03	5.81639066E+02
81	4.12670998E+03	8.87360483E+02
82	1.26040871E+04	1.05832093E+03
83	1.03382219E+04	1.33124740E+03
84	7.63007550E+02	3.33120324E+02
85	3.30077210E+03	4.69090151E+02
86	1.99778714E+03	4.87954700E+02
87	2.48491344E+03	5.90821111E+02
88	1.23652132E+03	5.31273222E+02
89	5.58475314E+03	9.87589531E+02
90	3.09523116E+03	8.01728797E+02
91	1.19522100E+03	4.51107674E+02
92	2.76145882E+03	5.36287739E+02
93	3.30644406E+03	5.09847322E+02
94	2.83506787E+03	4.05639898E+02
95	2.58253087E+03	5.37576566E+02
96	1.37855203E+04	1.41592286E+03
97	4.18681485E+03	6.97908368E+02
98	3.48068138E+03	4.08544047E+02
99	3.45942438E+03	3.51199761E+02
