lag_sweep	g_CM
5	1.37799364E-01
10	2.03349552E-01
15	2.51279197E-01
20	2.92593960E-01
25	3.28315896E-01
30	3.61144581E-01
35	3.90660637E-01
40	4.18154655E-01
45	4.44559524E-01
50	4.68726134E-01
55	4.92566032E-01
60	5.15537205E-01
65	5.36228398E-01
70	5.57147626E-01
75	5.76745932E-01
80	5.96791125E-01
85	6.16273693E-01
90	6.35778507E-01
95	6.53794750E-01
100	6.70734447E-01
105	6.89631679E-01
110	7.04960092E-01
115	7.22972574E-01
120	7.37558025E-01
125	7.55458678E-01
130	7.70999785E-01
135	7.87756604E-01
140	8.03821241E-01
145	8.18980296E-01
150	8.33176646E-01
155	8.49639602E-01
160	8.62916967E-01
165	8.78844668E-01
170	8.92444069E-01
175	9.08851245E-01
180	9.22202663E-01
185	9.36006337E-01
190	9.50147058E-01
195	9.64447607E-01
200	9.78496638E-01
205	9.91930997E-01
210	1.00556199E+00
215	1.01824116E+00
220	1.03103919E+00
225	1.04311767E+00
230	1.05729378E+00
235	1.06785500E+00
240	1.08078432E+00
245	1.09089475E+00
250	1.10529054E+00
255	1.11433926E+00
260	1.12801841E+00
265	1.13777825E+00
270	1.15134911E+00
275	1.16070487E+00
280	1.17457744E+00
285	1.18284060E+00
290	1.19596125E+00
295	1.20615379E+00
300	1.21927085E+00
305	1.22892230E+00
310	1.24109229E+00
315	1.25237976E+00
320	1.26431332E+00
325	1.27527032E+00
330	1.28731915E+00
335	1.29887433E+00
340	1.31016981E+00
345	1.32073864E+00
350	1.33227169E+00
355	1.34153996E+00
360	1.35317680E+00
365	1.36197266E+00
370	1.37319180E+00
375	1.38246649E+00
380	1.39428269E+00
385	1.40281946E+00
390	1.41408301E+00
395	1.42268068E+00
400	1.43344378E+00
405	1.44114432E+00
410	1.45191121E+00
415	1.46143450E+00
420	1.47246200E+00
425	1.48179513E+00
430	1.49360753E+00
435	1.50240243E+00
440	1.51273947E+00
445	1.52271064E+00
450	1.53319990E+00
455	1.54366806E+00
460	1.55392784E+00
465	1.56432589E+00
470	1.57376608E+00
475	1.58485043E+00
480	1.59317016E+00
485	1.60290159E+00
490	1.61230436E+00
495	1.62143266E+00
500	1.63014092E+00
505	1.64041452E+00
510	1.64969682E+00
515	1.65868540E+00
520	1.66728476E+00
525	1.67649921E+00
530	1.68501626E+00
535	1.69567186E+00
540	1.70466166E+00
545	1.71481092E+00
550	1.72375175E+00
555	1.73217939E+00
560	1.74111401E+00
565	1.75056196E+00
570	1.75810372E+00
575	1.76817263E+00
580	1.77616177E+00
585	1.78579379E+00
590	1.79372100E+00
595	1.80250147E+00
600	1.81017138E+00
605	1.81944935E+00
610	1.82704390E+00
615	1.83602025E+00
620	1.84422691E+00
625	1.85311610E+00
630	1.86123736E+00
635	1.87082253E+00
640	1.88034531E+00
645	1.88987808E+00
650	1.89739887E+00
655	1.90768010E+00
660	1.91506875E+00
665	1.92467196E+00
670	1.93203222E+00
675	1.94185446E+00
680	1.94840852E+00
685	1.95868261E+00
690	1.96583448E+00
695	1.97597503E+00
700	1.98379666E+00
705	1.99358885E+00
710	2.00018765E+00
715	2.00930950E+00
720	2.01577656E+00
725	2.02521432E+00
730	2.03241182E+00
735	2.04177388E+00
740	2.04917479E+00
745	2.05757113E+00
750	2.06497905E+00
755	2.07249273E+00
760	2.08038674E+00
765	2.08823495E+00
770	2.09483583E+00
775	2.10226879E+00
780	2.11060793E+00
785	2.11810874E+00
790	2.12576484E+00
795	2.13273286E+00
800	2.14005298E+00
805	2.14819868E+00
810	2.15421523E+00
815	2.16204575E+00
820	2.16990693E+00
825	2.17736235E+00
830	2.18625810E+00
835	2.19344109E+00
840	2.20234941E+00
845	2.21026518E+00
850	2.21867190E+00
855	2.22742940E+00
860	2.23558262E+00
865	2.24398737E+00
870	2.25238924E+00
875	2.26091047E+00
880	2.26871511E+00
885	2.27711231E+00
890	2.28677659E+00
895	2.29579422E+00
900	2.30486466E+00
905	2.31277714E+00
910	2.32237657E+00
915	2.33142443E+00
920	2.34047320E+00
925	2.34972475E+00
930	2.35710668E+00
935	2.36716493E+00
940	2.37501019E+00
945	2.38605087E+00
950	2.39269756E+00
955	2.40374131E+00
960	2.41202341E+00
965	2.42235741E+00
970	2.42956715E+00
975	2.44006743E+00
980	2.44646339E+00
985	2.45751263E+00
990	2.46405118E+00
995	2.47435447E+00
1000	2.48081512E+00
1005	2.49129476E+00
1010	2.49830463E+00
1015	2.50792817E+00
1020	2.51509420E+00
1025	2.52499428E+00
1030	2.53185750E+00
1035	2.54247994E+00
1040	2.54832536E+00
1045	2.55902043E+00
1050	2.56588157E+00
1055	2.57608426E+00
1060	2.58326533E+00
1065	2.59220125E+00
1070	2.59981547E+00
1075	2.60932097E+00
1080	2.61673970E+00
1085	2.62527491E+00
1090	2.63397467E+00
1095	2.64140974E+00
1100	2.65051670E+00
1105	2.65887337E+00
1110	2.66743234E+00
1115	2.67521493E+00
1120	2.68268107E+00
1125	2.69155921E+00
1130	2.70048428E+00
1135	2.70642386E+00
1140	2.71564524E+00
1145	2.72232763E+00
1150	2.73309089E+00
1155	2.73950186E+00
1160	2.74924919E+00
1165	2.75684542E+00
1170	2.76638549E+00
1175	2.77506634E+00
1180	2.78445439E+00
1185	2.79226372E+00
1190	2.80143641E+00
1195	2.80975412E+00
1200	2.81859458E+00
1205	2.82672952E+00
1210	2.83532954E+00
1215	2.84343027E+00
1220	2.85150933E+00
1225	2.86003533E+00
1230	2.86806851E+00
1235	2.87602738E+00
1240	2.88386766E+00
1245	2.89332937E+00
1250	2.90149188E+00
1255	2.91102142E+00
1260	2.91874289E+00
1265	2.92919956E+00
1270	2.93832719E+00
1275	2.94786544E+00
1280	2.95672380E+00
1285	2.96721328E+00
1290	2.97516413E+00
1295	2.98488231E+00
1300	2.99202108E+00
1305	3.00060669E+00
1310	3.00720717E+00
1315	3.01615162E+00
1320	3.02321316E+00
1325	3.03231048E+00
1330	3.03934550E+00
1335	3.04771385E+00
1340	3.05457793E+00
1345	3.06279751E+00
1350	3.06938297E+00
1355	3.07752319E+00
1360	3.08317879E+00
1365	3.09085586E+00
1370	3.09823279E+00
1375	3.10602278E+00
1380	3.11383296E+00
1385	3.12118685E+00
1390	3.13073614E+00
1395	3.13846109E+00
1400	3.14757221E+00
1405	3.15628976E+00
1410	3.16360760E+00
1415	3.17119583E+00
1420	3.17763918E+00
1425	3.18669824E+00
1430	3.19377279E+00
1435	3.20214840E+00
1440	3.20925237E+00
1445	3.21842707E+00
1450	3.22645315E+00
1455	3.23463497E+00
1460	3.24254075E+00
1465	3.25109727E+00
1470	3.25889390E+00
1475	3.26695925E+00
1480	3.27494176E+00
1485	3.28203134E+00
1490	3.28956001E+00
1495	3.29691145E+00
1500	3.30395185E+00
1505	3.31107778E+00
1510	3.31913884E+00
1515	3.32741786E+00
1520	3.33347951E+00
1525	3.34113539E+00
1530	3.34802786E+00
1535	3.35502511E+00
1540	3.36382172E+00
1545	3.37010506E+00
1550	3.38031611E+00
1555	3.38651069E+00
1560	3.39416166E+00
1565	3.40166971E+00
1570	3.40908039E+00
1575	3.41598889E+00
1580	3.42399335E+00
1585	3.43118248E+00
1590	3.43815661E+00
1595	3.44608298E+00
1600	3.45340335E+00
1605	3.46091002E+00
1610	3.46847740E+00
1615	3.47625595E+00
1620	3.48346834E+00
1625	3.49103550E+00
1630	3.49826670E+00
1635	3.50471566E+00
1640	3.51298481E+00
1645	3.51926103E+00
1650	3.52810787E+00
1655	3.53495009E+00
1660	3.54291254E+00
1665	3.54823992E+00
1670	3.55543974E+00
1675	3.56364198E+00
1680	3.57165022E+00
1685	3.57925249E+00
1690	3.58600096E+00
1695	3.59453734E+00
1700	3.60124841E+00
1705	3.61106241E+00
1710	3.61783056E+00
1715	3.62652367E+00
1720	3.63279386E+00
1725	3.64295363E+00
1730	3.64901995E+00
1735	3.65905096E+00
1740	3.66471639E+00
1745	3.67475863E+00
