lag_sweep	g1
5	1.45618912E+01
10	2.02824867E+01
15	2.41798214E+01
20	2.70119916E+01
25	2.93640510E+01
30	3.14948164E+01
35	3.32501963E+01
40	3.50636649E+01
45	3.65992460E+01
50	3.80869837E+01
55	3.93674141E+01
60	4.07595881E+01
65	4.19086623E+01
70	4.32535986E+01
75	4.42342766E+01
80	4.53670341E+01
85	4.64266234E+01
90	4.72971453E+01
95	4.83191000E+01
100	4.92405283E+01
105	5.01867935E+01
110	5.10653365E+01
115	5.19679184E+01
120	5.28627500E+01
125	5.37068765E+01
130	5.44316773E+01
135	5.53254076E+01
140	5.59833734E+01
145	5.69516536E+01
150	5.75504800E+01
155	5.83676663E+01
160	5.89041711E+01
165	5.98217454E+01
170	6.03313270E+01
175	6.12823134E+01
180	6.18681267E+01
185	6.27172127E+01
190	6.32239819E+01
195	6.41592136E+01
200	6.47088253E+01
205	6.54660912E+01
210	6.59324780E+01
215	6.67578520E+01
220	6.72170234E+01
225	6.80274054E+01
230	6.83795145E+01
235	6.93076441E+01
240	6.96926207E+01
245	7.04843434E+01
250	7.08755340E+01
255	7.16286420E+01
260	7.19983239E+01
265	7.27370180E+01
270	7.30384442E+01
275	7.38468683E+01
280	7.42613896E+01
285	7.50192977E+01
290	7.53734163E+01
295	7.60573217E+01
300	7.63623655E+01
305	7.71247964E+01
310	7.75346280E+01
315	7.82831472E+01
320	7.85629758E+01
325	7.93333868E+01
330	7.97506207E+01
335	8.04478814E+01
340	8.07156202E+01
345	8.14065096E+01
350	8.16815101E+01
355	8.23253436E+01
360	8.27142983E+01
365	8.34169459E+01
370	8.38004938E+01
375	8.44733064E+01
380	8.45815823E+01
385	8.51410347E+01
390	8.53870548E+01
395	8.59816672E+01
400	8.62470947E+01
405	8.68155035E+01
410	8.71008050E+01
415	8.77153830E+01
420	8.80088972E+01
425	8.86176943E+01
430	8.89631977E+01
435	8.96412422E+01
440	8.99364642E+01
445	9.05497838E+01
450	9.08371971E+01
455	9.14348449E+01
460	9.17905347E+01
465	9.23970074E+01
470	9.27419780E+01
475	9.33552746E+01
480	9.36658717E+01
485	9.42892879E+01
490	9.45550620E+01
495	9.51700809E+01
500	9.54644679E+01
505	9.61127574E+01
510	9.63485969E+01
515	9.70403746E+01
520	9.73040802E+01
525	9.79309210E+01
530	9.82598896E+01
535	9.88263559E+01
540	9.90541284E+01
545	9.96623687E+01
550	9.99835772E+01
555	1.00590872E+02
560	1.00761483E+02
565	1.01390058E+02
570	1.01640915E+02
575	1.02318772E+02
580	1.02580543E+02
585	1.03164931E+02
590	1.03464563E+02
595	1.04046124E+02
600	1.04356923E+02
605	1.04803222E+02
610	1.05110379E+02
615	1.05553772E+02
620	1.05901249E+02
625	1.06399045E+02
630	1.06696728E+02
635	1.07343984E+02
640	1.07571757E+02
645	1.08076060E+02
650	1.08490837E+02
655	1.09044397E+02
660	1.09360321E+02
665	1.09893794E+02
670	1.10171230E+02
675	1.10657028E+02
680	1.11034184E+02
685	1.11624397E+02
690	1.11802425E+02
695	1.12379456E+02
700	1.12516770E+02
705	1.13057197E+02
710	1.13280911E+02
715	1.13922803E+02
720	1.14258356E+02
725	1.14864130E+02
730	1.15200031E+02
735	1.15763443E+02
740	1.16176085E+02
745	1.16692866E+02
750	1.16944312E+02
755	1.17566217E+02
760	1.17943934E+02
765	1.18342202E+02
770	1.18706150E+02
775	1.19129047E+02
780	1.19442875E+02
785	1.19987362E+02
790	1.20262441E+02
795	1.20750353E+02
800	1.21038693E+02
805	1.21424101E+02
810	1.21777961E+02
815	1.22251155E+02
820	1.22688538E+02
825	1.23004016E+02
830	1.23391877E+02
835	1.23760403E+02
840	1.24092421E+02
845	1.24471344E+02
850	1.24822594E+02
855	1.25215973E+02
860	1.25491990E+02
865	1.25945722E+02
870	1.26249523E+02
875	1.26689044E+02
880	1.27001827E+02
885	1.27461661E+02
890	1.27855015E+02
895	1.28228267E+02
900	1.28665970E+02
905	1.29142811E+02
910	1.29527095E+02
915	1.30050344E+02
920	1.30284811E+02
925	1.30717255E+02
930	1.31029013E+02
935	1.31234378E+02
940	1.31507250E+02
945	1.32065493E+02
950	1.32283591E+02
955	1.32872093E+02
960	1.32897698E+02
965	1.33466043E+02
970	1.33615206E+02
975	1.34116604E+02
980	1.34357951E+02
985	1.34886313E+02
990	1.35097415E+02
995	1.35726438E+02
1000	1.35823162E+02
1005	1.36389697E+02
1010	1.36527431E+02
1015	1.37126752E+02
