chain_id	R2	Rg2
0	3.11917929E+02	2.71104610E+02
1	1.93630197E+03	5.29440050E+02
2	2.95587635E+02	3.80228321E+02
3	3.58551308E+03	5.78998227E+02
4	5.52597123E+03	7.79256490E+02
5	1.67176629E+03	9.83806494E+02
6	7.78807580E+03	1.25849516E+03
7	3.27441460E+03	7.51514916E+02
8	3.09829125E+03	5.79088316E+02
9	5.64055118E+01	4.33105289E+02
10	4.79729479E+02	4.15367217E+02
11	6.49319049E+03	7.56065436E+02
12	2.37890874E+03	4.47583352E+02
13	5.80724593E+02	4.98332309E+02
14	6.24543103E+03	7.16891802E+02
15	1.71562649E+03	4.30955277E+02
16	1.18274400E+04	1.42882354E+03
17	1.98885644E+03	6.13408213E+02
18	1.40648638E+02	3.68085245E+02
19	1.03426622E+04	1.22063182E+03
20	2.64249092E+03	3.44284389E+02
21	1.44446950E+03	6.56289228E+02
22	6.52489419E+03	1.04481542E+03
23	3.41196022E+03	6.42841296E+02
24	6.82704275E+02	5.51726667E+02
25	1.97414396E+03	4.00725287E+02
26	2.22377298E+03	4.54869143E+02
27	2.62648191E+03	5.43943822E+02
28	3.96862191E+03	3.94161002E+02
29	6.75863672E+03	5.45336877E+02
30	1.77015621E+03	3.81669818E+02
31	2.73718308E+03	6.01745688E+02
32	3.45138601E+03	4.98302076E+02
33	9.13776140E+03	7.19826592E+02
34	2.09339584E+03	6.52990330E+02
35	5.95646467E+03	1.00067276E+03
36	1.11036134E+03	5.09194767E+02
37	2.79484162E+03	3.78211171E+02
38	8.54439513E+03	8.44504512E+02
39	1.86839603E+03	4.97298784E+02
40	1.76312316E+03	5.36166531E+02
41	7.71258998E+03	7.70225985E+02
42	3.41924868E+03	4.85849889E+02
43	9.07638188E+03	1.00944596E+03
44	3.81530044E+03	6.39033748E+02
45	4.42932192E+03	6.83827966E+02
46	3.88990939E+03	5.42659651E+02
47	2.90471329E+03	4.44719974E+02
48	3.55827956E+03	5.57800123E+02
49	3.68236196E+03	6.22614594E+02
50	2.61371479E+02	5.32113427E+02
51	1.81289065E+03	5.76818871E+02
52	1.37665445E+03	3.68496918E+02
53	4.59430744E+03	6.22355987E+02
54	9.05689384E+02	3.67154456E+02
55	4.37228926E+03	8.14849937E+02
56	3.90012539E+02	4.56053877E+02
57	2.65694154E+03	3.66433101E+02
58	2.08551209E+03	4.57611776E+02
59	7.39338260E+02	3.91095847E+02
60	7.29031072E+03	9.82950509E+02
61	3.77142606E+03	7.65400739E+02
62	1.28915648E+03	3.44792321E+02
63	2.53313199E+02	4.15487256E+02
64	2.20554581E+03	4.48036631E+02
65	1.46573504E+04	1.56722095E+03
66	6.08237806E+02	3.39463127E+02
67	6.39348541E+03	8.50837636E+02
68	3.59984789E+03	5.41381114E+02
69	1.68528077E+03	3.68167743E+02
70	2.62649398E+03	6.13803864E+02
71	4.53675382E+03	6.90052462E+02
72	4.36217443E+03	7.87357445E+02
73	2.65161370E+03	3.51643720E+02
74	5.32526093E+03	7.56252394E+02
75	1.23383176E+03	2.56550457E+02
76	8.87979855E+02	3.52781124E+02
77	6.13388591E+03	7.45926640E+02
78	4.43619337E+03	8.94804424E+02
79	3.64891892E+03	8.95700042E+02
80	2.03147915E+03	6.73245701E+02
81	1.92600576E+03	3.90629011E+02
82	1.77785076E+03	3.51390083E+02
83	5.79393397E+03	6.50022258E+02
84	1.26659221E+03	2.37969746E+02
85	1.28711538E+04	1.38948346E+03
86	3.46083363E+03	5.96682530E+02
87	7.69271216E+02	2.96218685E+02
88	3.45864545E+03	3.39764743E+02
89	5.57672494E+03	7.96489398E+02
90	3.76032429E+03	9.91160441E+02
91	4.99778053E+03	7.43626543E+02
92	2.31246027E+03	3.99214333E+02
93	5.27226782E+03	4.76980712E+02
94	4.08511818E+03	4.67807613E+02
95	7.54173637E+03	1.10976799E+03
96	4.72474709E+03	5.54252001E+02
97	3.25440817E+03	6.55346211E+02
98	6.20588703E+03	8.22434520E+02
99	3.42767546E+03	4.00239351E+02
