sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	2.76085503E+03	4.85212301E+02	5.68999389E+00	0.00000000E+00	1403
1000	equilibration	3.10822749E+03	5.24400419E+02	5.92720254E+00	0.00000000E+00	1543
2000	equilibration	3.26643415E+03	5.40813472E+02	6.03985352E+00	0.00000000E+00	1492
3000	equilibration	2.99148156E+03	5.27780073E+02	5.66804568E+00	0.00000000E+00	1499
4000	equilibration	3.45082250E+03	5.55119181E+02	6.21636330E+00	0.00000000E+00	1425
5000	equilibration	3.12297906E+03	5.53910998E+02	5.63805209E+00	0.00000000E+00	1458
6000	equilibration	3.46640585E+03	5.67134188E+02	6.11214405E+00	0.00000000E+00	1476
7000	equilibration	3.43102112E+03	5.75741830E+02	5.95930492E+00	0.00000000E+00	1434
8000	equilibration	3.47936611E+03	5.73400126E+02	6.06795491E+00	0.00000000E+00	1444
9000	equilibration	3.30795821E+03	5.75681976E+02	5.74615560E+00	0.00000000E+00	1468
10000	equilibration	3.44849149E+03	5.93513651E+02	5.81029852E+00	0.00000000E+00	1508
11000	equilibration	3.73332271E+03	6.11495315E+02	6.10523517E+00	0.00000000E+00	1479
12000	equilibration	3.87920555E+03	6.13084575E+02	6.32735793E+00	0.00000000E+00	1463
13000	equilibration	3.52835357E+03	5.95653643E+02	5.92349869E+00	0.00000000E+00	1438
14000	equilibration	3.71683913E+03	5.92693609E+02	6.27109703E+00	0.00000000E+00	1425
15000	equilibration	3.30976650E+03	5.90229749E+02	5.60759010E+00	0.00000000E+00	1427
16000	equilibration	3.30689562E+03	6.08413954E+02	5.43527247E+00	0.00000000E+00	1393
17000	equilibration	3.65487731E+03	6.15603216E+02	5.93706664E+00	0.00000000E+00	1488
18000	equilibration	3.72531933E+03	6.13835068E+02	6.06892556E+00	0.00000000E+00	1401
19000	equilibration	3.79715240E+03	6.19063586E+02	6.13370336E+00	0.00000000E+00	1465
20000	equilibration	3.95198778E+03	6.19752604E+02	6.37671831E+00	0.00000000E+00	1443
21000	equilibration	3.90917760E+03	6.21515658E+02	6.28974917E+00	0.00000000E+00	1453
22000	equilibration	3.57147548E+03	6.05270157E+02	5.90063038E+00	0.00000000E+00	1441
23000	equilibration	3.50371820E+03	6.02716130E+02	5.81321459E+00	0.00000000E+00	1468
24000	equilibration	3.57204121E+03	6.17103023E+02	5.78840336E+00	0.00000000E+00	1432
25000	equilibration	3.81397673E+03	6.26468797E+02	6.08805539E+00	0.00000000E+00	1494
26000	equilibration	3.45897745E+03	6.26884524E+02	5.51772667E+00	0.00000000E+00	1466
27000	equilibration	3.77285976E+03	6.21760690E+02	6.06802556E+00	0.00000000E+00	1510
28000	equilibration	3.58575418E+03	6.13119823E+02	5.84837424E+00	0.00000000E+00	1475
