lag_sweep	g_R
5	9.90504487E-01
10	9.84391005E-01
15	9.80218945E-01
20	9.76310972E-01
25	9.73562598E-01
30	9.70660266E-01
35	9.68599695E-01
40	9.66316101E-01
45	9.64598907E-01
50	9.62714805E-01
55	9.61328025E-01
60	9.59720198E-01
65	9.58583310E-01
70	9.57076160E-01
75	9.56069198E-01
80	9.54743833E-01
85	9.53867594E-01
90	9.52561200E-01
95	9.51794233E-01
100	9.50576878E-01
105	9.49985933E-01
110	9.48879837E-01
115	9.48401715E-01
120	9.47424075E-01
125	9.46984380E-01
130	9.45975386E-01
135	9.45572864E-01
140	9.44605557E-01
145	9.44261091E-01
150	9.43370269E-01
155	9.43001789E-01
160	9.42192959E-01
165	9.41831178E-01
170	9.40953354E-01
175	9.40589012E-01
180	9.39650864E-01
185	9.39393551E-01
190	9.38591476E-01
195	9.38263398E-01
200	9.37505666E-01
205	9.37272834E-01
210	9.36453528E-01
215	9.36261019E-01
220	9.35474554E-01
225	9.35197701E-01
230	9.34403490E-01
235	9.34243110E-01
240	9.33477185E-01
245	9.33323606E-01
250	9.32606966E-01
255	9.32461558E-01
260	9.31712427E-01
265	9.31514060E-01
270	9.30701517E-01
275	9.30419404E-01
280	9.29698945E-01
285	9.29495393E-01
290	9.28784813E-01
295	9.28638561E-01
300	9.27938012E-01
305	9.27685145E-01
310	9.27051447E-01
315	9.26871543E-01
320	9.26236881E-01
325	9.26058826E-01
330	9.25391444E-01
335	9.25295111E-01
340	9.24697982E-01
345	9.24647570E-01
350	9.24044292E-01
355	9.23903449E-01
360	9.23355927E-01
365	9.23242162E-01
370	9.22653495E-01
375	9.22469424E-01
380	9.21878347E-01
385	9.21637993E-01
390	9.21134792E-01
395	9.20943704E-01
400	9.20442078E-01
405	9.20321187E-01
410	9.19781526E-01
415	9.19654535E-01
420	9.19113103E-01
425	9.19018380E-01
430	9.18504620E-01
435	9.18364276E-01
440	9.17862610E-01
445	9.17752063E-01
450	9.17280004E-01
455	9.17128152E-01
460	9.16734861E-01
465	9.16582373E-01
470	9.16176057E-01
475	9.16106505E-01
480	9.15708306E-01
485	9.15540135E-01
490	9.14988285E-01
495	9.14797403E-01
500	9.14287959E-01
505	9.13963293E-01
510	9.13463852E-01
515	9.13161047E-01
520	9.12702045E-01
525	9.12476135E-01
530	9.12077324E-01
535	9.11835579E-01
540	9.11473103E-01
545	9.11255491E-01
550	9.10768912E-01
555	9.10573459E-01
560	9.10150942E-01
565	9.09947166E-01
570	9.09531989E-01
575	9.09442236E-01
580	9.09022003E-01
585	9.09008571E-01
590	9.08541728E-01
595	9.08521277E-01
600	9.07998426E-01
605	9.07924012E-01
610	9.07490024E-01
615	9.07398770E-01
620	9.06992184E-01
625	9.07011096E-01
630	9.06577129E-01
635	9.06551143E-01
640	9.06127640E-01
645	9.05948233E-01
650	9.05662224E-01
655	9.05543994E-01
660	9.05121376E-01
665	9.05056224E-01
670	9.04668475E-01
675	9.04602661E-01
680	9.04219544E-01
685	9.04096370E-01
690	9.03679147E-01
695	9.03600892E-01
700	9.03210683E-01
705	9.03256318E-01
710	9.02844059E-01
715	9.02862963E-01
720	9.02419713E-01
725	9.02446795E-01
730	9.02055442E-01
735	9.02012843E-01
740	9.01589999E-01
745	9.01609580E-01
750	9.01252730E-01
755	9.01321161E-01
760	9.00979162E-01
765	9.00962005E-01
770	9.00626507E-01
775	9.00595346E-01
780	9.00244737E-01
785	9.00306902E-01
790	8.99855870E-01
795	8.99804842E-01
800	8.99267424E-01
805	8.99218873E-01
810	8.98679912E-01
815	8.98667404E-01
820	8.98253328E-01
825	8.98234602E-01
830	8.97672942E-01
835	8.97577030E-01
840	8.97127188E-01
845	8.97052926E-01
850	8.96655858E-01
855	8.96759779E-01
860	8.96346965E-01
865	8.96451561E-01
870	8.96017388E-01
875	8.96132429E-01
880	8.95686873E-01
885	8.95719391E-01
890	8.95277046E-01
895	8.95298286E-01
900	8.94820524E-01
905	8.94791733E-01
910	8.94307872E-01
915	8.94288418E-01
920	8.93897688E-01
925	8.93940299E-01
930	8.93537266E-01
935	8.93598455E-01
940	8.93117580E-01
945	8.93243238E-01
950	8.92735077E-01
955	8.92858565E-01
960	8.92345974E-01
965	8.92487269E-01
970	8.91941036E-01
975	8.92118600E-01
980	8.91637515E-01
985	8.91747201E-01
990	8.91260022E-01
995	8.91459018E-01
1000	8.91013240E-01
1005	8.91183072E-01
1010	8.90657936E-01
1015	8.90817127E-01
1020	8.90219498E-01
1025	8.90378082E-01
1030	8.89771127E-01
1035	8.90057712E-01
1040	8.89531141E-01
1045	8.89809850E-01
1050	8.89270274E-01
1055	8.89520952E-01
1060	8.88914073E-01
1065	8.89102817E-01
1070	8.88518947E-01
1075	8.88774219E-01
1080	8.88187955E-01
1085	8.88539990E-01
1090	8.87998515E-01
1095	8.88221261E-01
1100	8.87741987E-01
1105	8.87838368E-01
1110	8.87327704E-01
1115	8.87514340E-01
1120	8.86961056E-01
1125	8.87243542E-01
1130	8.86678646E-01
1135	8.86970842E-01
1140	8.86423215E-01
1145	8.86637418E-01
1150	8.86129242E-01
1155	8.86405419E-01
1160	8.85911393E-01
1165	8.86044468E-01
1170	8.85506645E-01
1175	8.85767093E-01
