sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	8.22423624E+02	1.27782857E+02	6.43610296E+00	0.00000000E+00	495
200	equilibration	9.31831883E+02	1.36157584E+02	6.84377512E+00	0.00000000E+00	493
400	equilibration	9.16517587E+02	1.35371512E+02	6.77038748E+00	0.00000000E+00	486
600	equilibration	8.69058786E+02	1.24028934E+02	7.00690362E+00	0.00000000E+00	476
800	equilibration	9.08619209E+02	1.33768427E+02	6.79247883E+00	0.00000000E+00	498
1000	equilibration	8.19598664E+02	1.26996586E+02	6.45370626E+00	0.00000000E+00	491
1200	equilibration	8.40242411E+02	1.33498343E+02	6.29402876E+00	0.00000000E+00	485
1400	equilibration	7.37156935E+02	1.24614069E+02	5.91551936E+00	0.00000000E+00	488
1600	equilibration	8.75241130E+02	1.30932573E+02	6.68467065E+00	0.00000000E+00	489
1800	equilibration	8.63852523E+02	1.34407383E+02	6.42712106E+00	0.00000000E+00	478
2000	equilibration	9.19731431E+02	1.40425052E+02	6.54962500E+00	0.00000000E+00	465
2200	equilibration	9.15214408E+02	1.39149438E+02	6.57720520E+00	0.00000000E+00	460
2400	equilibration	9.47995740E+02	1.40301185E+02	6.75686195E+00	0.00000000E+00	454
2600	equilibration	8.18870283E+02	1.31694778E+02	6.21794043E+00	0.00000000E+00	462
2800	equilibration	8.56257016E+02	1.30227211E+02	6.57510063E+00	0.00000000E+00	474
3000	equilibration	8.43245693E+02	1.29495071E+02	6.51179762E+00	0.00000000E+00	468
3200	equilibration	9.38705826E+02	1.36416486E+02	6.88117581E+00	0.00000000E+00	487
3400	equilibration	8.69768127E+02	1.36475694E+02	6.37306252E+00	0.00000000E+00	476
3600	equilibration	8.87956282E+02	1.32535520E+02	6.69976081E+00	0.00000000E+00	468
3800	equilibration	8.90067756E+02	1.34020353E+02	6.64128797E+00	0.00000000E+00	462
4000	equilibration	9.10980681E+02	1.33568023E+02	6.82035014E+00	0.00000000E+00	468
4200	equilibration	9.03952966E+02	1.34047779E+02	6.74351319E+00	0.00000000E+00	458
4400	equilibration	9.80828425E+02	1.39122993E+02	7.05008139E+00	0.00000000E+00	480
4600	equilibration	8.46864304E+02	1.32370457E+02	6.39768361E+00	0.00000000E+00	451
4800	equilibration	8.32430506E+02	1.31621415E+02	6.32443062E+00	0.00000000E+00	493
5000	equilibration	8.83325987E+02	1.31752496E+02	6.70443455E+00	0.00000000E+00	463
5200	equilibration	8.42485483E+02	1.31595007E+02	6.40210830E+00	0.00000000E+00	486
