lag_sweep	g_CM
5	1.98217277E+00
10	3.31885844E+00
15	4.45470589E+00
20	5.48979429E+00
25	6.44176910E+00
30	7.34524124E+00
35	8.21936435E+00
40	9.04148507E+00
45	9.83017166E+00
50	1.06089490E+01
55	1.13805379E+01
60	1.21350175E+01
65	1.28748721E+01
70	1.35871906E+01
75	1.43173393E+01
80	1.50006802E+01
85	1.56857255E+01
90	1.63790818E+01
95	1.70773995E+01
100	1.77852854E+01
105	1.84712396E+01
110	1.91570530E+01
115	1.98408366E+01
120	2.05339151E+01
125	2.12203790E+01
130	2.19060154E+01
135	2.25893772E+01
140	2.32490899E+01
145	2.39296707E+01
150	2.45964927E+01
155	2.52663627E+01
160	2.59100842E+01
165	2.65319249E+01
170	2.71466389E+01
175	2.77704656E+01
180	2.84154374E+01
185	2.90845088E+01
190	2.97116679E+01
195	3.03380092E+01
200	3.09445115E+01
205	3.15732813E+01
210	3.21877881E+01
215	3.27878992E+01
220	3.33638586E+01
225	3.39467874E+01
230	3.45323661E+01
235	3.51202613E+01
240	3.57112396E+01
245	3.63089979E+01
250	3.68976350E+01
255	3.74460081E+01
260	3.80101006E+01
265	3.85747411E+01
270	3.91396737E+01
275	3.97234119E+01
280	4.02804338E+01
285	4.08609462E+01
290	4.14185061E+01
295	4.19693244E+01
300	4.25241472E+01
305	4.30870982E+01
310	4.36697111E+01
315	4.42769493E+01
320	4.48849045E+01
325	4.55026004E+01
330	4.61289872E+01
335	4.67385258E+01
340	4.73604692E+01
345	4.79937520E+01
350	4.86369026E+01
355	4.92723065E+01
360	4.98871292E+01
365	5.04875559E+01
370	5.10801197E+01
375	5.16826094E+01
380	5.22661144E+01
385	5.28498381E+01
390	5.34540703E+01
395	5.40650313E+01
400	5.46998513E+01
405	5.52836488E+01
410	5.58908483E+01
415	5.64702672E+01
420	5.70569079E+01
425	5.76170517E+01
430	5.82142452E+01
435	5.88358868E+01
440	5.94376978E+01
445	6.00416880E+01
450	6.06512597E+01
455	6.12467311E+01
460	6.18325896E+01
465	6.23793985E+01
470	6.29264262E+01
475	6.34436463E+01
480	6.39153899E+01
485	6.44366706E+01
490	6.49815787E+01
495	6.55038620E+01
500	6.60222559E+01
505	6.65793734E+01
510	6.71290534E+01
515	6.76619148E+01
520	6.81597751E+01
525	6.86425512E+01
530	6.91304356E+01
535	6.96394682E+01
540	7.01350991E+01
545	7.06347172E+01
550	7.11292557E+01
555	7.16337110E+01
560	7.21450992E+01
565	7.26313548E+01
570	7.31427986E+01
575	7.36635350E+01
580	7.41897339E+01
585	7.47117663E+01
590	7.52496021E+01
595	7.57987158E+01
600	7.63398429E+01
605	7.68941804E+01
610	7.74597932E+01
615	7.79906917E+01
620	7.85325789E+01
625	7.90762939E+01
630	7.95798388E+01
635	8.00958125E+01
640	8.06417819E+01
645	8.11828432E+01
650	8.17059968E+01
655	8.22436669E+01
660	8.27565597E+01
665	8.33010274E+01
670	8.38415088E+01
675	8.43959678E+01
680	8.49225705E+01
685	8.54258558E+01
690	8.59258391E+01
695	8.63970672E+01
700	8.68744385E+01
705	8.73629301E+01
710	8.78651233E+01
715	8.83776314E+01
720	8.88642867E+01
725	8.94116768E+01
730	8.99566328E+01
735	9.05037580E+01
740	9.10578282E+01
745	9.15078028E+01
750	9.19816350E+01
755	9.23999750E+01
760	9.27916583E+01
765	9.31810427E+01
770	9.35829174E+01
775	9.39807139E+01
780	9.43690950E+01
785	9.48209705E+01
790	9.52203923E+01
795	9.56288883E+01
800	9.60277537E+01
805	9.64162898E+01
810	9.68219292E+01
815	9.72729778E+01
820	9.76949413E+01
825	9.81338492E+01
830	9.86720159E+01
835	9.91305774E+01
840	9.95828021E+01
845	1.00042506E+02
850	1.00520750E+02
855	1.01006888E+02
860	1.01402907E+02
865	1.01863790E+02
870	1.02268861E+02
875	1.02643709E+02
880	1.03025147E+02
885	1.03419028E+02
890	1.03841163E+02
895	1.04237813E+02
900	1.04647721E+02
905	1.05089663E+02
910	1.05514706E+02
915	1.05972782E+02
920	1.06430475E+02
925	1.06909926E+02
930	1.07385499E+02
935	1.07867527E+02
940	1.08332216E+02
945	1.08755300E+02
950	1.09142155E+02
955	1.09547611E+02
960	1.10063583E+02
965	1.10520297E+02
970	1.11023772E+02
975	1.11583195E+02
980	1.12081507E+02
985	1.12595559E+02
990	1.13109077E+02
995	1.13594953E+02
1000	1.14067750E+02
1005	1.14447905E+02
1010	1.14874700E+02
1015	1.15354463E+02
1020	1.15691370E+02
1025	1.15893706E+02
1030	1.16071921E+02
1035	1.16324700E+02
