chain_id	R2	Rg2
0	1.41834855E+03	1.86385780E+02
1	9.06122948E+02	1.50101426E+02
2	1.60878564E+03	1.71610282E+02
3	6.41793580E+02	1.07375448E+02
4	6.70420978E+02	1.01994997E+02
5	9.96935122E+02	2.05018844E+02
6	1.27477916E+02	9.01883112E+01
7	1.52509809E+03	1.65775269E+02
8	7.15967362E+01	8.89472305E+01
9	6.87401907E+02	1.34562180E+02
10	2.18056054E+03	2.56539138E+02
11	9.68957699E+02	1.63850292E+02
12	1.10619565E+03	1.84912961E+02
13	1.17106933E+03	1.75843877E+02
14	8.06437032E+02	1.18278419E+02
15	4.50022882E+02	9.40833818E+01
16	1.38289212E+03	1.92534833E+02
17	1.21619427E+03	1.75672097E+02
18	8.85729456E+01	1.17871703E+02
19	4.02231757E+02	9.98547200E+01
20	1.21410170E+03	1.88484704E+02
21	7.78107821E+02	1.34151603E+02
22	9.40179454E+02	1.20389886E+02
23	1.64545270E+03	1.76348838E+02
24	7.64530379E+02	1.23208152E+02
25	6.32011488E+02	1.11732313E+02
26	9.08448331E+02	1.22596995E+02
27	2.43830686E+03	2.42922312E+02
28	1.25214231E+03	1.41286280E+02
29	1.11036172E+03	1.12445651E+02
30	1.49655769E+03	1.53198197E+02
31	1.47411030E+03	1.50098800E+02
32	6.75386042E+02	8.24620196E+01
33	1.71796930E+03	1.65466728E+02
34	5.95088928E+02	1.16914747E+02
35	3.25146157E+02	1.42827701E+02
36	9.37511496E+02	1.18069843E+02
37	4.33263173E+02	7.21040988E+01
38	8.58844785E+02	1.71594952E+02
39	9.13716566E+02	1.39928139E+02
40	1.56060009E+03	2.01460338E+02
41	6.30297579E+02	1.30581548E+02
42	1.01011352E+03	1.12653936E+02
43	1.66598476E+03	2.42589151E+02
44	2.29389884E+03	2.68404641E+02
45	7.31358054E+02	1.29273373E+02
46	1.56598052E+03	1.77778890E+02
47	3.28139740E+02	7.98313786E+01
48	3.50476221E+02	1.44352394E+02
49	1.77187102E+03	2.06512298E+02
50	9.68806092E+01	8.48561565E+01
51	9.04036495E+02	1.13944537E+02
52	1.33012363E+03	2.26937429E+02
53	1.08196182E+03	1.30631738E+02
54	1.49888148E+03	1.68564943E+02
55	6.91938054E+02	1.39439862E+02
56	1.59652995E+03	1.92021753E+02
57	1.30576175E+03	1.19395223E+02
58	2.91024776E+02	1.07437259E+02
59	5.12070821E+02	7.44341675E+01
60	3.20942792E+02	1.12666514E+02
61	7.49108659E+02	1.10239832E+02
62	6.14314003E+02	1.25101114E+02
63	2.11616786E+02	1.14904600E+02
64	9.70062236E+02	1.18145467E+02
65	5.62794166E+02	7.14034674E+01
66	1.85782286E+03	2.60941836E+02
67	2.23276419E+01	8.78739852E+01
68	1.14792013E+03	1.58814024E+02
69	8.61392923E+02	1.02627012E+02
70	1.58059650E+03	2.12592077E+02
71	2.10396246E+03	2.07417977E+02
72	9.19168963E+02	1.21707419E+02
73	1.20366868E+03	1.40037352E+02
74	4.88789112E+02	7.25140297E+01
75	5.60339780E+02	1.01174787E+02
76	8.79548343E+02	1.46888204E+02
77	3.28341100E+02	9.05292906E+01
78	1.77294985E+03	2.29640725E+02
79	7.07930363E+02	9.66079285E+01
80	4.26062673E+02	9.29628014E+01
81	6.21632084E+02	9.85672529E+01
82	7.68067817E+02	1.53952865E+02
83	4.80592331E+02	1.04355664E+02
84	4.99215560E+01	9.61949889E+01
85	7.68613978E+02	1.15261794E+02
86	1.11926366E+03	1.50841468E+02
87	6.09090719E+02	8.27291122E+01
88	6.83854430E+02	1.41463388E+02
89	1.16111837E+03	1.85799223E+02
90	1.85739880E+03	1.64844878E+02
91	7.63846436E+02	1.16589727E+02
92	9.63715197E+02	1.37879205E+02
93	4.86726292E+02	8.96928355E+01
94	1.52036899E+03	1.59520345E+02
95	1.04796941E+03	1.19159774E+02
96	1.01511092E+03	1.23517323E+02
97	7.21435246E+02	9.02318695E+01
98	8.83600324E+02	1.50223765E+02
99	6.37992920E+02	1.11968468E+02
