lag_sweep	g_R
5	9.62933411E-01
10	9.40526532E-01
15	9.22782483E-01
20	9.08366090E-01
25	8.95734689E-01
30	8.84426592E-01
35	8.74163073E-01
40	8.64980452E-01
45	8.56085711E-01
50	8.48121347E-01
55	8.40451812E-01
60	8.33402973E-01
65	8.27052828E-01
70	8.20458967E-01
75	8.14454666E-01
80	8.08704942E-01
85	8.03094560E-01
90	7.97331958E-01
95	7.92220208E-01
100	7.87692249E-01
105	7.83005738E-01
110	7.78736146E-01
115	7.74709639E-01
120	7.70311696E-01
125	7.66012865E-01
130	7.61834419E-01
135	7.57510036E-01
140	7.53640562E-01
145	7.49735074E-01
150	7.45935843E-01
155	7.42341028E-01
160	7.38468669E-01
165	7.34936812E-01
170	7.31644655E-01
175	7.28203238E-01
180	7.25203582E-01
185	7.22206307E-01
190	7.19031957E-01
195	7.16239491E-01
200	7.13222939E-01
205	7.10319417E-01
210	7.06944715E-01
215	7.04053864E-01
220	7.01100983E-01
225	6.98188992E-01
230	6.94801181E-01
235	6.91230802E-01
240	6.88113241E-01
245	6.84879248E-01
250	6.82013489E-01
255	6.79386064E-01
260	6.77176399E-01
265	6.75156302E-01
270	6.73184036E-01
275	6.70581372E-01
280	6.68687572E-01
285	6.66810082E-01
290	6.64916519E-01
295	6.62900295E-01
300	6.60708019E-01
305	6.58227405E-01
310	6.56218811E-01
315	6.53948650E-01
320	6.51771400E-01
325	6.49760731E-01
330	6.47864274E-01
335	6.45505427E-01
340	6.43399854E-01
345	6.40964582E-01
350	6.38688610E-01
355	6.36319589E-01
360	6.34135427E-01
365	6.31587581E-01
370	6.29199620E-01
375	6.26853276E-01
380	6.24825017E-01
385	6.22090966E-01
390	6.19788727E-01
395	6.17681823E-01
400	6.15868820E-01
405	6.13927344E-01
410	6.12034773E-01
415	6.09821741E-01
420	6.07492097E-01
425	6.05343120E-01
430	6.02555960E-01
435	5.99805724E-01
440	5.96820403E-01
445	5.93904318E-01
450	5.90670222E-01
455	5.87990603E-01
460	5.85516952E-01
465	5.82695880E-01
470	5.80008062E-01
475	5.77433632E-01
480	5.74750772E-01
485	5.71958112E-01
490	5.68893228E-01
495	5.65831484E-01
500	5.63172256E-01
505	5.60742604E-01
510	5.58655835E-01
515	5.56110389E-01
520	5.54328509E-01
525	5.52600217E-01
530	5.50587338E-01
535	5.48667733E-01
540	5.47052096E-01
545	5.45468550E-01
550	5.44101403E-01
555	5.42989153E-01
560	5.42070529E-01
565	5.40722618E-01
570	5.38834627E-01
575	5.36882294E-01
580	5.35430663E-01
585	5.34130222E-01
590	5.33572525E-01
595	5.32770543E-01
600	5.31863103E-01
605	5.31097188E-01
610	5.29781171E-01
615	5.28096074E-01
620	5.26570615E-01
625	5.25518061E-01
630	5.25546118E-01
635	5.25031341E-01
640	5.23802833E-01
645	5.22439241E-01
650	5.21509926E-01
655	5.20201176E-01
660	5.17703036E-01
665	5.15282305E-01
670	5.13619351E-01
675	5.11742010E-01
680	5.10238388E-01
685	5.08274869E-01
690	5.06494674E-01
695	5.05508011E-01
700	5.04133406E-01
705	5.02458883E-01
710	5.00788565E-01
715	4.99113796E-01
720	4.97845387E-01
725	4.96493355E-01
730	4.95607567E-01
735	4.94084744E-01
740	4.92963660E-01
745	4.92076035E-01
750	4.91247331E-01
755	4.90561269E-01
760	4.89859321E-01
765	4.88600644E-01
770	4.87691745E-01
775	4.86869288E-01
780	4.86194494E-01
785	4.84668895E-01
790	4.82916601E-01
795	4.81083673E-01
800	4.78531527E-01
805	4.76533242E-01
810	4.74231425E-01
815	4.72811735E-01
820	4.71941087E-01
825	4.70076814E-01
830	4.67958601E-01
835	4.66266092E-01
840	4.63709580E-01
845	4.61783228E-01
850	4.59969090E-01
855	4.58194374E-01
860	4.56652497E-01
865	4.54448869E-01
870	4.52524538E-01
875	4.51698560E-01
880	4.50638506E-01
885	4.49126435E-01
890	4.47200309E-01
895	4.46055757E-01
900	4.45222237E-01
905	4.43758679E-01
910	4.42044743E-01
915	4.41111878E-01
920	4.40059435E-01
925	4.39728164E-01
930	4.38699381E-01
935	4.37663943E-01
940	4.36510593E-01
945	4.36444301E-01
950	4.36873249E-01
955	4.37817043E-01
960	4.38815716E-01
965	4.39646580E-01
970	4.40047574E-01
975	4.40227821E-01
980	4.40565605E-01
985	4.40829794E-01
990	4.41370567E-01
995	4.40856432E-01
1000	4.41380184E-01
1005	4.41368065E-01
1010	4.42076233E-01
1015	4.41566038E-01
1020	4.41634561E-01
1025	4.41178393E-01
1030	4.40841934E-01
1035	4.40291574E-01
1040	4.38867270E-01
1045	4.36942831E-01
1050	4.36465652E-01
1055	4.36575082E-01
1060	4.37822781E-01
1065	4.37407335E-01
1070	4.37434254E-01
1075	4.35774082E-01
1080	4.34749295E-01
1085	4.34488325E-01
1090	4.32785140E-01
1095	4.30525056E-01
1100	4.26574513E-01
1105	4.24408094E-01
1110	4.22939773E-01
1115	4.22616390E-01
1120	4.22448166E-01
1125	4.21695088E-01
1130	4.21247408E-01
1135	4.22138966E-01
1140	4.22057705E-01
1145	4.21062312E-01
1150	4.18981599E-01
1155	4.15846601E-01
1160	4.13187612E-01
1165	4.10686542E-01
1170	4.09226356E-01
1175	4.07293452E-01
1180	4.07188569E-01
1185	4.06299457E-01
1190	4.03296377E-01
1195	3.96142149E-01
1200	3.92814072E-01
1205	3.89169981E-01
1210	3.86490532E-01
1215	3.86308878E-01
1220	3.85826798E-01
1225	3.87352605E-01
1230	3.94879342E-01
1235	4.01441406E-01
1240	3.96329338E-01
1245	3.78626405E-01
