chain_id	R2	Rg2
0	2.64393276E+03	4.01874166E+02
1	2.85916269E+03	4.18829049E+02
2	3.16931027E+03	2.95093182E+02
3	3.74607928E+03	4.85399491E+02
4	2.35751555E+03	3.72261820E+02
5	2.35833246E+03	2.75453169E+02
6	5.38418510E+02	2.15603864E+02
7	2.53365789E+03	4.06974689E+02
8	3.26727431E+03	3.54066737E+02
9	3.24818059E+03	4.71694475E+02
10	3.82317691E+03	5.09745794E+02
11	4.93500058E+03	6.46929523E+02
12	2.66483326E+03	3.81204774E+02
13	7.98749658E+02	2.28852442E+02
14	1.60396866E+03	2.24844355E+02
15	6.09685550E+02	2.44016147E+02
16	4.88231782E+03	5.39224920E+02
17	2.17511930E+03	3.05300920E+02
18	3.20294272E+03	3.76309809E+02
19	1.39444603E+03	2.30014135E+02
20	1.22084670E+03	3.52493310E+02
21	2.20009210E+03	2.73200618E+02
22	2.43924619E+03	2.44275552E+02
23	1.61540056E+03	3.05967722E+02
24	2.60741257E+03	3.30739487E+02
25	3.33774183E+03	4.11017905E+02
26	3.25541791E+03	4.99250569E+02
27	1.27594629E+03	2.82994553E+02
28	1.35199364E+03	1.81248851E+02
29	1.70616165E+03	2.01241684E+02
30	2.10312529E+02	1.85293894E+02
31	1.15482880E+03	3.59346156E+02
32	6.70663571E+02	1.16277804E+02
33	2.47318261E+03	2.61849572E+02
34	2.45067659E+03	3.96693181E+02
35	3.14805493E+03	4.02952102E+02
36	1.70614257E+03	3.69733884E+02
37	2.70244226E+03	4.33595602E+02
38	5.50079303E+03	5.16737103E+02
39	1.38798696E+03	3.19297836E+02
40	4.55538472E+03	4.61951989E+02
41	3.04255415E+03	3.25190614E+02
42	1.18287409E+03	2.79510860E+02
43	4.16274699E+03	6.81549770E+02
44	3.37559194E+02	2.08616513E+02
45	4.56341995E+02	1.10762371E+02
46	4.80001847E+03	6.41336744E+02
47	1.89571778E+03	5.60548439E+02
48	3.30405190E+02	1.71301663E+02
49	1.17836737E+03	2.47948312E+02
50	3.20507275E+03	4.04951320E+02
51	7.58279634E+02	1.87918592E+02
52	3.31340825E+03	5.79343026E+02
53	3.49826985E+02	2.70614585E+02
54	1.99020230E+03	2.20037381E+02
55	2.32336888E+03	3.00041013E+02
56	2.49019079E+03	4.27448605E+02
57	1.70499173E+03	3.46161742E+02
58	1.97083706E+03	2.52306982E+02
59	2.54869239E+03	4.30446941E+02
60	2.32987240E+03	4.74503885E+02
61	2.01534216E+03	4.13841136E+02
62	2.39282384E+03	3.66491303E+02
63	2.72375786E+03	4.26340647E+02
64	5.93394549E+02	1.93541927E+02
65	1.75027981E+03	2.60649371E+02
66	3.52925275E+03	3.75867909E+02
67	7.43139435E+02	2.35493790E+02
68	2.62309680E+03	3.25938057E+02
69	5.29441651E+03	5.50489361E+02
70	3.18110303E+03	3.36132812E+02
71	2.68461443E+03	2.82023240E+02
72	1.44825141E+03	3.03161887E+02
73	3.33676998E+03	4.70028175E+02
74	1.35142024E+03	2.57353450E+02
75	4.18695946E+03	5.85787426E+02
76	5.00451231E+03	6.43256017E+02
77	1.12557406E+03	1.77513238E+02
78	1.46430335E+03	2.40800387E+02
79	1.32385219E+03	3.63366569E+02
80	9.98962423E+02	2.79646634E+02
81	4.52375288E+03	5.09550830E+02
82	1.94506006E+03	2.87229792E+02
83	5.97742894E+02	1.94616810E+02
84	5.64186743E+02	2.16239458E+02
85	2.63249975E+03	3.02621971E+02
86	1.68919413E+03	2.84835375E+02
87	3.78434351E+01	1.47767835E+02
88	1.95673638E+03	3.03278380E+02
89	3.99954518E+03	4.54894739E+02
90	8.19071348E+01	2.51715362E+02
91	1.96732263E+03	2.29981242E+02
92	1.63585049E+03	2.12449094E+02
93	2.47100676E+03	3.38316417E+02
94	3.16885382E+03	2.79371885E+02
95	1.62298907E+03	3.98181436E+02
96	3.47198745E+03	3.52075689E+02
97	7.66797739E+02	1.81767238E+02
98	9.65074060E+02	2.13424015E+02
99	4.34494412E+03	4.02753985E+02
