lag_sweep	g_R
5	9.81967022E-01
10	9.71542376E-01
15	9.63740867E-01
20	9.57272004E-01
25	9.51828392E-01
30	9.46984185E-01
35	9.42779779E-01
40	9.39034696E-01
45	9.35645167E-01
50	9.32268306E-01
55	9.29186334E-01
60	9.26272022E-01
65	9.23594403E-01
70	9.20909521E-01
75	9.18432033E-01
80	9.15987768E-01
85	9.13619988E-01
90	9.11525727E-01
95	9.09328404E-01
100	9.07366707E-01
105	9.05446548E-01
110	9.03623679E-01
115	9.01803699E-01
120	9.00078712E-01
125	8.98404456E-01
130	8.96734537E-01
135	8.95230234E-01
140	8.93721222E-01
145	8.92188433E-01
150	8.90762840E-01
155	8.89350645E-01
160	8.87881708E-01
165	8.86497242E-01
170	8.85150155E-01
175	8.83832433E-01
180	8.82411328E-01
185	8.81077244E-01
190	8.79850659E-01
195	8.78802287E-01
200	8.77631136E-01
205	8.76298427E-01
210	8.74924448E-01
215	8.73698952E-01
220	8.72431463E-01
225	8.71202051E-01
230	8.70088949E-01
235	8.68824389E-01
240	8.67719041E-01
245	8.66690316E-01
250	8.65774849E-01
255	8.64705150E-01
260	8.63564163E-01
265	8.62522084E-01
270	8.61635475E-01
275	8.60675027E-01
280	8.59681083E-01
285	8.58746902E-01
290	8.57818105E-01
295	8.56850855E-01
300	8.55884689E-01
305	8.54809835E-01
310	8.53876007E-01
315	8.52974845E-01
320	8.51917745E-01
325	8.50958457E-01
330	8.49992875E-01
335	8.48970755E-01
340	8.48071652E-01
345	8.47264566E-01
350	8.46421553E-01
355	8.45738840E-01
360	8.44941418E-01
365	8.44032352E-01
370	8.42997944E-01
375	8.42073944E-01
380	8.41356309E-01
385	8.40612562E-01
390	8.39887518E-01
395	8.39099710E-01
400	8.38375328E-01
405	8.37614356E-01
410	8.36767980E-01
415	8.35937718E-01
420	8.34997445E-01
425	8.34266495E-01
430	8.33356240E-01
435	8.32210081E-01
440	8.31282494E-01
445	8.30386888E-01
450	8.29512525E-01
455	8.28693535E-01
460	8.27844590E-01
465	8.26884172E-01
470	8.26145520E-01
475	8.25206397E-01
480	8.24357056E-01
485	8.23469746E-01
490	8.22744538E-01
495	8.22043323E-01
500	8.21258755E-01
505	8.20546289E-01
510	8.20012910E-01
515	8.19374469E-01
520	8.18836900E-01
525	8.18294109E-01
530	8.17651478E-01
535	8.17090597E-01
540	8.16483294E-01
545	8.15876891E-01
550	8.15282423E-01
555	8.14739818E-01
560	8.14138723E-01
565	8.13382155E-01
570	8.12733428E-01
575	8.12160992E-01
580	8.11544255E-01
585	8.11077808E-01
590	8.10374006E-01
595	8.09752608E-01
600	8.09213592E-01
605	8.08714689E-01
610	8.08163792E-01
615	8.07482265E-01
620	8.06664909E-01
625	8.05916079E-01
630	8.05174492E-01
635	8.04501797E-01
640	8.03776964E-01
645	8.02912319E-01
650	8.02092216E-01
655	8.01410487E-01
660	8.00691323E-01
665	8.00117514E-01
670	7.99353534E-01
675	7.98655256E-01
680	7.97960479E-01
685	7.97310836E-01
690	7.96590263E-01
695	7.96074265E-01
700	7.95429019E-01
705	7.94664271E-01
710	7.93960475E-01
715	7.93231639E-01
720	7.92504202E-01
725	7.91792796E-01
730	7.91023858E-01
735	7.90394269E-01
740	7.89758078E-01
745	7.88979973E-01
750	7.88559922E-01
755	7.88003979E-01
760	7.87440745E-01
765	7.86994761E-01
770	7.86569970E-01
775	7.86015108E-01
780	7.85464140E-01
785	7.84755177E-01
790	7.83970855E-01
795	7.83538571E-01
800	7.82994789E-01
805	7.82401331E-01
810	7.81862266E-01
815	7.81251188E-01
820	7.80832107E-01
825	7.80233873E-01
830	7.79788400E-01
835	7.79215757E-01
840	7.78744711E-01
845	7.78124835E-01
850	7.77478120E-01
855	7.77021909E-01
860	7.76403904E-01
865	7.75731476E-01
870	7.75132259E-01
875	7.74253005E-01
880	7.73376220E-01
885	7.72687236E-01
890	7.72091601E-01
895	7.71603445E-01
900	7.70867366E-01
905	7.70276801E-01
910	7.69698813E-01
915	7.69048227E-01
920	7.68536389E-01
925	7.67754386E-01
930	7.67209813E-01
935	7.66585189E-01
940	7.66096951E-01
945	7.65599157E-01
950	7.64984042E-01
955	7.64381020E-01
960	7.63516492E-01
965	7.62782008E-01
970	7.62171596E-01
975	7.61764027E-01
980	7.61337089E-01
985	7.60808808E-01
990	7.60439411E-01
995	7.60036613E-01
1000	7.59622816E-01
1005	7.58891524E-01
1010	7.58449639E-01
1015	7.57946662E-01
1020	7.57276341E-01
1025	7.56569295E-01
1030	7.55913652E-01
1035	7.55373706E-01
1040	7.54803757E-01
1045	7.54150638E-01
1050	7.53695261E-01
1055	7.53421310E-01
1060	7.52907982E-01
1065	7.52486209E-01
1070	7.51849838E-01
1075	7.51425302E-01
1080	7.50743431E-01
1085	7.50133455E-01
1090	7.49445199E-01
1095	7.48928466E-01
1100	7.48337827E-01
1105	7.47607909E-01
1110	7.46914957E-01
1115	7.46419192E-01
1120	7.45995377E-01
1125	7.45535905E-01
1130	7.44885257E-01
1135	7.44098553E-01
1140	7.43492310E-01
1145	7.42663807E-01
1150	7.41798829E-01
1155	7.41178840E-01
1160	7.40304073E-01
1165	7.39581313E-01
1170	7.38651394E-01
1175	7.37759137E-01
1180	7.36993892E-01
1185	7.36021266E-01
1190	7.35220540E-01
1195	7.34621956E-01
1200	7.34013343E-01
1205	7.33473108E-01
1210	7.32959424E-01
1215	7.32532167E-01
1220	7.31985681E-01
1225	7.31564094E-01
1230	7.31119238E-01
1235	7.30654882E-01
1240	7.30213067E-01
1245	7.29727258E-01
1250	7.29412766E-01
1255	7.29017416E-01
1260	7.28586316E-01
1265	7.28022026E-01
1270	7.27461313E-01
1275	7.26841294E-01
1280	7.26533904E-01
1285	7.26134748E-01
1290	7.25634567E-01
1295	7.25007350E-01
1300	7.24600172E-01
1305	7.24080740E-01
1310	7.23645534E-01
1315	7.23045232E-01
1320	7.22388464E-01
1325	7.21906669E-01
1330	7.21029750E-01
1335	7.20431213E-01
1340	7.19923221E-01
1345	7.19305104E-01
1350	7.18545885E-01
1355	7.17709079E-01
1360	7.16885232E-01
1365	7.16084781E-01
1370	7.15101185E-01
1375	7.14182926E-01
1380	7.13233307E-01
1385	7.12372468E-01
1390	7.11639629E-01
1395	7.11133140E-01
1400	7.10833417E-01
1405	7.10135476E-01
1410	7.09716070E-01
1415	7.09338045E-01
1420	7.08957437E-01
1425	7.08343949E-01
1430	7.07763638E-01
1435	7.07128840E-01
1440	7.06691552E-01
1445	7.06042247E-01
1450	7.05777265E-01
1455	7.05473704E-01
1460	7.05136681E-01
1465	7.04754177E-01
1470	7.04441572E-01
1475	7.04163314E-01
1480	7.04006092E-01
1485	7.03753030E-01
1490	7.03404701E-01
1495	7.03064995E-01
1500	7.02895543E-01
1505	7.02710137E-01
1510	7.02507976E-01
1515	7.01999540E-01
1520	7.01743387E-01
1525	7.01465212E-01
1530	7.01240399E-01
1535	7.01164535E-01
1540	7.01087231E-01
1545	7.01057709E-01
1550	7.01000021E-01
1555	7.00602745E-01
1560	7.00422677E-01
