lag_sweep	g1
5	1.57390196E+01
10	2.20636292E+01
15	2.62127124E+01
20	2.93733665E+01
25	3.18649570E+01
30	3.41460611E+01
35	3.61560914E+01
40	3.81385857E+01
45	3.98915889E+01
50	4.15799979E+01
55	4.31612033E+01
60	4.46488094E+01
65	4.60125439E+01
70	4.74853440E+01
75	4.88590545E+01
80	5.01845277E+01
85	5.13990246E+01
90	5.25764088E+01
95	5.37779820E+01
100	5.49148246E+01
105	5.61530271E+01
110	5.72803979E+01
115	5.82562228E+01
120	5.92810718E+01
125	6.02943892E+01
130	6.12192347E+01
135	6.21324310E+01
140	6.29118210E+01
145	6.37982534E+01
150	6.48788109E+01
155	6.57848647E+01
160	6.65604936E+01
165	6.74682790E+01
170	6.84919442E+01
175	6.94187521E+01
180	7.03368724E+01
185	7.11544905E+01
190	7.19939308E+01
195	7.27338450E+01
200	7.36402330E+01
205	7.43894150E+01
210	7.52103275E+01
215	7.60459500E+01
220	7.69001242E+01
225	7.77289462E+01
230	7.85550111E+01
235	7.93531346E+01
240	8.02267673E+01
245	8.10875711E+01
250	8.18896109E+01
255	8.27483765E+01
260	8.35342084E+01
265	8.43904641E+01
270	8.52234862E+01
275	8.59569213E+01
280	8.67291882E+01
285	8.74423675E+01
290	8.82686196E+01
295	8.90446799E+01
300	8.97115753E+01
305	9.04628028E+01
310	9.12175909E+01
315	9.18868273E+01
320	9.25655471E+01
325	9.32418081E+01
330	9.39152274E+01
335	9.45825988E+01
340	9.51175248E+01
345	9.57579384E+01
350	9.63730876E+01
355	9.70438755E+01
360	9.76678981E+01
365	9.84023154E+01
370	9.91776852E+01
375	9.99732087E+01
380	1.00656180E+02
385	1.01321738E+02
390	1.01893870E+02
395	1.02581629E+02
400	1.03379289E+02
405	1.04084162E+02
410	1.04742684E+02
415	1.05467439E+02
420	1.06170946E+02
425	1.06747393E+02
430	1.07181378E+02
435	1.07879103E+02
440	1.08528016E+02
445	1.09083506E+02
450	1.09662763E+02
455	1.10243413E+02
460	1.10944632E+02
465	1.11597592E+02
470	1.12163746E+02
475	1.12762149E+02
480	1.13384233E+02
485	1.13972892E+02
490	1.14666356E+02
495	1.15198425E+02
500	1.15830613E+02
505	1.16299149E+02
510	1.17018278E+02
515	1.17809056E+02
520	1.18438518E+02
525	1.19058204E+02
530	1.19564872E+02
535	1.20163025E+02
540	1.20775013E+02
545	1.21285286E+02
550	1.21888115E+02
555	1.22663359E+02
560	1.23264279E+02
565	1.23810233E+02
570	1.24310944E+02
575	1.24946602E+02
580	1.25469899E+02
585	1.25934907E+02
590	1.26679252E+02
595	1.27245893E+02
600	1.27823390E+02
605	1.28337927E+02
610	1.28999296E+02
615	1.29603768E+02
620	1.30208413E+02
625	1.30811706E+02
630	1.31408121E+02
635	1.31944635E+02
640	1.32614574E+02
645	1.33221956E+02
650	1.33783706E+02
655	1.34458010E+02
660	1.34971051E+02
665	1.35340895E+02
670	1.36047003E+02
675	1.36587485E+02
680	1.37265007E+02
685	1.37886774E+02
690	1.38365193E+02
695	1.38992370E+02
700	1.39666011E+02
705	1.40266611E+02
710	1.40780675E+02
715	1.41319656E+02
720	1.41968821E+02
725	1.42597921E+02
730	1.43186915E+02
735	1.43762559E+02
740	1.44347282E+02
745	1.44789289E+02
750	1.45351990E+02
755	1.45791597E+02
760	1.46311125E+02
765	1.46877685E+02
770	1.47449404E+02
775	1.48056972E+02
780	1.48575051E+02
785	1.48927481E+02
790	1.49421743E+02
795	1.49938436E+02
800	1.50483293E+02
805	1.50961968E+02
810	1.51395369E+02
815	1.51906374E+02
820	1.52265946E+02
825	1.52863469E+02
830	1.53434014E+02
835	1.54026716E+02
840	1.54641270E+02
845	1.55308648E+02
850	1.55851382E+02
855	1.56382092E+02
860	1.56973134E+02
865	1.57496693E+02
870	1.58133143E+02
875	1.58670131E+02
880	1.59210318E+02
885	1.59661296E+02
890	1.60174546E+02
895	1.60610116E+02
900	1.61267330E+02
905	1.61720972E+02
910	1.62279616E+02
915	1.62811635E+02
920	1.63236027E+02
925	1.63701723E+02
930	1.64230208E+02
935	1.64780668E+02
940	1.65336710E+02
945	1.65950383E+02
950	1.66424140E+02
955	1.66780278E+02
960	1.67228029E+02
