sweep	phase	mean_R2	mean_Rg2	ratio_R2_Rg2	energy_total	accepted_moves
0	equilibration	1.68407428E+03	2.70858109E+02	6.21755164E+00	0.00000000E+00	801
500	equilibration	1.89147781E+03	2.96721660E+02	6.37458624E+00	0.00000000E+00	855
1000	equilibration	1.80912727E+03	2.95252546E+02	6.12738924E+00	0.00000000E+00	820
1500	equilibration	2.12623467E+03	3.18944196E+02	6.66647863E+00	0.00000000E+00	815
2000	equilibration	2.09789504E+03	3.12708742E+02	6.70878284E+00	0.00000000E+00	884
2500	equilibration	2.00318947E+03	3.18536497E+02	6.28872824E+00	0.00000000E+00	860
3000	equilibration	2.03728034E+03	3.20266600E+02	6.36120139E+00	0.00000000E+00	830
3500	equilibration	2.03327667E+03	3.28950584E+02	6.18110066E+00	0.00000000E+00	852
4000	equilibration	2.18053634E+03	3.36695943E+02	6.47627743E+00	0.00000000E+00	827
4500	equilibration	2.15583006E+03	3.36815431E+02	6.40062736E+00	0.00000000E+00	830
5000	equilibration	2.19062862E+03	3.26581076E+02	6.70776351E+00	0.00000000E+00	821
5500	equilibration	2.01810610E+03	3.29397822E+02	6.12665283E+00	0.00000000E+00	871
6000	equilibration	1.88336335E+03	3.15636555E+02	5.96687336E+00	0.00000000E+00	826
6500	equilibration	2.09835538E+03	3.24525398E+02	6.46592037E+00	0.00000000E+00	836
7000	equilibration	2.16724851E+03	3.27154117E+02	6.62454911E+00	0.00000000E+00	813
7500	equilibration	2.14382639E+03	3.29132742E+02	6.51356161E+00	0.00000000E+00	813
8000	equilibration	2.12296404E+03	3.32168544E+02	6.39122540E+00	0.00000000E+00	852
8500	equilibration	2.09416365E+03	3.24942564E+02	6.44471941E+00	0.00000000E+00	826
9000	equilibration	1.83980752E+03	3.12237606E+02	5.89233161E+00	0.00000000E+00	838
9500	equilibration	1.88906202E+03	3.03968851E+02	6.21465659E+00	0.00000000E+00	845
10000	equilibration	1.96459308E+03	3.06541970E+02	6.40888775E+00	0.00000000E+00	843
10500	equilibration	1.96810162E+03	3.07747439E+02	6.39518440E+00	0.00000000E+00	832
11000	equilibration	2.12134785E+03	3.23369943E+02	6.56012688E+00	0.00000000E+00	833
11500	equilibration	1.94660909E+03	3.17978398E+02	6.12182809E+00	0.00000000E+00	852
12000	equilibration	2.04361348E+03	3.10795330E+02	6.57543173E+00	0.00000000E+00	820
12500	equilibration	2.19546573E+03	3.25495648E+02	6.74499259E+00	0.00000000E+00	822
13000	equilibration	1.99313912E+03	3.16058948E+02	6.30622589E+00	0.00000000E+00	818
13500	equilibration	2.04561497E+03	3.26360308E+02	6.26796493E+00	0.00000000E+00	825
14000	equilibration	2.13733621E+03	3.17366296E+02	6.73460362E+00	0.00000000E+00	821
14500	equilibration	1.86998036E+03	3.10878112E+02	6.01515605E+00	0.00000000E+00	809
15000	equilibration	1.99630406E+03	3.17577591E+02	6.28603564E+00	0.00000000E+00	818
15500	equilibration	2.03359132E+03	3.08618756E+02	6.58933160E+00	0.00000000E+00	822
16000	equilibration	1.84008678E+03	3.08818789E+02	5.95846772E+00	0.00000000E+00	813
16500	equilibration	2.10783840E+03	3.15713027E+02	6.67643783E+00	0.00000000E+00	827
17000	equilibration	2.10369049E+03	3.19279672E+02	6.58886448E+00	0.00000000E+00	841
17500	equilibration	2.03063050E+03	3.20923674E+02	6.32745622E+00	0.00000000E+00	827
18000	equilibration	2.09969688E+03	3.16730347E+02	6.62928861E+00	0.00000000E+00	837
18500	equilibration	1.97614000E+03	3.11500985E+02	6.34392857E+00	0.00000000E+00	816
19000	equilibration	2.10898379E+03	3.07929344E+02	6.84892115E+00	0.00000000E+00	846
19500	equilibration	1.82753627E+03	3.09509509E+02	5.90462076E+00	0.00000000E+00	801
20000	equilibration	2.07926238E+03	3.14806087E+02	6.60489893E+00	0.00000000E+00	810
20500	equilibration	2.20489691E+03	3.24680545E+02	6.79097331E+00	0.00000000E+00	803
21000	equilibration	2.12026255E+03	3.27086514E+02	6.48226832E+00	0.00000000E+00	861
21500	equilibration	2.12401908E+03	3.29439106E+02	6.44737993E+00	0.00000000E+00	829
22000	equilibration	2.18792246E+03	3.27318965E+02	6.68437426E+00	0.00000000E+00	820
22500	equilibration	2.03940389E+03	3.36593286E+02	6.05895595E+00	0.00000000E+00	839
23000	equilibration	2.17044825E+03	3.41890706E+02	6.34836869E+00	0.00000000E+00	839
23500	equilibration	2.32436947E+03	3.49960657E+02	6.64180222E+00	0.00000000E+00	834
24000	equilibration	2.04687942E+03	3.25431414E+02	6.28974134E+00	0.00000000E+00	850
24500	equilibration	2.12774307E+03	3.39728324E+02	6.26307234E+00	0.00000000E+00	798
25000	production	2.24813380E+03	3.32097686E+02	6.76949552E+00	0.00000000E+00	785
25001	production	2.23654220E+03	3.30518564E+02	6.76676728E+00	0.00000000E+00	788
25002	production	2.21934889E+03	3.30200632E+02	6.72121333E+00	0.00000000E+00	806
25003	production	2.24142842E+03	3.31070360E+02	6.77024794E+00	0.00000000E+00	801
25004	production	2.21934827E+03	3.31116709E+02	6.70261634E+00	0.00000000E+00	837
25005	production	2.23885696E+03	3.31266813E+02	6.75847043E+00	0.00000000E+00	833
25006	production	2.24217602E+03	3.31888755E+02	6.75580592E+00	0.00000000E+00	838
25007	production	2.20621177E+03	3.30366794E+02	6.67806756E+00	0.00000000E+00	829
25008	production	2.19003577E+03	3.30275227E+02	6.63094168E+00	0.00000000E+00	861
25009	production	2.21513874E+03	3.31335564E+02	6.68548440E+00	0.00000000E+00	833
25010	production	2.22442227E+03	3.32926173E+02	6.68142805E+00	0.00000000E+00	830
25011	production	2.23246291E+03	3.34393618E+02	6.67615286E+00	0.00000000E+00	866
25012	production	2.24174463E+03	3.34584647E+02	6.70008219E+00	0.00000000E+00	871
25013	production	2.22340875E+03	3.33781242E+02	6.66127531E+00	0.00000000E+00	864
25014	production	2.21108055E+03	3.33687010E+02	6.62621103E+00	0.00000000E+00	875
25015	production	2.25966904E+03	3.35146817E+02	6.74232584E+00	0.00000000E+00	887
25016	production	2.27348949E+03	3.34391828E+02	6.79887874E+00	0.00000000E+00	908
25017	production	2.29685665E+03	3.36111109E+02	6.83362314E+00	0.00000000E+00	873
25018	production	2.28746767E+03	3.34872184E+02	6.83086795E+00	0.00000000E+00	869
25019	production	2.28006365E+03	3.34690249E+02	6.81245915E+00	0.00000000E+00	902
25020	production	2.22720825E+03	3.33789466E+02	6.67249412E+00	0.00000000E+00	884
25021	production	2.15774422E+03	3.33386595E+02	6.47219851E+00	0.00000000E+00	870
25022	production	2.16209324E+03	3.32907638E+02	6.49457384E+00	0.00000000E+00	893
25023	production	2.19861795E+03	3.33613287E+02	6.59031889E+00	0.00000000E+00	852
25024	production	2.19519232E+03	3.32820560E+02	6.59572328E+00	0.00000000E+00	887
25025	production	2.17610258E+03	3.32915173E+02	6.53650765E+00	0.00000000E+00	869
25026	production	2.17572388E+03	3.32821998E+02	6.53719973E+00	0.00000000E+00	905
25027	production	2.16605800E+03	3.33124843E+02	6.50224098E+00	0.00000000E+00	906
25028	production	2.16438207E+03	3.32222268E+02	6.51486153E+00	0.00000000E+00	882
25029	production	2.13785481E+03	3.31609486E+02	6.44690488E+00	0.00000000E+00	908
25030	production	2.12315694E+03	3.30776810E+02	6.41869948E+00	0.00000000E+00	897
25031	production	2.14388448E+03	3.30881106E+02	6.47931975E+00	0.00000000E+00	910
25032	production	2.14231052E+03	3.31086784E+02	6.47054072E+00	0.00000000E+00	920
25033	production	2.14311027E+03	3.30465348E+02	6.48512857E+00	0.00000000E+00	899
25034	production	2.13929972E+03	3.30909905E+02	6.46490082E+00	0.00000000E+00	886
25035	production	2.14112771E+03	3.30805089E+02	6.47247514E+00	0.00000000E+00	911
25036	production	2.21420546E+03	3.30165440E+02	6.70635140E+00	0.00000000E+00	927
25037	production	2.19903216E+03	3.30863233E+02	6.64634793E+00	0.00000000E+00	932
25038	production	2.21459687E+03	3.30326841E+02	6.70425954E+00	0.00000000E+00	936
25039	production	2.16711321E+03	3.28663669E+02	6.59371088E+00	0.00000000E+00	918
25040	production	2.17672968E+03	3.28581494E+02	6.62462653E+00	0.00000000E+00	935
25041	production	2.21143191E+03	3.29146470E+02	6.71868640E+00	0.00000000E+00	926
25042	production	2.22074676E+03	3.30446545E+02	6.72044174E+00	0.00000000E+00	908
25043	production	2.26047812E+03	3.32223317E+02	6.80409232E+00	0.00000000E+00	915
25044	production	2.27879071E+03	3.33027587E+02	6.84264848E+00	0.00000000E+00	925
25045	production	2.30209083E+03	3.32449844E+02	6.92462598E+00	0.00000000E+00	933
25046	production	2.27487178E+03	3.31500689E+02	6.86234406E+00	0.00000000E+00	913
25047	production	2.27120372E+03	3.31651283E+02	6.84816806E+00	0.00000000E+00	918
25048	production	2.24622326E+03	3.31043732E+02	6.78527651E+00	0.00000000E+00	922
25049	production	2.23501188E+03	3.30953674E+02	6.75324693E+00	0.00000000E+00	922
25050	production	2.16411403E+03	3.29475764E+02	6.56835575E+00	0.00000000E+00	932
25051	production	2.17706548E+03	3.29508152E+02	6.60701554E+00	0.00000000E+00	943
25052	production	2.20134250E+03	3.31253501E+02	6.64549203E+00	0.00000000E+00	940
25053	production	2.19089022E+03	3.31073067E+02	6.61754289E+00	0.00000000E+00	939
25054	production	2.19722050E+03	3.31486040E+02	6.62839527E+00	0.00000000E+00	947
25055	production	2.20076218E+03	3.32420029E+02	6.62042593E+00	0.00000000E+00	940
25056	production	2.24487287E+03	3.33784245E+02	6.72552077E+00	0.00000000E+00	933
25057	production	2.22289974E+03	3.33166432E+02	6.67203994E+00	0.00000000E+00	938
25058	production	2.21982683E+03	3.32473965E+02	6.67669371E+00	0.00000000E+00	947
25059	production	2.18614149E+03	3.32123985E+02	6.58230535E+00	0.00000000E+00	951
25060	production	2.18457061E+03	3.31759463E+02	6.58480270E+00	0.00000000E+00	947
25061	production	2.19178726E+03	3.32427256E+02	6.59328386E+00	0.00000000E+00	939
